"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00419417","1966","31.6003","-97.2169","150.9","WACO DAM, TX US","   1304.4","","    1304.4","0","        73","0","        42","0","        12","0","        1","","         2","0","         0","0","        42","0","         2","0","       256","0","        81","0","  -11.1","0,0130,+","    51"," ,0,0122, ","   117"," ,0,0223, ","  61.0"," ,0,0812, ","   38.9","0,0801, ","-1.1","0,1102","-5.6","0,1211","-5.6","0,1211","-6.7","0,1212","-9.4","0,1224","0.0","0,0324","-2.8","0,0307","-6.1","0,0204","-6.7","0,0203","-10.0","0,0131","    1240.7","7","    1240.7","0","","","","","    761.8"," ,0","      168"," ,0","     18.16","0","     24.27","0","     12.04","0","",""
"USC00419417","1967","31.6003","-97.2169","150.9","WACO DAM, TX US","   1429.4","","    1429.4","0","        74","0","        50","0","        13","0","        0","","         0","0","         0","0","        43","0","         0","0","       264","0","        87","0","   -6.7","0,0207,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  88.4"," ,0,0411, ","   38.9","0,0731, ","-1.7","0,1203","-2.2","0,1222","-5.0","0,1230","","","","","-3.3","0,0309","-3.3","0,0309","-6.7","0,0207","-6.7","0,0207","","","    1119.4","4","    1119.4","0","","","","","    901.7"," ,0","        0"," ,0","     18.92","0","     25.23","0","     12.60","0","     63411","0"
"USC00419417","1968","31.6003","-97.2169","150.9","WACO DAM, TX US","   1252.5","","    1252.5","0","        96","0","        61","0","        13","0","        0","","         1","0","         0","0","        42","0","         3","0","       243","0","        67","0","   -9.4","0,0108,+","     0"," ,0,1231,+","    25"," ,0,0223, "," 115.6"," ,0,0510, ","   36.7","0,0811, ","0.0","0,1109","-2.2","0,1208","-6.7","0,1231","-6.7","0,1231","","","-2.2","0,0323","-2.2","0,0323","-5.0","0,0223","-9.4","0,0108","-9.4","0,0108","    1399.9","9","    1399.9","0","","","","","   1020.1"," ,0","       25"," ,0","     17.97","0","     23.67","0","     12.27","0","     58598","0"
"USC00419417","1969","31.6003","-97.2169","150.9","WACO DAM, TX US","   1502.0","","    1502.0","0","        88","0","        55","0","        15","0","        0","","         0","0","         0","0","        25","0","         0","0","       242","0","       107","0","   -7.2","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.0"," ,0,0917, ","   42.2","0,0812, ","0.0","0,1120","-4.4","0,1231","-4.4","0,1231","","","","","0.0","0,0313","-2.8","0,0310","-5.0","0,0125","-7.2","0,0101","","","    1312.8","8","    1312.8","0","","","","","    887.6"," ,0","        0"," ,0","     18.86","0","     24.77","0","     12.94","0","",""
"USC00419417","1970","31.6003","-97.2169","150.9","WACO DAM, TX US","   1414.7","","    1414.7","0","        72","0","        47","0","        11","0","        0","","         0","0","         0","0","        33","0","         1","0","       245","0","        93","0","   -7.8","0,0110,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  84.6"," ,0,0917, ","   39.4","0,0811, ","-3.3","0,1116","-3.3","0,1116","-4.4","0,1226","","","","","-0.6","0,0210","-3.3","0,0204","-4.4","0,0203","-7.8","0,0110","","","    1370.4","4","    1370.4","0","","","","","    785.4"," ,0","        0"," ,0","     18.42","0","     24.30","0","     12.54","0","",""
"USC00419417","1971","31.6003","-97.2169","150.9","WACO DAM, TX US","   1468.3","","    1468.3","0","        76","0","        44","0","         8","0","        0","","         0","0","         0","0","        28","0","         0","0","       276","0","        95","0","   -8.9","0,0208, ","     0"," ,0,1231,+","     0","T,0,0208, "," 108.2"," ,0,0725, ","   39.4","0,0708, ","0.0","0,1218","","","","","","","","","-0.6","0,0307","-2.2","0,0304","-5.0","0,0210","-7.8","0,0209","-8.9","0,0208","    1146.2","2","    1146.2","0","","","","","    772.4"," ,0","        0","T,0","     19.38","0","     25.54","0","     13.22","0","     63301","0"
"USC00419417","1972","31.6003","-97.2169","150.9","WACO DAM, TX US","   1534.6","","    1534.6","0","        72","0","        48","0","         9","0","        0","","         0","0","         0","0","        45","0","         2","0","       258","0","       115","0","   -8.9","0,0105, ","     0"," ,0,1231,+","    10"," ,0,1212,+"," 102.9"," ,0,1022, ","   37.8","0,0829,+","-0.6","0,1122","-5.0","0,1206","-5.0","0,1206","-6.7","0,1216","","","0.0","0,0213","-2.8","0,0209","-5.6","0,0205","-6.7","0,0204","-8.9","0,0105","    1017.0","0","    1017.0","0","","","","","    789.8"," ,0","       20"," ,0","     18.91","0","     25.04","0","     12.79","0","     58888","0"
"USC00419417","1973","31.6003","-97.2169","150.9","WACO DAM, TX US","   1330.4","","    1330.4","0","        92","0","        58","0","        17","0","","","","","         0","0","        30","0","         5","0","       256","0","        89","0","  -14.4","0,0112, ","","","",""," 109.2"," ,0,0715, ","   37.2","0,0824, ","-0.6","0,1210","-5.0","0,1220","-5.0","0,1220","","","","","0.0","0,0410","-5.6","0,0211","-5.6","0,0211","-12.8","0,0113","-12.8","0,0113","    1553.2","2","    1553.2","0","","","","","   1220.8"," ,0","","","     18.55","0","     24.33","0","     12.77","0","",""
"USC00419417","1974","31.6003","-97.2169","150.9","WACO DAM, TX US","   1355.3","","    1355.3","0","        93","0","        61","0","        11","0","        0","","         0","0","         0","0","        32","0","         2","0","       260","0","        85","0","   -7.2","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 123.2"," ,0,1031, ","   40.0","0,0723, ","-3.3","0,1130","-3.3","0,1130","-5.0","0,1209","","","","","-0.6","0,0325","-5.6","0,0226","-5.6","0,0226","-7.2","0,0101","","","    1019.6","6","    1019.6","0","","","","","   1056.5"," ,0","        0"," ,0","     18.77","0","     24.83","0","     12.71","0","",""
"USC00419417","1976","31.6003","-97.2169","150.9","WACO DAM, TX US","   1108.5","","    1108.5","0","        87","0","        56","0","        19","0","","","","","         0","0","        55","0","         0","0","       248","0","        67","0","  -11.1","0,0108, ","","","","","  83.3"," ,0,0704, ","   38.3","0,0810, ","0.0","0,1020","-2.2","0,1114","-4.4","0,1128","-8.3","0,1129","-10.6","0,1231","-0.6","0,0317","-4.4","0,0208","-4.4","0,0208","-6.7","0,0128","-10.0","0,0109","    1160.4","4","    1160.4","0","","","","","   1230.4"," ,0","","","     17.45","0","     23.95","0","     10.94","0","     49884","0"
