"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00425040","1913","41.3","-113.516667","1286.6","LEMAY, UT US","","","","","         7","6","       134","6","","","","","","","","","  -24.4","6,1228, ","","","-2.2","6,1009","-2.2","6,1009","-5.6","6,1120","-6.7","6,1121","-9.4","6,1202","-0.6","6,0424","-3.3","6,0327","-6.7","6,0326","-6.7","6,0326","-8.9","6,0227","","","","","","","","","      5.94","6"
"USC00425040","1914","41.3","-113.516667","1286.6","LEMAY, UT US","","","","","","","","","        32","6","       156","6","        53","6","","","","","   43.3","6,0727, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     17.39","6","",""
"USC00425040","1915","41.3","-113.516667","1286.6","LEMAY, UT US","    545.9","","     545.9","6","         1","6","       102","6","        20","6","       142","6","        45","6","","","  -18.9","6,1231, ","   37.2","6,0722, ","-2.2","6,1025","-2.2","6,1025","-5.0","6,1113","-8.3","6,1128","-13.9","6,1219","-0.6","6,0310","-3.3","6,0216","-4.4","6,0215","-7.8","6,0126","-12.2","6,0125","","","","","     11.56","6","     17.19","6","      5.93","6"
"USC00425040","1916","41.3","-113.516667","1286.6","LEMAY, UT US","    487.6","","     487.6","6","        10","6","       140","6","        35","6","       141","6","        31","6","         6"," ","  -26.7","6,0122, ","   36.1","6,0802, ","-1.7","6,1019","-3.3","6,1023","-5.0","6,1024","-9.4","6,1111","-9.4","6,1111","0.0","6,0419","-3.3","6,0307","-5.0","6,0306","-10.0","6,0303","-10.0","6,0303","    3335.1","1","    3335.1","6","      9.40","6","     15.27","6","      3.53","6"
"USC00425040","1917","41.3","-113.516667","1286.6","LEMAY, UT US","    382.7","","     382.7","6","        22","6","       199","6","        40","6","       158","6","        81","6","         5"," ","  -28.9","6,0122, ","   40.6","6,0713,+","-1.1","6,0914","-2.2","6,0926","-6.7","6,1017","-6.7","6,1017","-11.1","6,1018","-1.1","6,0504","-2.2","6,0416","-5.0","6,0405","-6.7","6,0404","-8.9","6,0317","    4122.6","6","    4122.6","6","      8.38","6","     17.79","6","     -1.03","6"
"USC00425040","1918","41.3","-113.516667","1286.6","LEMAY, UT US","","","","","         1","6","       208","6","","","","","","","","","  -17.8","6,1222, ","","","-1.1","6,1018","-3.3","6,1025","-4.4","6,1104","-6.7","6,1106","-8.9","6,1113","-0.6","6,0602","-2.2","6,0521","-5.6","6,0428","-6.7","6,0422","-8.9","6,0405","","","","","","","","","     -0.84","6"
"USC00425040","1920","41.3","-113.516667","1286.6","LEMAY, UT US","    192.6","","     192.6","6","         0","6","       201","6","         9","6","       130","6","        38","6","","","  -12.2","6,0111, ","   37.2","6,0727,+","-1.1","6,0924","-2.2","6,1013","-5.0","6,1023","-6.7","6,1102","","","0.0","6,0430","-4.4","6,0426","-4.4","6,0426","-6.7","6,0423","-8.9","6,0208","    3687.7","7","    3687.7","6","      8.71","6","     16.46","6","      0.97","6"
"USC00425040","1922","41.3","-113.516667","1286.6","LEMAY, UT US","","","","","        12","6","       156","6","","","","","","","","","  -21.7","6,0228,+","","","0.0","6,1022","-2.2","6,1102","-5.6","6,1104","-7.2","6,1114","-8.9","6,1208","-1.1","6,0419","-2.8","6,0418","-5.0","6,0414","-11.1","6,0317","-11.1","6,0317","","","","","","","","","      3.13","6"
"USC00425040","1925","41.3","-113.516667","1286.6","LEMAY, UT US","    477.8","","     477.8","6","        11","6","       137","6","        31","6","       135","6","        30","6","","","  -22.8","6,0104, ","   37.8","6,0718,+","-1.7","6,1017","-2.2","6,1025","-5.6","6,1105","-7.8","6,1215","","","0.0","6,0402","-2.2","6,0327","-6.1","6,0312","-6.7","6,0310","-12.2","6,0131","    3863.3","3","    3863.3","6","     10.05","6","     15.86","6","      4.25","6"
"USC00425040","1926","41.3","-113.516667","1286.6","LEMAY, UT US","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00425040","1927","41.3","-113.516667","1286.6","LEMAY, UT US","","","","","         1","6","       125","6","","","","","","","","","  -18.3","6,0122, ","","","-1.1","6,1001","-2.8","6,1006","-4.4","6,1009","-7.8","6,1208","-15.0","6,1214","-1.7","6,0422","-3.9","6,0421","-6.1","6,0420","-6.7","6,0316","-10.0","6,0214","","","","","","","","","      4.11","6"
"USC00425040","1928","41.3","-113.516667","1286.6","LEMAY, UT US","","","","","","","","","        31","6","       161","6","        27","6","         2"," ","","","   36.7","6,0727, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     16.60","6","",""
