"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"KSW00043244","1953","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","","","        57"," ","         2"," ","","","","","",""
"KSW00043244","1954","37.78333","126.85","24.1","TONGGO RI, KS","        82","X","        64","X","        14","X","        0","","","","","","     0","T,X,1216,+","  78.7"," ,X,0620, ","   1151.9"," ,X"
"KSW00043244","1955","37.78333","126.85","24.1","TONGGO RI, KS","        83","X","        58","X","        17","X","        2","","","","","","    51"," ,X,0220, "," 123.7"," ,X,0624, ","   1229.8"," ,X"
"KSW00043244","1956","37.78333","126.85","24.1","TONGGO RI, KS","       103","X","        64","X","        13","X","       16","","","","","","   127"," ,X,0228, "," 139.7"," ,X,0909, ","   1426.0"," ,X"
"KSW00043244","1957","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","       31","","","","","","   102"," ,X,0123,+","","","",""
"KSW00043244","1958","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","       24","","","","","","   178"," ,X,0123,+","","","",""
"KSW00043244","1959","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","        3","","","","","","    25"," ,X,0105,+","","","",""
"KSW00043244","1960","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","        3","","","","","","    25"," ,X,0127,+","","","",""
"KSW00043244","1961","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","       18","","","","","","    76"," ,X,0125,+","","","",""
"KSW00043244","1962","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","        7","","","","","","    51"," ,X,1230,+","","","",""
"KSW00043244","1963","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","       37","","","","","","    76"," ,X,0122,+","","","",""
"KSW00043244","1966","37.78333","126.85","24.1","TONGGO RI, KS","","","","","","","        1","","","","","","    76"," ,X,0222, ","","","",""
