"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"MG000044317","2009","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       129","S","        94","S","         4","S","   33.7","S,0808, ","      7.66","S"
"MG000044317","2011","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       120","S","        92","S","         6","S","   35.2","S,0811, ","      7.03","S"
"MG000044317","2012","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       138","S","        92","S","         1","S","   33.5","S,0830, ","      5.90","S"
"MG000044317","2014","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       114","S","        97","S","         5","S","   36.0","S,0726, ","      8.94","S"
"MG000044317","2016","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       115","S","        86","S","        15","S","   40.0","S,0804, ","      7.33","S"
"MG000044317","2018","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       119","S","       109","S","        11","S","   36.5","S,0802, ","      7.91","S"
"MG000044317","2019","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       108","S","        90","S","         7","S","   34.0","S,0803,+","      8.69","S"
"MG000044317","2020","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       112","S","        82","S","         3","S","   34.5","S,0606, ","      8.29","S"
"MG000044317","2022","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       114","S","       103","S","         5","S","   33.0","S,0801,+","      8.04","S"
"MG000044317","2023","45.9","115.367","1076.0","ERDENETSAGAAN, MG","       108","S","        88","S","        10","S","   37.0","S,0624, ","      8.51","S"
