"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYTS","DYTS_ATTRIBUTES"
"USW00022526","1949","21.9","-159.6","9.1","PORT ALLEN CAA AIRPORT, HI US","         1"," "
"USW00022526","1950","21.9","-159.6","9.1","PORT ALLEN CAA AIRPORT, HI US","         8"," "
