"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"MXN00032172","2001","23.4333","-102.95","2021.7","RANCHO GRANDE, MX","        40","m","        28","m","         1","m","         0","m","       311","m","        10","m","  26.2"," ,m,0831, ","   33.9","m,0417, ","","","","","    235.1"," ,m","     25.50","m"
"MXN00032172","2005","23.4333","-102.95","2021.7","RANCHO GRANDE, MX","","","","","","","","","","","","","","","","","    1108.1","1","    1108.1","m","","","",""
"MXN00032172","2008","23.4333","-102.95","2021.7","RANCHO GRANDE, MX","","","","","","","","","","","","","","","","","     967.7","7","     967.7","m","","","",""
"MXN00032172","2012","23.4333","-102.95","2021.7","RANCHO GRANDE, MX","        29","m","        20","m","         1","m","","","","","","","  27.9"," ,m,0829, ","","","","","","","    232.4"," ,m","",""
