"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00299070","1908","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        35","6","        26","6","         3","6","","","","","","","  33.0"," ,6,0730, ","    332.1"," ,6","",""
"USC00299070","1909","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        50","6","        30","6","         3","6","","","         1"," ","","","  96.5"," ,6,0905, ","    407.8"," ,6","",""
"USC00299070","1910","35.46667","-104.41667","1402.1","TREMENTINA, NM US","","","","","","","         2","6","","","   102"," ,6,0216, ","","","","","      127"," ,6"
"USC00299070","1911","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        60","6","        35","6","         7","6","","","","","","","  33.0"," ,6,0711, ","    482.5"," ,6","",""
"USC00299070","1912","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        45","6","        28","6","         3","6","","","","","","","  45.7"," ,6,0514, ","    282.8"," ,6","",""
"USC00299070","1913","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        56","6","        45","6","         4","6","","","","","","","  53.3"," ,6,0815, ","    492.6"," ,6","",""
"USC00299070","1916","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        37","6","        30","6","         5","6","         6","6","","","    51"," ,6,1209,+","  63.5"," ,6,0829, ","    396.6"," ,6","      319"," ,6"
"USC00299070","1917","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        45","6","        34","6","         2","6","","","","","","","  43.2"," ,6,0703, ","    298.3"," ,6","",""
"USC00299070","1921","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        39","6","        24","6","         2","6","         5","6","","","   102"," ,6,0112, ","  78.7"," ,6,0604, ","    345.0"," ,6","      305"," ,6"
"USC00299070","1922","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        48","6","        27","6","         1","6","","","","","","","  31.2"," ,6,0618, ","    268.6"," ,6","",""
"USC00299070","1923","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        68","6","        47","6","         7","6","","","","","","","  59.4"," ,6,1004, ","    665.3"," ,6","",""
"USC00299070","1924","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        42","6","        28","6","         1","6","         9","6","","","   183"," ,6,1209, ","  41.9"," ,6,0531, ","    299.8"," ,6","      577"," ,6"
"USC00299070","1925","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        57","6","        34","6","         3","6","         2","6","","","    25"," ,6,0126,+","  44.7"," ,6,1001, ","    417.3"," ,6","       76"," ,6"
"USC00299070","1926","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        62","6","        32","6","         2","6","         5","6","","","   152"," ,6,0329, ","  36.3"," ,6,0817, ","    391.8"," ,6","      465"," ,6"
"USC00299070","1927","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        52","6","        32","6","         1","6","         2","6","","","    51"," ,6,0228, ","  41.9"," ,6,0618, ","    369.2"," ,6","       76"," ,6"
"USC00299070","1928","35.46667","-104.41667","1402.1","TREMENTINA, NM US","        77","6","        49","6","         3","6","         8","6","","","   127"," ,6,0213, ","  53.3"," ,6,0609, ","    559.4"," ,6","      520"," ,6"
