"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00094066","1901","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       191","a","       144","a","        14","a","","","","","","","  88.9"," ,a,1028, ","","","","","","","","","","","   1473.2"," ,a","",""
"ASN00094066","1902","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       191","a","       137","a","        12","a","","","","","",""," 103.6"," ,a,1220, ","","","","","","","","","","","   1460.4"," ,a","",""
"ASN00094066","1903","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       186","a","       126","a","        16","a","","","","","",""," 161.8"," ,a,0609, ","","","","","","","","","","","   1705.1"," ,a","",""
"ASN00094066","1904","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       189","a","       124","a","         8","a","","","","","","","  78.7"," ,a,0226, ","","","","","","","","","","","   1223.8"," ,a","",""
"ASN00094066","1905","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       201","a","       136","a","        12","a","","","","","",""," 137.9"," ,a,0531, ","","","","","","","","","","","   1657.3"," ,a","",""
"ASN00094066","1908","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       177","a","       104","a","         4","a","","","","","","","  50.3"," ,a,1009, ","","","","","","","","","","","    913.8"," ,a","",""
"ASN00094066","1909","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       214","a","       131","a","         7","a","","","","","","","  90.2"," ,a,0420, ","","","","","","","","","","","   1519.1"," ,a","",""
"ASN00094066","1910","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       219","a","       127","a","        16","a","","","","","","","  87.4"," ,a,1202, ","","","","","","","","","","","   1493.2"," ,a","",""
"ASN00094066","1911","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       223","a","       127","a","        14","a","","","","","",""," 134.6"," ,a,0314, ","","","","","","","","","","","   1704.7"," ,a","",""
"ASN00094066","1912","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       233","a","       131","a","         9","a","","","","","","","  55.9"," ,a,0907, ","","","","","","","","","","","   1368.6"," ,a","",""
"ASN00094066","1913","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       228","a","       112","a","         7","a","","","","","","","  71.1"," ,a,0427, ","","","","","","","","","","","   1209.0"," ,a","",""
"ASN00094066","1914","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       203","a","       101","a","         8","a","","","","","",""," 138.2"," ,a,1227, ","","","","","","","","","","","   1137.5"," ,a","",""
"ASN00094066","1915","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       222","a","       125","a","         8","a","","","","","","","  60.2"," ,a,0412, ","","","","","","","","","","","   1352.7"," ,a","",""
"ASN00094066","1916","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       226","a","       137","a","        21","a","","","","","",""," 246.9"," ,a,0130, ","","","","","","","","","","","   2572.0"," ,a","",""
"ASN00094066","1917","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       252","a","       136","a","        11","a","","","","","",""," 116.8"," ,a,0307, ","","","","","","","","","","","   1697.1"," ,a","",""
"ASN00094066","1918","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       229","a","       126","a","        13","a","","","","","","","  74.7"," ,a,0110, ","","","","","","","","","","","   1573.1"," ,a","",""
"ASN00094066","1919","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       193","a","        90","a","         7","a","","","","","",""," 102.1"," ,a,0305, ","","","","","","","","","","","   1139.2"," ,a","",""
"ASN00094066","1921","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       176","a","       104","a","         7","a","","","","","","","  50.8"," ,a,0610,+","","","","","","","","","","","   1074.9"," ,a","",""
"ASN00094066","1922","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       186","a","       114","a","        11","a","","","","","","","  75.2"," ,a,0718, ","","","","","","","","","","","   1466.3"," ,a","",""
"ASN00094066","1923","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       209","a","       125","a","        15","a","","","","","",""," 105.9"," ,a,1205, ","","","","","","","","","","","   1638.0"," ,a","",""
