"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ER000063023","1949","15.617","39.45","10.0","MASSAWA, ER","   4099.9","","    4099.9","Q","         0","Q","         0","Q","         0","Q","       363","Q","       207","Q","   20.0","Q,0313,+","   41.7","Q,0828,+","","","","","     29.61","Q","     33.13","Q","     26.10","Q"
"ER000063023","1951","15.617","39.45","10.0","MASSAWA, ER","","","","","         0","Q","         0","Q","","","","","","","   18.3","Q,0930,+","","","","","","","","","","","     24.93","Q"
"ER000063023","1952","15.617","39.45","10.0","MASSAWA, ER","","","","","         0","Q","         0","Q","","","","","","","   20.0","Q,0304,+","","","","","","","","","","","     25.35","Q"
"ER000063023","1953","15.617","39.45","10.0","MASSAWA, ER","","","","","         0","Q","         0","Q","","","","","","","   14.4","Q,1222, ","","","","","","","","","","","     22.84","Q"
"ER000063023","1954","15.617","39.45","10.0","MASSAWA, ER","","","","","         0","Q","         0","Q","","","","","","","   13.3","Q,1231, ","","","","","","","","","","","     20.62","Q"
"ER000063023","1955","15.617","39.45","10.0","MASSAWA, ER","   2949.7","","    2949.7","Q","         0","Q","         0","Q","         0","Q","       365","Q","       218","Q","   12.2","Q,0208,+","   42.8","Q,0726,+","       0.9","9","       0.9","Q","     26.39","Q","     33.40","Q","     19.39","Q"
"ER000063023","1956","15.617","39.45","10.0","MASSAWA, ER","   2836.2","","    2836.2","Q","         0","Q","         0","Q","         0","Q","       364","Q","       205","Q","   11.7","Q,0201, ","   42.8","Q,0722,+","       0.0","0","       0.0","Q","     26.13","Q","     32.98","Q","     19.27","Q"
"ER000063023","1957","15.617","39.45","10.0","MASSAWA, ER","","","","","","","","","         0","Q","       365","Q","       241","Q","","","   43.9","Q,0630, ","       0.0","0","       0.0","Q","","","     34.91","Q","",""
"ER000063023","1958","15.617","39.45","10.0","MASSAWA, ER","","","","","         0","Q","         0","Q","","","","","","","   20.0","Q,0127, ","","","","","","","","","","","     26.76","Q"
"ER000063023","1960","15.617","39.45","10.0","MASSAWA, ER","","","","","         0","Q","         0","Q","","","","","","","   20.0","Q,0122,+","","","","","","","","","","","     26.25","Q"
"ER000063023","1961","15.617","39.45","10.0","MASSAWA, ER","","","","","","","","","         0","Q","       365","Q","       245","Q","","","   45.2","Q,0816, ","","","","","","","     34.88","Q","",""
"ER000063023","1962","15.617","39.45","10.0","MASSAWA, ER","   4544.5","","    4544.5","Q","         0","Q","         0","Q","         0","Q","       365","Q","       256","Q","   19.2","Q,0217, ","   45.5","Q,0729, ","       0.0","0","       0.0","Q","     30.76","Q","     35.48","Q","     26.03","Q"
"ER000063023","1963","15.617","39.45","10.0","MASSAWA, ER","   4533.1","","    4533.1","Q","         0","Q","         0","Q","         0","Q","       365","Q","       247","Q","   17.9","Q,1223, ","   46.3","Q,0720, ","       0.0","0","       0.0","Q","     30.73","Q","     35.25","Q","     26.22","Q"
"ER000063023","1964","15.617","39.45","10.0","MASSAWA, ER","","","","","         0","Q","         0","Q","","","","","","","   19.4","Q,0302, ","","","","","","","","","","","     25.02","Q"
"ER000063023","1965","15.617","39.45","10.0","MASSAWA, ER","   4227.8","","    4227.8","Q","         0","Q","         0","Q","         0","Q","       363","Q","       226","Q","   18.4","Q,0101, ","   45.0","Q,0811, ","","","","","     29.96","Q","     34.57","Q","     25.35","Q"
"ER000063023","1966","15.617","39.45","10.0","MASSAWA, ER","   4451.3","","    4451.3","Q","         0","Q","         0","Q","         0","Q","       365","Q","       245","Q","   19.0","Q,1211, ","   46.7","Q,0722, ","       0.0","0","       0.0","Q","     30.50","Q","     34.88","Q","     26.11","Q"
"ER000063023","1967","15.617","39.45","10.0","MASSAWA, ER","","","","","","","","","         0","Q","       365","Q","       213","Q","","","   45.0","Q,0819, ","       0.0","0","       0.0","Q","","","     34.24","Q","",""
"ER000063023","1968","15.617","39.45","10.0","MASSAWA, ER","","","","","","","","","         0","Q","       364","Q","       231","Q","","","   44.0","Q,0813,+","","","","","","","     34.59","Q","",""
"ER000063023","1969","15.617","39.45","10.0","MASSAWA, ER","   3364.3","","    3364.3","Q","         0","Q","         0","Q","         0","Q","       365","Q","       259","Q","   10.0","Q,0201,+","   46.0","Q,0609, ","","","","","     27.52","Q","     35.41","Q","     19.63","Q"
