"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00487105","1907","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    159.8","","     159.8","6","        66","6","        17","6","         0","6","","","        13","6","       177","6","        25","6","       122","6","        18","6","","","","","  -25.0","6,0115, ","","","  20.6"," ,6,0524, ","   35.0","6,0723,+","-0.6","6,0919","-2.2","6,1018","-4.4","6,1103","-7.2","6,1104","-9.4","6,1110","-2.8","6,0514","-2.8","6,0514","-7.8","6,0503","-7.8","6,0503","-9.4","6,0429","    3717.8","8","    3717.8","6","    140.5"," ,6","","","      7.83","6","     15.38","6","      0.27","6","",""
"USC00487105","1908","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    154.7","","     154.7","6","        73","6","        34","6","         1","6","","","        10","6","       184","6","        32","6","       133","6","        17","6","","","","","  -30.0","6,0201, ","","","  46.5"," ,6,0528, ","   35.0","6,0711, ","0.0","6,0901","-3.3","6,0926","-5.6","6,0927","-6.7","6,1021","-10.6","6,1110","-0.6","6,0529","-2.8","6,0505","-5.0","6,0407","-12.8","6,0402","-12.8","6,0402","    3927.4","4","    3927.4","6","    294.4"," ,6","","","      7.18","6","     14.56","6","     -0.19","6","",""
"USC00487105","1910","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    308.1","","     308.1","6","        48","6","        21","6","         2","6","","","        11","6","       157","6","        39","6","       162","6","        34","6","","","","","  -31.7","6,0103, ","","","  48.0"," ,6,1017, ","   37.2","6,0720, ","-2.8","6,0825","-2.8","6,0825","-5.0","6,0926","-7.8","6,1020","-10.0","6,1027","0.0","6,0522","-2.2","6,0418","-6.7","6,0416","-6.7","6,0416","-25.6","6,0222","","","","","    254.2"," ,6","","","      9.07","6","     17.05","6","      1.10","6","",""
"USC00487105","1911","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","        59","6","        22","6","         1","6","","","","","","","        49","6","       135","6","        11","6","","","","","","","","","  35.6"," ,6,0412, ","   34.4","6,0819, ","","","","","","","","","","","","","","","","","","","","","    3706.2","2","    3706.2","6","    200.6"," ,6","","","","","     14.37","6","","","",""
"USC00487105","1912","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    130.0","","     130.0","6","","","","","","","","","        21","6","       192","6","        60","6","        99","6","         1","6","","","","","  -30.0","6,0108, ","","","","","   32.2","6,0826, ","-0.6","6,0914","-3.3","6,0915","-4.4","6,1031","-7.8","6,1125","-11.7","6,1126","-5.0","6,0514","-5.0","6,0514","-5.0","6,0514","-7.8","6,0331","-13.3","6,0324","","","","","","","","","      5.71","6","     11.88","6","     -0.45","6","",""
"USC00487105","1913","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    211.1","","     211.1","6","        65","6","        21","6","         0","6","","","        24","6","       175","6","        71","6","       122","6","         6","6","","","","","  -28.9","6,0106, ","","","  17.8"," ,6,1001, ","   33.9","6,0709,+","-0.6","6,0923","-3.3","6,0924","-5.6","6,0925","-11.7","6,1026","-11.7","6,1026","-0.6","6,0505","-2.2","6,0503","-5.6","6,0425","-6.7","6,0410","-8.9","6,0327","    4560.4","4","    4560.4","6","    166.4"," ,6","","","      6.48","6","     12.72","6","      0.24","6","",""
"USC00487105","1914","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    196.2","","     196.2","6","        54","6","        26","6","         0","6","         8","6","        16","6","       171","6","        44","6","       129","6","         7","6","","","","","  -29.4","6,0206, ","    89"," ,6,0427, ","  16.3"," ,6,0722, ","   36.1","6,0807, ","-0.6","6,1009","-2.2","6,1012","-8.9","6,1024","-8.9","6,1024","-8.9","6,1024","-1.7","6,0513","-2.2","6,0512","-4.4","6,0505","-10.0","6,0408","-10.0","6,0408","    4260.2","2","    4260.2","6","    196.3"," ,6","      541"," ,6","      7.58","6","     14.17","6","      1.00","6","",""
"USC00487105","1917","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    186.4","","     186.4","6","        62","6","        31","6","         0","6","","","        18","6","       177","6","        60","6","       123","6","        11","6","","","","","  -36.1","6,0302, ","","","  14.7"," ,6,0827, ","   34.4","6,0723, ","-1.7","6,1008","-3.9","6,1017","-11.1","6,1018","-11.1","6,1018","-11.1","6,1018","-2.2","6,0601","-2.2","6,0601","-5.0","6,0507","-7.8","6,0430","-11.7","6,0404","","","","","    215.4"," ,6","","","      6.56","6","     13.28","6","     -0.17","6","",""
"USC00487105","1919","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","","","","","        62","6","        19","6","         0","6","","","        18","6","       193","6","        42","6","       131","6","        38","6","","","","","  -31.7","6,1209, ","","","  19.3"," ,6,0414, ","   36.7","6,0710, ","-1.1","6,0922","-2.8","6,1005","-8.9","6,1009","-8.9","6,1009","-8.9","6,1009","-0.6","6,0602","-5.0","6,0506","-5.0","6,0506","-10.6","6,0409","-10.6","6,0409","","","","","    185.2"," ,6","","","      7.57","6","     14.61","6","      0.53","6","",""
"USC00487105","1921","42.47165","-106.85268","1805.3","PATHFINDER DAM, WY US","    233.9","","     233.9","6","","","","","","","","","         8","6","       160","6","        28","6","       126","6","        16","6","","","","","  -26.1","6,0111, ","","","","","   34.4","6,0720,+","-3.3","6,0911","-3.3","6,0911","-5.6","6,1007","-6.7","6,1108","-12.8","6,1117","-1.1","6,0513","-3.9","6,0501","-4.4","6,0425","-8.3","6,0416","-10.6","6,0409","","","","","","","","","      8.60","6","     15.78","6","      1.43","6","",""
