"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"VMW00041047","1967","16.65","106.73333","457.2","KHE SANH CWT 5, VM","       106"," ","        56"," ","         3"," "
"VMW00041047","1968","16.65","106.73333","457.2","KHE SANH CWT 5, VM","        92"," ","        66"," ","        11"," "
