"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00021184","1982","19.4333","-97.6833","2422.9","LIBRES DGE, MX","","","","","        66","m","        40","m","         1","m","         0","m","        18","m","","","","","","","   -5.0","m,1110, ","  30.0"," ,m,1009, ","","","-1.1","m,1027","-3.3","m,1109","-5.0","m,1110","-1.1","m,0604","","","","","","","    391.4"," ,m","","","","","      4.44","m"
"MXN00021184","1984","19.4333","-97.6833","2422.9","LIBRES DGE, MX","      1.7","","       1.7","m","        80","m","        75","m","         5","m","         0","m","        20","m","         0","m","       174","m","         0","m","   -7.2","m,0101, ","  64.5"," ,m,0503, ","   29.4","m,0730, ","-4.4","m,1110","-4.4","m,1110","-4.4","m,1110","-4.4","m,0111","-4.4","m,0111","-4.4","m,0111","-7.2","m,0101","    917.7"," ,m","     12.89","m","     20.51","m","      5.27","m"
