"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CLTU","2003","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    844.0","","     844.0","U","         0","U","         1","U","         0","U","       234","U","        83","U","    0.0","U,1227, ","   39.4","U,0814, ","0.0","U,1227","","","","","","","","","     17.91","U","     24.81","U","     11.01","U"
"USR0000CLTU","2005","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    606.1","","     606.1","U","         0","U","         0","U","         0","U","       247","U","        45","U","    2.8","U,1216,+","   38.3","U,0827,+","","","","","","","    1117.7","7","    1117.7","U","     17.33","U","     24.12","U","     10.54","U"
"USR0000CLTU","2006","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    864.4","","     864.4","U","         0","U","         2","U","         0","U","       251","U","        80","U","    0.0","U,1217,+","   47.8","U,0722, ","0.0","U,1217","0.0","U,0312","","","    1019.3","3","    1019.3","U","     17.95","U","     25.28","U","     10.61","U"
"USR0000CLTU","2007","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    729.5","","     729.5","U","         0","U","         1","U","         0","U","       266","U","        59","U","   -2.2","U,0114, ","   41.7","U,0831, ","","","-2.2","U,0114","-2.2","U,0114","     867.2","2","     867.2","U","     17.69","U","     25.16","U","     10.23","U"
"USR0000CLTU","2008","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","","","","","","","","","         0","U","       261","U","        92","U","","","   43.3","U,0620, ","","","","","","","    1039.1","1","    1039.1","U","","","     25.55","U","",""
"USR0000CLTU","2009","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    777.9","","     777.9","U","         0","U","         1","U","         0","U","       251","U","        63","U","    0.0","U,1208, ","   40.0","U,0827, ","0.0","U,1208","","","","","","","","","     17.83","U","     24.65","U","     11.02","U"
"USR0000CLTU","2010","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    561.7","","     561.7","U","         0","U","         0","U","         0","U","       234","U","        44","U","    0.6","U,0123, ","   45.0","U,0927, ","","","","","","","     963.6","6","     963.6","U","     16.93","U","     23.63","U","     10.24","U"
"USR0000CLTU","2011","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    633.5","","     633.5","U","         0","U","         1","U","         0","U","       250","U","        56","U","    0.0","U,0409, ","   40.6","U,0827,+","","","0.0","U,0409","","","    1052.5","5","    1052.5","U","     17.15","U","     24.25","U","     10.05","U"
"USR0000CLTU","2012","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    826.5","","     826.5","U","         0","U","         0","U","         0","U","       253","U","        59","U","    0.6","U,0319,+","   39.4","U,0809,+","","","","","","","     911.4","4","     911.4","U","     18.09","U","     24.80","U","     11.38","U"
"USR0000CLTU","2013","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    722.4","","     722.4","U","         0","U","         4","U","         0","U","       268","U","        50","U","   -0.6","U,0114, ","   38.3","U,0906, ","","","-0.6","U,0114","","","     931.5","5","     931.5","U","     17.93","U","     24.56","U","     11.30","U"
"USR0000CLTU","2014","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    895.0","","     895.0","U","         0","U","         0","U","         0","U","       291","U","        57","U","    0.6","U,1231, ","   38.9","U,0916,+","","","","","","","     638.3","3","     638.3","U","     19.13","U","     25.79","U","     12.47","U"
"USR0000CLTU","2015","34.2936","-118.3608","423.7","LITTLE TUJUNGA CALIFORNIA, CA US","    935.2","","     935.2","U","         0","U","         1","U","         0","U","       276","U","        52","U","   -0.6","U,0101, ","   38.9","U,1009,+","","","-0.6","U,0101","","","     628.1","1","     628.1","U","     18.95","U","     25.37","U","     12.53","U"
