"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00173295","1996","43.8925","-70.2544","115.2","GRAY, ME US","    169.0","","     169.0","0","       156","0","        96","0","        13","0","       87","","        23","0","        12","0","       153","0","        58","0","        96","0","         0","0","","","","","","","  -22.8","0,0204,+","   838"," ,0,0113, ","   279"," ,0,0410, "," 155.2"," ,0,1021, ","   31.1","0,0612, ","0.0","0,1003","-3.3","0,1103","-5.6","0,1113","-8.9","0,1114","-8.9","0,1114","0.0","0,0415","-3.9","0,0404","-4.4","0,0329","-8.9","0,0328","-8.9","0,0328","","","","","   1488.7"," ,0","     2564"," ,0","      7.40","0","     12.17","0","      2.62","0","",""
"USC00173295","1997","43.8925","-70.2544","115.2","GRAY, ME US","    198.1","","     198.1","0","       125","0","        79","0","         9","0","      138","","        25","0","         8","0","       156","0","        54","0","       101","0","         4","0","","","","","","","  -23.9","0,0119, ","   457"," ,0,0205, ","   234"," ,0,1114, ","  67.1"," ,0,0418, ","   32.8","0,0611, ","0.0","0,1019","-2.2","0,1022","-4.4","0,1023","-6.7","0,1114","-8.9","0,1117","-0.6","0,0416","-3.3","0,0415","-6.7","0,0410","-6.7","0,0410","-9.4","0,0324","    4156.2","2","    4156.2","0","   1050.2"," ,0","     2401"," ,0","      7.28","0","     12.35","0","      2.20","0","",""
"USC00173295","1998","43.8925","-70.2544","115.2","GRAY, ME US","    200.6","","     200.6","0","       125","0","        81","0","        14","0","       75","","        13","0","         4","0","       129","0","        36","0","       117","0","         2","0","","","","","","","  -21.1","0,1231, ","   229"," ,0,0124, ","   157"," ,0,0322, "," 165.1"," ,0,1010, ","   33.3","0,0722, ","0.0","0,1006","-3.3","0,1109","-5.0","0,1212","-8.9","0,1218","-8.9","0,1218","0.0","0,0427","-5.0","0,0325","-5.0","0,0325","-7.8","0,0317","-17.8","0,0313","    3814.0","0","    3814.0","0","   1455.3"," ,0","     1129"," ,0","      8.95","0","     13.86","0","      4.04","0","",""
"USC00173295","1999","43.8925","-70.2544","115.2","GRAY, ME US","    305.8","","     305.8","0","       123","0","        80","0","        12","0","       71","","        15","0","         5","0","       138","0","        42","0","       113","0","         9","0","","","","","","","  -25.6","0,0102, ","   356"," ,0,0115, ","   312"," ,0,0315, "," 139.4"," ,0,0916, ","   36.1","0,0717, ","0.0","0,1007","-3.3","0,1028","-5.0","0,1111","-7.2","0,1201","-10.6","0,1219","-1.1","0,0424","-2.8","0,0327","-4.4","0,0326","-9.4","0,0310","-9.4","0,0310","    3675.1","1","    3675.1","0","   1261.0"," ,0","     1331"," ,0","      9.03","0","     14.23","0","      3.83","0","",""
"USC00173295","2000","43.8925","-70.2544","115.2","GRAY, ME US","    133.8","","     133.8","0","       142","0","        86","0","        12","0","       85","","        17","0","         9","0","       135","0","        58","0","       103","0","         1","0","","","","","","","  -21.1","0,0123, ","   711"," ,0,0222,+","   274"," ,0,0125, ","  57.7"," ,0,1217, ","   32.8","0,0617, ","-0.6","0,0929","-3.9","0,1118","-5.0","0,1119","-8.3","0,1123","-11.1","0,1124","-1.1","0,0428","-2.2","0,0413","-5.6","0,0320","-8.9","0,0319","-8.9","0,0319","    3877.7","7","    3877.7","0","   1185.7"," ,0","     2201"," ,0","      7.50","0","     12.40","0","      2.61","0","",""
"USC00173295","2001","43.8925","-70.2544","115.2","GRAY, ME US","    295.1","","     295.1","0","       122","0","        70","0","        10","0","      127","","        26","0","         2","0","       150","0","        55","0","       125","0","        13","0","","","","","","","  -18.9","0,0302, ","   864"," ,0,0310, ","   381"," ,0,0205, ","  69.9"," ,0,0322, ","   35.6","0,0809,+","-0.6","0,1019","-2.2","0,1029","-4.4","0,1113","-6.7","0,1210","","","0.0","0,0429","-2.8","0,0402","-4.4","0,0328","-7.2","0,0326","-8.9","0,0308","    4116.0","0","    4116.0","0","    883.8"," ,0","     2986"," ,0","      8.62","0","     13.69","0","      3.54","0","",""
"USC00173295","2002","43.8925","-70.2544","115.2","GRAY, ME US","    313.2","","     313.2","0","       136","0","        79","0","        14","0","       90","","        20","0","         1","0","       157","0","        35","0","       113","0","        19","0","","","","","","","  -17.8","0,0212, ","   356"," ,Z,1227,+","   356"," ,0,1225, ","  39.9"," ,0,1016, ","   35.6","0,0909,+","-1.7","0,1015","-2.2","0,1029","-6.7","0,1102","-6.7","0,1102","-9.4","0,1128","0.0","0,0429","-3.3","0,0422","-5.6","0,0407","-11.1","0,0323","-11.1","0,0323","    3638.7","7","    3638.7","0","   1187.3"," ,0","     2030"," ,0","      8.41","0","     13.46","0","      3.36","0","",""
"USC00173295","2003","43.8925","-70.2544","115.2","GRAY, ME US","    233.1","","     233.1","0","       143","0","        84","0","        14","0","      106","","        17","0","        19","0","       152","0","        67","0","       112","0","         2","0","","","","","","","  -23.9","0,0215,+","   610"," ,0,0219, ","   328"," ,0,0104, ","  47.2"," ,0,1015, ","   33.3","0,0625, ","-0.6","0,1020","-6.7","0,1108","-6.7","0,1108","-6.7","0,1108","-10.6","0,1202","-0.6","0,0425","-6.1","0,0418","-6.1","0,0418","-7.8","0,0401","-8.9","0,0316","    4356.4","4","    4356.4","0","   1138.9"," ,0","     1845"," ,0","      7.32","0","     12.25","0","      2.39","0","",""
"USC00173295","2004","43.8925","-70.2544","115.2","GRAY, ME US","    151.7","","     151.7","0","       129","0","        83","0","        11","0","       72","","        13","0","        16","0","       151","0","        55","0","       110","0","         1","0","","","","","","","  -26.1","0,0115, ","   229"," ,0,0223, ","    99"," ,0,0221, ","  52.3"," ,0,0813, ","   33.9","0,0609, ","0.0","0,1006","-2.2","0,1108","-5.6","0,1109","-7.2","0,1110","-10.6","0,1206","-1.7","0,0425","-2.2","0,0417","-5.0","0,0324","-12.2","0,0323","-12.2","0,0323","    4066.5","5","    4066.5","0","   1114.4"," ,0","      879"," ,0","      7.39","0","     12.33","0","      2.45","0","",""
"USC00173295","2005","43.8925","-70.2544","115.2","GRAY, ME US","    289.2","","     289.2","0","       161","0","       103","0","        21","0","      121","","        28","0","         8","0","       139","0","        64","0","       108","0","         4","0","","","","","","","  -23.3","0,0122, ","   965"," ,0,0313, ","   368"," ,0,0210, "," 128.8"," ,0,1008, ","   33.9","0,0625, ","-2.8","0,1029","-2.8","0,1029","-4.4","0,1118","-7.8","0,1124","-9.4","0,1125","-0.6","0,0417","-2.2","0,0416","-5.6","0,0327","-7.2","0,0314","-9.4","0,0313","    4154.1","1","    4154.1","0","   1827.4"," ,0","     3072"," ,0","      7.91","0","     12.73","0","      3.09","0","",""
