"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00150031","1927","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00150031","1928","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       127","6","        75","6","        12","6","","","","","","","","","","","","","","","        34"," ","","","","","","","  73.9"," ,6,0609, ","","","","","","","","","","","","","","","","","","","","","","","   1176.4"," ,6","","","","","","","",""
"USC00150031","1929","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       129","6","        89","6","        13","6","","","","","","","","","","","","","","","        26"," ","","","","","","","  50.8"," ,6,0502, ","","","","","","","","","","","","","","","","","","","","","","","   1152.4"," ,6","","","","","","","",""
"USC00150031","1930","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","        93","6","        53","6","         7","6","","","","","","","","","","","","","","","        11"," ","","","","","","","  49.0"," ,6,0226, ","","","","","","","","","","","","","","","","","","","","","","","    733.9"," ,6","","","","","","","",""
"USC00150031","1931","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","","","","","","","","","","","","","","","","","","","","","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00150031","1932","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       125","0","        79","0","        14","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,1231, ","","","","","","","","","","","","","","","","","","","","","","","   1335.1"," ,0","        0"," ,0","","","","","",""
"USC00150031","1933","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       141","0","        91","0","        14","0","        0","","         1","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","    64"," ,0,1226, ","  59.7"," ,0,0726, ","","","","","","","","","","","","","","","","","","","","","","","   1242.0"," ,0","       64"," ,0","","","","","",""
"USC00150031","1934","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       124","0","        68","0","         6","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","    10"," ,0,0225, ","  44.2"," ,0,0622, ","","","","","","","","","","","","","","","","","","","","","","","    810.5"," ,0","       10"," ,0","","","","","",""
"USC00150031","1935","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       132","0","        89","0","        12","0","        8","","         3","0","","","","","","","","","","","","","","","   102"," ,0,1230,+","    76"," ,0,0122, ","  78.7"," ,0,0311, ","","","","","","","","","","","","","","","","","","","","","","","   1318.6"," ,0","      204"," ,0","","","","","",""
"USC00150031","1936","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       106","0","        70","0","         8","0","        6","","         3","0","","","","","","","","","","","","","","","    76"," ,0,0125, ","    71"," ,0,0125, ","  58.7"," ,0,0924, ","","","","","","","","","","","","","","","","","","","","","","","    875.2"," ,0","      155"," ,0","","","","","",""
