"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"UKW00015018","1950","52.1","-0.05","30.2","BASSINGBOURN, UK","        43"," ","",""
"UKW00015018","1951","52.1","-0.05","30.2","BASSINGBOURN, UK","       151"," ","         8"," "
