"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NO000086850","1897","68.8167","14.8","3.0","BARKESTAD, NO","       189","E","       118","E","         3","E","      135","","   450"," ,E,0329,+","  50.0"," ,E,1029, ","   1139.4"," ,E"
"NO000086850","1898","68.8167","14.8","3.0","BARKESTAD, NO","       188","E","       129","E","         6","E","       82","","   330"," ,E,1218, ","  51.7"," ,E,0114, ","   1125.9"," ,E"
"NO000086850","1899","68.8167","14.8","3.0","BARKESTAD, NO","       206","E","       145","E","         3","E","      196","","  1470"," ,E,0404, ","  42.4"," ,E,0223, ","   1307.0"," ,E"
"NO000086850","1900","68.8167","14.8","3.0","BARKESTAD, NO","       204","E","       133","E","         8","E","      170","","   880"," ,E,0331, ","  44.5"," ,E,0831, ","   1295.3"," ,E"
"NO000086850","1901","68.8167","14.8","3.0","BARKESTAD, NO","       200","E","       136","E","         8","E","      151","","  1160"," ,E,1122,+","  69.1"," ,E,1031, ","   1509.5"," ,E"
"NO000086850","1902","68.8167","14.8","3.0","BARKESTAD, NO","       198","E","       151","E","         9","E","      168","","  1630"," ,E,0218,+","  45.7"," ,E,0219, ","   1409.9"," ,E"
"NO000086850","1903","68.8167","14.8","3.0","BARKESTAD, NO","       205","E","       129","E","         7","E","       95","","   630"," ,E,0112, ","  45.7"," ,E,0924, ","   1219.2"," ,E"
"NO000086850","1904","68.8167","14.8","3.0","BARKESTAD, NO","       209","E","       128","E","         5","E","      101","","   610"," ,E,1231,+","  69.0"," ,E,1114, ","   1327.4"," ,E"
"NO000086850","1905","68.8167","14.8","3.0","BARKESTAD, NO","       213","E","       156","E","         7","E","      174","","  1320"," ,E,0215, ","  59.2"," ,E,0122, ","   1466.5"," ,E"
"NO000086850","1906","68.8167","14.8","3.0","BARKESTAD, NO","       203","E","       136","E","        11","E","      128","","   870"," ,E,0401, ","  67.0"," ,E,0402, ","   1463.1"," ,E"
"NO000086850","1907","68.8167","14.8","3.0","BARKESTAD, NO","       201","E","       145","E","         7","E","       93","","   570"," ,E,0225, ","  43.4"," ,E,0910, ","   1320.7"," ,E"
"NO000086850","1908","68.8167","14.8","3.0","BARKESTAD, NO","       226","E","       147","E","         7","E","      115","","   540"," ,E,0318, "," 101.0"," ,E,1022, ","   1524.8"," ,E"
"NO000086850","1909","68.8167","14.8","3.0","BARKESTAD, NO","       203","E","       148","E","         8","E","      153","","   450"," ,E,0403, ","  44.0"," ,E,1213, ","   1441.5"," ,E"
"NO000086850","1910","68.8167","14.8","3.0","BARKESTAD, NO","       188","E","       123","E","         8","E","       96","","   420"," ,E,0210, ","  71.0"," ,E,0106, ","   1192.9"," ,E"
"NO000086850","1911","68.8167","14.8","3.0","BARKESTAD, NO","       236","E","       162","E","         2","E","      144","","   470"," ,E,0324, ","  44.3"," ,E,1005, ","   1303.7"," ,E"
"NO000086850","1912","68.8167","14.8","3.0","BARKESTAD, NO","       174","E","       110","E","         4","E","      139","","   470"," ,E,0412, ","  41.2"," ,E,0920, ","    966.1"," ,E"
"NO000086850","1913","68.8167","14.8","3.0","BARKESTAD, NO","       218","E","       145","E","         6","E","      119","","   290"," ,E,0129, ","  40.2"," ,E,0305, ","   1372.5"," ,E"
"NO000086850","1914","68.8167","14.8","3.0","BARKESTAD, NO","       216","E","       149","E","         3","E","      101","","   510"," ,E,0402,+","  37.5"," ,E,1009, ","   1320.7"," ,E"
"NO000086850","1915","68.8167","14.8","3.0","BARKESTAD, NO","       190","E","       130","E","         5","E","      141","","  1010"," ,E,0401,+","  75.0"," ,E,0503, ","   1349.7"," ,E"
"NO000086850","1916","68.8167","14.8","3.0","BARKESTAD, NO","       159","E","        98","E","         5","E","      127","","   640"," ,E,0127, ","  54.6"," ,E,0921, ","   1029.4"," ,E"
