"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYTS","DYTS_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00489479","1987","44.46667","-109.5","1749.6","WAPITI 4 W, WY US","        21"," ","","","",""
"USC00489479","1988","44.46667","-109.5","1749.6","WAPITI 4 W, WY US","","","    3714.9","9","    3714.9"," "
