"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMM00010803","1952","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","","","","","","","","","","","        21","S","       124","S","        15","S","","","","","   37.8","S,0702, ","","","","","","","","","","","","","","","","","","","","","     15.24","S","",""
"GMM00010803","1953","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","","","","","","","","","","","        20","S","       124","S","         5","S","","","","","   32.8","S,0902, ","","","","","","","","","","","","","","","","","","","","","     15.42","S","",""
"GMM00010803","1957","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","","","","","","","         0","S","        58","S","","","","","","","  -12.2","S,0118, ","","","","","-1.1","S,1123","-2.2","S,1125","-7.2","S,1202","-7.2","S,1202","0.0","S,0508","-2.2","S,0304","-7.2","S,0124","-7.2","S,0124","-8.9","S,0123","","","","","      6.53","S"
"GMM00010803","1969","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","","","","","","","","","","","        30","S","        96","S","         3","S","","","","","   32.8","S,0724,+","","","","","","","","","","","","","","","","","","","","","     14.14","S","",""
"GMM00010803","1973","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       149","S","        89","S","         5","S","","","","","        20","S","       101","S","         1","S","","","  53.1"," ,S,0623, ","   33.0","S,0806, ","","","","","","","","","","","","","","","","","","","    865.2"," ,S","     14.32","S","",""
"GMM00010803","1976","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       147","S","        70","S","         0","S","","","","","","","","","","","","","  23.1"," ,S,0425, ","","","","","","","","","","","","","","","","","","","","","    659.5"," ,S","","","",""
"GMM00010803","1977","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       174","S","       102","S","         5","S","","","","","","","","","","","","","  53.1"," ,S,0731, ","","","","","","","","","","","","","","","","","","","","","   1018.0"," ,S","","","",""
"GMM00010803","1978","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       161","S","        97","S","         8","S","","","","","","","","","","","","","  65.0"," ,S,0523, ","","","","","","","","","","","","","","","","","","","","","   1104.0"," ,S","","","",""
"GMM00010803","1979","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       196","S","       109","S","         2","S","","","","","","","","","","","","","  41.9"," ,S,0820, ","","","","","","","","","","","","","","","","","","","","","   1048.8"," ,S","","","",""
"GMM00010803","1980","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       157","S","       103","S","         4","S","","","","","        14","S","        69","S","         2","S","","","  46.0"," ,S,0615, ","   33.0","S,0803,+","","","","","","","","","","","","","","","","","","","    981.4"," ,S","     14.01","S","",""
"GMM00010803","1981","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       193","S","       109","S","         4","S","","","","","","","","","","","","","  50.0"," ,S,0810, ","","","","","","","","","","","","","","","","","","","","","   1123.3"," ,S","","","",""
"GMM00010803","1992","48.0","7.85","269.0","FREIBURG CIV FAFB, GM","       154","S","        88","S","         2","S","","","","","         8","S","       122","S","        13","S","","","  32.0"," ,S,0901, ","   36.4","S,0808, ","","","","","","","","","","","","","","","","","","","    799.5"," ,S","     16.34","S","",""
