"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00393572","1910","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","","","","","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00393572","1911","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","","","","","","","        30","6","","","","","","","","","","","","","","","","","   279"," ,6,0102, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     2918"," ,6","","","","","",""
"USC00393572","1913","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       102","6","        64","6","         3","6","","","","","","","","","","","","","","","","","","","","","  28.4"," ,6,0620, ","","","","","","","","","","","","","","","","","","","","","","","    545.2"," ,6","","","","","","","",""
"USC00393572","1917","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       104","6","        66","6","         0","6","","","","","","","","","","","","","","","","","","","","","  14.5"," ,6,0627, ","","","","","","","","","","","","","","","","","","","","","","","    443.2"," ,6","","","","","","","",""
"USC00393572","1918","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       104","6","        79","6","         2","6","","","","","","","","","","","","","","","","","","","","","  53.8"," ,6,0418, ","","","","","","","","","","","","","","","","","","","","","","","    721.5"," ,6","","","","","","","",""
"USC00393572","1919","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        68","6","        47","6","         2","6","","","","","","","","","","","","","","","","","","","","","  35.6"," ,6,0729, ","","","","","","","","","","","","","","","","","","","","","","","    464.7"," ,6","","","","","","","",""
"USC00393572","1920","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        86","6","        63","6","         3","6","","","","","","","","","","","","","","","","","","","","","  31.2"," ,6,0630, ","","","","","","","","","","","","","","","","","","","","","","","    651.2"," ,6","","","","","","","",""
"USC00393572","1924","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        68","6","        46","6","         1","6","        34","6","","","","","","","","","","","","","","","","","   356"," ,6,0203, ","  29.5"," ,6,0203, ","","","","","","","","","","","","","","","","","","","","","","","    319.8"," ,6","     2702"," ,6","","","","","",""
"USC00393572","1926","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        91","6","        79","6","         0","6","","","","","","","","","","","","","","","","","","","","","  24.4"," ,6,0701, ","","","","","","","","","","","","","","","","","","","","","","","    543.0"," ,6","","","","","","","",""
"USC00393572","1928","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        87","6","        54","6","         4","6","","","","","","","","","","","","","","","","","","","","","  54.4"," ,6,0913, ","","","","","","","","","","","","","","","","","","","","","","","    475.5"," ,6","","","","","","","",""
