"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GLW00017617","1960","76.38333","-67.91667","701.0","CAMP TUTO EAST ASC S, GL","","","","","","","","","","","","","","","","","","","","","","","        23"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017617","1961","76.38333","-67.91667","701.0","CAMP TUTO EAST ASC S, GL","","","","","","","","","","","","","","","","","","","","","","","        99"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017617","1962","76.38333","-67.91667","701.0","CAMP TUTO EAST ASC S, GL","      0.0","","       0.0","X","       154","X","        91","X","        19","X","        91","X","       183","X","       343","X","       301","X","         0","X","         0","X","       205"," ","  -38.9","X,0225,+","   912"," ,X,1117, ","  91.2"," ,X,1117, ","    8.3","X,0721,+","0.0","X,0801","-3.3","X,0813","-5.6","X,0816","-10.6","X,0817","-10.6","X,0817","0.0","X,0729","-2.2","X,0710","-5.0","X,0702","-8.3","X,0701","-9.4","X,0603","   11653.0","0","   11653.0","X","   1416.7"," ,X","    14164"," ,X","    -13.74","X","    -10.76","X","    -16.72","X"
"GLW00017617","1963","76.38333","-67.91667","701.0","CAMP TUTO EAST ASC S, GL","","","","","","","","","","","","","","","","","","","","","","","       116"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   11418.8","8","   11418.8","X","","","","","","","","","",""
