"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00028070","2010","32.57639","-114.64111","57.0","SOMERTON, AZ US","","","","","","","","","","","","","","","","","","","","","         1"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00028070","2011","32.57639","-114.64111","57.0","SOMERTON, AZ US","   2025.8","","    2025.8","7","        13","7","         5","7","         0","7","         0","7","        13","7","         0","7","       307","7","       173","7","         1"," ","         3"," ","   -5.0","7,0205,+","  16.0"," ,7,0906, ","   45.6","7,0824,+","-0.6","7,1204","-5.0","K,0205","-5.0","K,0205","-5.0","K,0205","     645.9","9","     645.9","7","     41.2"," ,7","     21.84","7","     30.85","7","     12.83","7"
