"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00197122","1886","42.516667","-70.9","12.2","SALEM B, MA US","        88","6","        67","6","        14","6","         7"," "," 157.7"," ,6,0213, ","   1220.7"," ,6"
"USC00197122","1887","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         4"," ","","","",""
"USC00197122","1888","42.516667","-70.9","12.2","SALEM B, MA US","        98","6","        64","6","        19","6","         5"," "," 100.3"," ,6,1127, ","   1384.6"," ,6"
"USC00197122","1889","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         5"," ","","","",""
"USC00197122","1891","42.516667","-70.9","12.2","SALEM B, MA US","        99","6","        75","6","        12","6","         1"," ","  49.0"," ,6,1014, ","   1089.8"," ,6"
"USC00197122","1892","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         6"," ","","","",""
"USC00197122","1893","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         5"," ","","","",""
"USC00197122","1894","42.516667","-70.9","12.2","SALEM B, MA US","        85","6","        61","6","         8","6","","","  59.9"," ,6,1227, ","    903.5"," ,6"
"USC00197122","1895","42.516667","-70.9","12.2","SALEM B, MA US","        87","6","        62","6","        13","6","         3"," "," 133.9"," ,6,1014, ","   1165.1"," ,6"
"USC00197122","1896","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         8"," ","","","",""
"USC00197122","1897","42.516667","-70.9","12.2","SALEM B, MA US","        93","6","        70","6","         8","6","        13"," ","  51.8"," ,6,0610, ","   1018.3"," ,6"
"USC00197122","1900","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         7"," ","","","",""
"USC00197122","1901","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         4"," ","","","",""
"USC00197122","1902","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         7"," ","","","",""
"USC00197122","1903","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         9"," ","","","",""
"USC00197122","1904","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","        11"," ","","","",""
"USC00197122","1905","42.516667","-70.9","12.2","SALEM B, MA US","        79","6","        57","6","        11","6","         6"," "," 130.8"," ,6,0904, ","    950.0"," ,6"
"USC00197122","1906","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","        10"," ","","","",""
"USC00197122","1907","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","         5"," ","","","",""
"USC00197122","1908","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","        10"," ","","","",""
"USC00197122","1909","42.516667","-70.9","12.2","SALEM B, MA US","","","","","","","        10"," ","","","",""
