"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00023852","1952","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00023852","1953","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","         6","0","         5","0","         0","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0","T,0,1204, ","  24.1"," ,0,0224, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     63.7"," ,0","        0","T,0","","","","","",""
"USC00023852","1954","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00023852","1955","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00023852","1958","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","        17","0","        16","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,0912, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    159.0"," ,0","        0"," ,0","","","","","",""
"USC00023852","1959","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","        12","0","        10","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.6"," ,0,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    189.7"," ,0","        0"," ,0","","","","","",""
"USC00023852","1962","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","        24","0","        13","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  17.8"," ,0,1218, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    113.6"," ,0","        0"," ,0","","","","","",""
"USC00023852","1963","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","        23","0","        15","0","         1","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  57.2"," ,0,0909, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    164.6"," ,0","        0"," ,0","","","","","",""
"USC00023852","1964","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","        23","0","        14","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.5"," ,0,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    172.2"," ,0","        0"," ,0","","","","","",""
"USC00023852","1965","33.53333","-113.16667","371.9","HARQUAHALA PLAINS, AZ US","","","","","        37","0","        29","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.8"," ,0,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    317.8"," ,0","        0"," ,0","","","","","",""
