"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00122733","1891","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","",""
"USC00122733","1892","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","","","","","","","","","","","","","","","","","        15"," ","","","","","","","","","","","","","","","",""
"USC00122733","1893","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","","","","","","","","","","","","","","","","","        19"," ","","","","","","","","","","","","","","","",""
"USC00122733","1894","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","","","","","","","","","","","","","","","","","        12"," ","","","","","","","","","","","","","","","",""
"USC00122733","1895","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       117","6","        70","6","         9","6","","","","","        30","6","       185","6","        72","6","         5"," ","","","","","","","  80.8"," ,6,0707, ","   38.3","6,0530, ","   1029.2"," ,6","","","     19.60","6"
"USC00122733","1896","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","        98","6","        67","6","         9","6","","","","","         7","6","       190","6","        61","6","         5"," ","","","","","","","  69.9"," ,6,0721, ","   38.3","6,0807,+","   1013.5"," ,6","","","     20.62","6"
"USC00122733","1897","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       115","6","        86","6","        16","6","","","","","","","","","","","","","","","","","",""," 120.7"," ,6,0702, ","","","   1339.0"," ,6","","","",""
"USC00122733","1898","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       135","6","        83","6","        10","6","","","","","","","","","","","","","","","","","","","  65.5"," ,6,1011, ","","","   1138.2"," ,6","","","",""
"USC00122733","1899","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       119","6","        79","6","        12","6","","","","","","","","","","","","","","","","","","","  50.8"," ,6,0610, ","","","   1081.0"," ,6","","","",""
"USC00122733","1900","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       113","6","        69","6","        13","6","","","","","","","","","","","","","","","","","","","  81.0"," ,6,0615, ","","","   1124.3"," ,6","","","",""
"USC00122733","1901","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","        98","6","        49","6","         8","6","","","","","","","","","","","","","","","","","","","  70.1"," ,6,1013, ","","","    736.8"," ,6","","","",""
"USC00122733","1902","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       108","6","        67","6","         5","6","","","","","","","","","","","","","","","","","","","  51.8"," ,6,1004, ","","","    756.5"," ,6","","","",""
"USC00122733","1903","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       117","6","        69","6","         9","6","","","","","","","","","","","","","","","","","","","  63.2"," ,6,0308, ","","","    901.1"," ,6","","","",""
"USC00122733","1904","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       115","6","        71","6","        11","6","","","         4","6","","","","","","","","","","","","","   114"," ,6,0126, ","  77.7"," ,6,0603, ","","","   1091.1"," ,6","      342"," ,6","",""
"USC00122733","1905","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       113","6","        72","6","        12","6","","","         4","6","","","","","","","","","","","","","    74"," ,6,0130, ","  58.9"," ,6,0711, ","","","   1130.0"," ,6","      376"," ,6","",""
"USC00122733","1906","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       116","6","        72","6","        10","6","","","         7","6","","","","","","","","","","","","","   152"," ,6,0205, ","  59.4"," ,6,1215, ","","","   1124.2"," ,6","      581"," ,6","",""
"USC00122733","1907","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       127","6","        85","6","        12","6","","","         4","6","","","","","","","","","","","","","    89"," ,6,0224, ","  61.5"," ,6,1102, ","","","   1182.6"," ,6","      332"," ,6","",""
"USC00122733","1908","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","        98","6","        60","6","         7","6","","","         4","6","","","","","","","","","","","","","    81"," ,6,0204, ","  95.8"," ,6,0811, ","","","    898.2"," ,6","      285"," ,6","",""
"USC00122733","1909","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       128","6","        76","6","        10","6","","","         7","6","","","","","","","","","","","","","   102"," ,6,0112, ","  62.2"," ,6,0309, ","","","   1046.2"," ,6","      475"," ,6","",""
"USC00122733","1910","37.96667","-87.58333","100.6","EVANSVILLE FORT COUR, IN US","       105","6","        69","6","        12","6","","","         8","6","","","","","","","","","","","","","   203"," ,6,0217,+"," 133.4"," ,6,1005, ","","","   1158.1"," ,6","      821"," ,6","",""
