"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GME00124126","2002","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       169","E","        96","E","         4","E","       19","","   200"," ,E,0101, ","  40.8"," ,E,0730, ","    949.5"," ,E"
"GME00124126","2003","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       121","E","        61","E","         2","E","       17","","   120"," ,E,0105, ","  31.9"," ,E,0102, ","    571.8"," ,E"
"GME00124126","2004","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       170","E","        88","E","         2","E","       21","","   170"," ,E,0129, ","  30.7"," ,E,0810, ","    698.1"," ,E"
"GME00124126","2005","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       159","E","        81","E","         0","E","       53","","   170"," ,E,1229, ","  22.1"," ,E,0603, ","    660.9"," ,E"
"GME00124126","2006","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       152","E","        89","E","         1","E","       12","","   280"," ,E,0304, ","  29.6"," ,E,1003, ","    764.3"," ,E"
"GME00124126","2007","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       166","E","        89","E","         4","E","        0","","    20"," ,E,0322,+","  36.1"," ,E,1202, ","    840.8"," ,E"
"GME00124126","2008","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       164","E","        77","E","         2","E","       11","","   100"," ,E,0407, ","  46.6"," ,E,0531, ","    775.9"," ,E"
"GME00124126","2009","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       162","E","        90","E","         3","E","       15","","   110"," ,E,1222,+","  32.7"," ,E,0904, ","    801.5"," ,E"
"GME00124126","2010","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       181","E","        94","E","         3","E","       83","","   370"," ,E,1221, ","  52.5"," ,E,0723, ","    832.1"," ,E"
"GME00124126","2011","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       139","E","        59","E","         2","E","       14","","   220"," ,E,0101, ","  31.5"," ,E,1204, ","    608.6"," ,E"
"GME00124126","2012","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       171","E","        96","E","         1","E","       23","","    70"," ,E,1213,+","  26.2"," ,E,0823, ","    762.0"," ,E"
"GME00124126","2013","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       160","E","        90","E","         3","E","       38","","   150"," ,E,0313, ","  46.6"," ,E,0519, ","    820.7"," ,E"
"GME00124126","2014","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       166","E","        88","E","         1","E","        9","","   140"," ,E,1229,+","  63.3"," ,E,0729, ","    862.6"," ,E"
"GME00124126","2015","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       145","E","        74","E","         1","E","       20","","    90"," ,E,0126, ","  36.1"," ,E,0916, ","    595.7"," ,E"
"GME00124126","2016","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       161","E","        72","E","         3","E","        8","","    40"," ,E,0223,+","  35.5"," ,E,0529, ","    769.1"," ,E"
"GME00124126","2017","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       146","E","        77","E","         1","E","       25","","   100"," ,E,0111, ","  30.7"," ,E,0913, ","    739.8"," ,E"
"GME00124126","2018","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       140","E","        72","E","         4","E","       10","","    70"," ,E,0121, ","  40.0"," ,E,1202, ","    755.4"," ,E"
"GME00124126","2019","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       154","E","        89","E","         1","E","       12","","   190"," ,E,0201, ","  26.8"," ,E,1009, ","    765.9"," ,E"
"GME00124126","2020","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       153","E","        84","E","         3","E","        2","","   160"," ,E,0228, ","  26.6"," ,E,1227, ","    772.6"," ,E"
"GME00124126","2021","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       149","E","        82","E","         2","E","       20","","    60"," ,E,0125,+","  46.8"," ,E,0624, ","    744.0"," ,E"
"GME00124126","2022","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       135","E","        75","E","         3","E","        3","","    70"," ,E,0409, ","  30.7"," ,E,0103, ","    730.4"," ,E"
"GME00124126","2023","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       175","E","       112","E","         2","E","       15","","   150"," ,E,0121, ","  35.0"," ,E,0731, ","   1024.2"," ,E"
"GME00124126","2024","49.7","7.3331","376.0","IDAR OBERSTEIN, GM","       159","E","        95","E","         5","E","        3","","    50"," ,E,0121,+","  57.9"," ,E,0926, ","   1012.1"," ,E"
