"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00411165","1944","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        64","0","        53","0","        12","0","        0","","         1","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","    76"," ,0,0119, "," 111.8"," ,0,0827, ","","","","","","","","","","","","","","","","","","","","","    993.9"," ,0","       76"," ,0","","","","","",""
"USC00411165","1946","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        70","0","        48","0","         6","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.9"," ,0,0903, ","","","","","","","","","","","","","","","","","","","","","    657.2"," ,0","        0"," ,0","","","","","",""
"USC00411165","1948","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00411165","1949","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        77","0","        56","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.0"," ,0,0916, ","","","","","","","","","","","","","","","","","","","","","    690.7"," ,0","        0"," ,0","","","","","",""
"USC00411165","1950","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        60","0","        36","0","         4","0","","","","","","","","","","","","","","","","","","","","","","","  43.4"," ,0,0417, ","","","","","","","","","","","","","","","","","","","","","    429.2"," ,0","","","","","","","",""
"USC00411165","1951","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        42","0","        29","0","         6","0","","","","","","","","","","","","","","","","","","","","","","","  52.1"," ,0,0915, ","","","","","","","","","","","","","","","","","","","","","    445.3"," ,0","","","","","","","",""
"USC00411165","1952","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        59","0","        42","0","        10","0","","","","","","","","","","","","","","","","","","","","","",""," 129.5"," ,0,0911, ","","","","","","","","","","","","","","","","","","","","","    899.8"," ,0","","","","","","","",""
"USC00411165","1954","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        36","0","        26","0","         3","0","","","","","","","","","","","","","","","","","","","","","","","  52.1"," ,0,0430, ","","","","","","","","","","","","","","","","","","","","","    271.4"," ,0","","","","","","","",""
"USC00411165","1955","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        47","0","        41","0","         8","0","","","","","","","","","","","","","","","","","","","","","","","  94.5"," ,0,0615, ","","","","","","","","","","","","","","","","","","","","","    741.7"," ,0","","","","","","","",""
"USC00411165","1956","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","        39","0","        25","0","         4","0","","","","","","","","","","","","","","","","","","","","","","","  48.8"," ,0,0502, ","","","","","","","","","","","","","","","","","","","","","    339.9"," ,0","","","","","","","",""
