"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00043285","1948","33.8963","-117.888","103.6","FULLERTON DAM, CA US","","","","","","","        18"," ","","","",""
"USC00043285","1949","33.8963","-117.888","103.6","FULLERTON DAM, CA US","","","","","","","        53"," ","","","",""
"USC00043285","1950","33.8963","-117.888","103.6","FULLERTON DAM, CA US","        17","0","        13","0","         2","0","        58"," ","  40.1"," ,0,1114, ","    215.3"," ,0"
"USC00043285","1951","33.8963","-117.888","103.6","FULLERTON DAM, CA US","        31","0","        25","0","         1","0","        28"," ","  98.0"," ,0,1230, ","    330.6"," ,0"
"USC00043285","1952","33.8963","-117.888","103.6","FULLERTON DAM, CA US","","","","","","","        78"," ","","","",""
"USC00043285","1953","33.8963","-117.888","103.6","FULLERTON DAM, CA US","        16","0","        13","0","         0","0","        74"," ","  20.8"," ,0,1115, ","    127.9"," ,0"
"USC00043285","1954","33.8963","-117.888","103.6","FULLERTON DAM, CA US","        25","0","        18","0","         4","0","        31"," ","  56.6"," ,0,0119, ","    351.2"," ,0"
"USC00043285","1955","33.8963","-117.888","103.6","FULLERTON DAM, CA US","","","","","","","        22"," ","","","",""
"USC00043285","1956","33.8963","-117.888","103.6","FULLERTON DAM, CA US","        17","0","        13","0","         3","0","        79"," "," 113.0"," ,0,0126, ","    340.0"," ,0"
"USC00043285","1957","33.8963","-117.888","103.6","FULLERTON DAM, CA US","","","","","","","        87"," ","","","",""
"USC00043285","1958","33.8963","-117.888","103.6","FULLERTON DAM, CA US","        38","0","        25","0","         6","0","        99"," ","  67.3"," ,0,0204, ","    455.0"," ,0"
"USC00043285","1959","33.8963","-117.888","103.6","FULLERTON DAM, CA US","        16","0","        14","0","         1","0","        64"," ","  37.6"," ,0,0106, ","    172.0"," ,0"
"USC00043285","1960","33.8963","-117.888","103.6","FULLERTON DAM, CA US","","","","","","","        15"," ","","","",""
