"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00460900","1895","39.4","-78.366667",,"BLOOMERY, WV US","        11","6","       139","6","        40","6","       136","6","        11","6","  -24.4","6,0203, ","   34.4","6,0920, ","-2.2","6,1002","-2.2","6,1002","-6.1","6,1010","-8.9","6,1029","-8.9","6,1029","-0.6","6,0522","-2.2","6,0517","-4.4","6,0405","-7.8","6,0323","-9.4","6,0225","      8.89","6","     14.91","6","      2.88","6"
"USC00460900","1896","39.4","-78.366667",,"BLOOMERY, WV US","         5","6","       119","6","        35","6","       141","6","         5","6","  -23.3","6,0313, ","   35.0","6,0809, ","-3.3","6,1009","-3.3","6,1009","-5.0","6,1025","-8.3","6,1201","-9.4","6,1202","-5.6","6,0409","-5.6","6,0409","-5.6","6,0409","-10.6","6,0325","-10.6","6,0325","      9.82","6","     15.15","6","      4.49","6"
