"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00094737","2012","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","","","","","","","       121","W","        66","W","         2","W","","","","","","","","","","","","","","","","","        22"," ","","","","","  38.6"," ,W,0804, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    593.7"," ,W","","","","","","","","","",""
"USW00094737","2013","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","       3.1","W","    223.6","","     223.6","W","       115","W","        62","W","         1","W","","","         7","W","       157","W","        54","W","       115","W","         4","W","","","","","        15"," ","  -26.0","W,0103, ","","","  26.9"," ,W,0131, ","   32.2","W,0911,+","0.0","W,0917","-2.7","W,1028","-7.1","W,1029","-7.1","W,1029","-11.0","W,1124","0.0","W,0527","-2.7","W,0415","-6.0","W,0406","-11.0","W,0322","-11.0","W,0322","","","","","    639.4"," ,W","      7.46","W","     12.56","W","      2.35","W","       120","W","      14.8","W"
"USW00094737","2014","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","       3.2","W","    147.8","","     147.8","W","       105","W","        58","W","         2","W","        0","","        15","W","       145","W","        71","W","       116","W","         1","W","","","","","        18"," ","  -27.1","W,0104, ","     0"," ,W,1231,+","  35.8"," ,W,0723, ","   32.2","W,0702, ","0.0","W,1012","-2.7","W,1020","-4.9","W,1115","-7.1","W,1118","-9.9","W,1128","-1.0","W,0507","-2.7","W,0425","-6.0","W,0417","-14.9","W,0327","-14.9","W,0327","    4225.3","3","    4225.3","W","    627.5"," ,W","      6.88","W","     11.94","W","      1.82","W","       140","W","      14.3","W"
"USW00094737","2015","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4115.1","1","    4115.1","W","","","","","","","","","","","",""
"USW00094737","2016","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","","","","","","","","","","","","","","","","","","","","","","","","","        83"," ","        15"," ","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094737","2017","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","       3.3","W","    203.3","","     203.3","W","       141","W","        77","W","         4","W","        0","","        11","W","       126","W","        45","W","       118","W","         2","W","       130"," ","        23"," ","        21"," ","  -26.0","W,1230, ","     0"," ,W,1231,+","  60.7"," ,W,0701, ","   32.2","W,0925,+","-2.1","W,1017","-2.7","W,1107","-5.5","W,1108","-8.8","W,1110","-9.3","W,1111","-0.5","W,0504","-3.8","W,0409","-8.2","W,0326","-8.2","W,0326","-16.6","W,0323","","","","","    823.8"," ,W","      8.28","W","     13.45","W","      3.11","W","       110","W","      17.0","W"
"USW00094737","2018","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","","","","","","","","","","","","","","","","","","","","","","","","","       157"," ","        37"," ","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3676.7","7","    3676.7","W","","","","","","","","","","","",""
"USW00094737","2019","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","       3.2","W","    201.9","","     201.9","W","       155","W","        72","W","         4","W","","","        17","W","       152","W","        59","W","       113","W","         2","W","       164"," ","        33"," ","        17"," ","  -26.6","W,0122, ","","","  57.4"," ,W,0620, ","   32.2","W,0730,+","-1.6","W,1005","-3.2","W,1102","-8.2","W,1108","-8.2","W,1108","-11.0","W,1109","-2.7","W,0429","-2.7","W,0429","-5.5","W,0411","-9.3","W,0327","-9.3","W,0327","","","","","    809.2"," ,W","      7.33","W","     12.72","W","      1.94","W","       120","W","      17.0","W"
"USW00094737","2020","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","       3.3","W","    311.6","","     311.6","W","       122","W","        52","W","         1","W","","","         9","W","       147","W","        31","W","       125","W","         3","W","       137"," ","        22"," ","        18"," ","  -23.2","W,0215, ","","","  40.1"," ,W,0930, ","   33.3","W,0719, ","-1.6","W,0919","-6.0","W,1030","-6.0","W,1030","-8.2","W,1031","-11.0","W,1118","-0.5","W,0514","-3.8","W,0513","-4.9","W,0401","-9.3","W,0322","-9.3","W,0322","    3957.7","7","    3957.7","W","    442.7"," ,W","      8.81","W","     14.19","W","      3.42","W","       110","W","      15.7","W"
"USW00094737","2021","43.53333","-72.95","239.0","RUTLAND STATE AIRPORT, VT US","       3.0","W","    266.2","","     266.2","W","","","","","","","","","         7","W","       138","W","        50","W","       122","W","         2","W","       153"," ","        24"," ","        12"," ","  -23.8","W,0131, ","","","","","   32.8","W,0628, ","-1.6","W,1024","-3.8","W,1105","-5.5","W,1120","-7.1","W,1124","-9.3","W,1127","-1.0","W,0427","-3.8","W,0422","-9.3","W,0403","-9.3","W,0403","-9.3","W,0403","    3830.2","2","    3830.2","W","","","      8.73","W","     13.86","W","      3.59","W","       120","W","      14.8","W"
