"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013739","1941","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    675.6","","     675.6","Z","        92","Z","        57","Z","         9","Z","       17","","         5","Z","         0","Z","       116","Z","        11","Z","       177","Z","        39","Z","","","","","","","  -11.1","Z,0130, ","   178"," ,Z,0228, ","   203"," ,Z,0308, ","  75.4"," ,Z,0707, ","   37.8","Z,0728, ","-1.1","Z,1029","-2.8","Z,1125","-4.4","Z,1211","-8.3","Z,1221","","","-2.2","Z,0331","-2.2","Z,0331","-5.0","Z,0319","-10.0","Z,0318","-10.0","Z,0318","    2923.4","4","    2923.4","Z","    893.7"," ,Z","","","      558"," ,Z","     12.66","Z","     18.40","Z","      6.92","Z","","","","","","","","","","","","","","","","","",""
"USW00013739","1942","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    637.8","","     637.8","Z","       119","Z","        70","Z","        12","Z","       16","","         5","Z","         0","Z","       103","Z","        17","Z","       172","Z","        26","Z","","","","","","","  -17.2","Z,1221,+","    76"," ,Z,1210, ","    76"," ,Z,1217, ","  62.0"," ,Z,0812, ","   37.2","Z,0719, ","0.0","Z,1027","-4.4","Z,1114","-4.4","Z,1114","-7.2","Z,1115","-10.0","Z,1216","-0.6","Z,0414","-3.3","Z,0227","-4.4","Z,0225","-6.7","Z,0224","-11.1","Z,0220","    2588.9","9","    2588.9","Z","   1093.8"," ,Z","","","      296"," ,Z","     12.37","Z","     17.75","Z","      7.00","Z","","","","","","","","","","","","","","","","","",""
"USW00013739","1943","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    700.6","","     700.6","Z","       114","Z","        64","Z","        10","Z","       10","","         6","Z","         0","Z","       112","Z","        20","Z","       151","Z","        42","Z","","","","","","","  -16.1","Z,0215, ","   127"," ,Z,0128, ","    97"," ,Z,0128, ","  43.4"," ,Z,1028, ","   36.1","Z,0626, ","0.0","Z,1105","-2.2","Z,1115","-7.2","Z,1211","-7.2","Z,1211","-11.1","Z,1215","-2.8","Z,0416","-2.8","Z,0416","-5.6","Z,0314","-8.9","Z,0309","-8.9","Z,0309","    2925.4","4","    2925.4","Z","    935.0"," ,Z","","","      364"," ,Z","     12.04","Z","     17.38","Z","      6.69","Z","","","","","","","","","","","","","","","","","",""
"USW00013739","1944","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    691.3","","     691.3","Z","       114","Z","        74","Z","         8","Z","       12","","         7","Z","         0","Z","       112","Z","        15","Z","       162","Z","        37","Z","","","","","","","  -12.2","Z,1222, ","   102"," ,Z,0212, ","   104"," ,Z,0304, ","  71.1"," ,Z,0913, ","   36.1","Z,0805,+","0.0","Z,1016","-3.3","Z,1126","-5.0","Z,1202","-6.7","Z,1203","-8.9","Z,1220","-2.2","Z,0406","-2.2","Z,0406","-6.1","Z,0319","-6.7","Z,0311","-9.4","Z,0219","    2922.4","4","    2922.4","Z","   1004.4"," ,Z","","","      437"," ,Z","     12.32","Z","     17.42","Z","      7.22","Z","","","","","","","","","","","","","","","","","",""
"USW00013739","1946","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    513.5","","     513.5","Z","       114","Z","        70","Z","        10","Z","        3","","         2","Z","         0","Z","        79","Z","        11","Z","       173","Z","        14","Z","","","","","","","  -12.2","Z,0123, ","    51"," ,Z,0121, ","    84"," ,Z,0219, ","  75.7"," ,Z,0722, ","   35.6","Z,0720, ","-3.3","Z,1116","-3.3","Z,1116","-10.0","Z,1202","-10.0","Z,1202","-10.0","Z,1202","-3.9","Z,0312","-3.9","Z,0312","-5.6","Z,0222","-8.9","Z,0216","-8.9","Z,0216","","","","","    968.6"," ,Z","","","      130"," ,Z","     13.04","Z","     18.37","Z","      7.72","Z","","","","","","","","","","","","","","","","","",""
"USW00013739","1947","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    643.4","","     643.4","Z","       121","Z","        81","Z","         9","Z","       22","","         8","Z","         0","Z","       107","Z","        10","Z","       165","Z","        15","Z","","","","","","","  -15.0","Z,0205, ","   254"," ,Z,0222,+","   211"," ,Z,0220, ","  83.6"," ,Z,0430, ","   35.0","Z,0815,+","0.0","Z,1110","-4.4","Z,1127","-4.4","Z,1127","-6.7","Z,1201","-8.9","Z,1230","-0.6","Z,0401","-2.2","Z,0331","-5.0","Z,0327","-7.8","Z,0301","-8.9","Z,0224","    2655.8","8","    2655.8","Z","   1130.2"," ,Z","","","      803"," ,Z","     12.26","Z","     17.37","Z","      7.15","Z","","","","","","","","","","","","","","","","","",""
"USW00013739","1948","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    576.6","","     576.6","0","       145","0","        92","0","        13","0","       36","","         7","X","         0","0","        93","0","        25","0","       154","0","        20","0","       195"," ","","","        28"," ","  -16.1","0,0131, ","   229"," ,X,0206, ","   188"," ,X,1219, ","  58.4"," ,0,1230, ","   37.8","0,0826, ","-0.6","0,1019","-3.3","0,1211","-6.7","0,1220","-6.7","0,1220","-10.6","0,1225","0.0","X,0410","-3.3","X,0329","-4.4","X,0314","-6.7","X,0313","-10.6","X,0306","    2893.4","4","    2893.4","0","   1246.8"," ,0","","","      810"," ,X","     12.26","0","     17.36","0","      7.15","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1949","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    738.3","","     738.3","0","       126","0","        87","0","         7","0","        8","","         3","0","         0","0","        80","0","         2","0","       168","0","        33","0","       169"," ","","","        23"," ","  -10.0","0,0212, ","   102"," ,0,0210, ","    99"," ,0,0210, ","  38.1"," ,0,0804, ","   37.2","0,0705, ","-1.1","0,1106","-2.8","0,1122","-5.0","0,1126","-7.2","0,1216","","","-1.1","0,0321","-7.8","0,0320","-7.8","0,0320","-7.8","0,0320","-10.0","0,0212","    2359.9","9","    2359.9","0","   1029.2"," ,0","","","      297"," ,0","     13.89","0","     19.04","0","      8.74","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1950","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    509.3","","     509.3","0","       142","0","        76","0","         9","0","        0","","         1","0","         0","0","       100","0","        12","0","       153","0","        14","0","       178"," ","","","        26"," ","  -12.8","0,1228, ","     0","T,0,1228,+","    41"," ,0,1128, ","  87.9"," ,0,1125, ","   33.9","0,0731,+","0.0","0,1112","-2.8","0,1125","-6.1","0,1126","-7.2","0,1220","-9.4","0,1226","0.0","0,0415","-4.4","0,0414","-4.4","0,0414","-6.7","0,0319","-10.0","0,0304","    2556.7","7","    2556.7","0","   1029.1"," ,0","","","      103"," ,0","     12.36","0","     17.27","0","      7.45","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1951","39.87326","-75.22681","2.1","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","    624.7","","     624.7","0","       110","0","        72","0","        10","0","        8","","         2","0","         0","0","        84","0","        12","0","       159","0","        20","0","       173"," ","","","        25"," ","  -13.3","0,1217, ","   127"," ,0,1214, ","   135"," ,0,1214, ","  45.0"," ,0,0523, ","   35.0","0,0727, ","-2.2","0,1103","-2.2","0,1103","-5.6","0,1121","-7.2","0,1128","-11.1","0,1216","-2.8","0,0327","-2.8","0,0327","-4.4","0,0216","-8.3","0,0211","-11.1","0,0209","    2580.4","4","    2580.4","0","   1061.1"," ,0","","","      212"," ,0","     13.02","0","     18.18","0","      7.85","0","","","","","","","","","","","","","","","","","",""
