"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00387666","1958","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","   1039.9","","    1039.9","0","        87","0","        69","0","        11","0","","","         0","0","         0","0","        60","0","         2","0","       208","0","        54","0","","","","","  -13.3","0,1212, ","","","     0","T,0,0127, ","  58.9"," ,0,0622, ","   37.8","0,0614,+","","","-4.4","0,1201","-4.4","0,1201","-4.4","0,1201","-13.3","0,1212","-13.3","0,1212","-2.2","0,0322","-2.2","0,0322","-5.0","0,0221","-11.1","0,0219","-11.1","0,0219","    1659.9","9","","","    1659.9","0","","","","","","","","","","","   1058.9"," ,0","        0","T,0","     16.43","0","     22.40","0","     10.46","0","",""
"USC00387666","1959","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","   1086.9","","    1086.9","0","       111","0","        88","0","        16","0","        0","","         0","0","         0","0","        41","0","         0","0","       210","0","        46","0","","","","","  -11.1","0,0117, ","     0"," ,0,1231,+","     0","T,0,0302, "," 185.4"," ,0,0709, ","   38.9","0,0630, ","","","-2.8","0,1118","-2.8","0,1118","-7.2","0,1130","-7.2","0,1130","","","-1.1","0,0319","-6.1","0,0221","-6.1","0,0221","-9.4","0,0118","-9.4","0,0118","    1391.7","7","","","    1391.7","0","","","","","","","","","","","   1548.2"," ,0","        0","T,0","     17.57","0","     23.44","0","     11.70","0","",""
"USC00387666","1960","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","    981.7","","     981.7","0","        97","0","        70","0","        13","0","","","","","         0","0","        60","0","         0","0","       218","0","        51","0","","","","","  -10.0","0,0306, ","","","","","  95.8"," ,0,0330, ","   36.7","0,0703,+","","","-2.8","0,1108","-2.8","0,1108","-5.0","0,1202","-8.3","0,1213","-9.4","0,1222","-5.0","0,0324","-5.0","0,0324","-5.0","0,0324","-10.0","0,0306","-10.0","0,0306","    1574.6","6","","","    1574.6","0","","","","","","","","","","","   1206.8"," ,0","","","     16.46","0","     22.50","0","     10.41","0","",""
"USC00387666","1961","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","    934.4","","     934.4","0","       108","0","        73","0","        15","0","        0","","         0","0","         0","0","        46","0","         4","0","       239","0","        41","0","         7"," ","         1"," ","  -11.1","0,0122, ","     0"," ,0,1231,+","     0","T,0,0203,+","  67.1"," ,0,0331, ","   35.6","0,0731,+","","","-1.1","0,1109","-2.8","0,1129","-6.1","0,1130","-6.7","0,1229","","","-0.6","0,0310","-2.2","0,0210","-5.6","0,0203","-9.4","0,0125","-9.4","0,0125","    1484.4","4","","","    1484.4","0","","","","","","","","","","","   1256.2"," ,0","        0","T,0","     16.99","0","     23.04","0","     10.93","0","",""
"USC00387666","1962","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","   1077.4","","    1077.4","0","       103","0","        71","0","        18","0","        0","","         0","0","         0","0","        40","0","         3","0","       227","0","        65","0","         2"," ","        14"," ","  -15.6","0,1213, ","     0"," ,0,1231,+","     0","T,0,0212,+","  76.5"," ,0,0222, ","   36.7","0,0803, ","","","-1.1","0,1026","-3.3","0,1207","-9.4","0,1212","-9.4","0,1212","-9.4","0,1212","-2.2","0,0308","-2.2","0,0308","-5.6","0,0211","-6.7","0,0114","-10.0","0,0113","    1371.4","4","","","    1371.4","0","","","","","","","","","","","   1290.4"," ,0","        0","T,0","     17.06","0","     23.08","0","     11.04","0","",""
"USC00387666","1963","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","    936.7","","     936.7","0","       105","0","        69","0","        15","0","        0","","         0","0","         0","0","        72","0","         0","0","       228","0","        60","0","        15"," ","         8"," ","  -11.1","0,0124, ","     0"," ,0,1231,+","     0","T,0,0227,+","  77.2"," ,0,0929, ","   37.8","0,0611, ","","","-2.2","0,1103","-2.2","0,1103","-5.0","0,1215","-7.8","0,1217","-10.0","0,1219","-2.2","0,0323","-2.2","0,0323","-8.9","0,0227","-8.9","0,0227","-8.9","0,0227","    1584.1","1","","","    1584.1","0","","","","","","","","","","","   1165.8"," ,0","        0","T,0","     16.28","0","     22.59","0","      9.96","0","",""
"USC00387666","1964","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","    882.3","","     882.3","0","       128","0","        90","0","        23","0","","","         0","0","         0","0","        59","0","         0","0","       213","0","        34","0","","","","","   -9.4","0,0115, ","","","     0"," ,0,1231,+"," 141.2"," ,0,1001, ","   36.7","0,0621, ","","","-2.2","0,1122","-2.2","0,1122","-7.8","0,1201","-7.8","0,1201","","","-1.1","0,0401","-3.3","0,0331","-5.0","0,0224","-7.2","0,0116","-9.4","0,0115","    1838.0","0","","","    1838.0","0","","","","","","","","","","","   1799.6"," ,0","        0"," ,0","     16.10","0","     22.31","0","      9.90","0","",""
"USC00387666","1965","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","    992.2","","     992.2","0","       114","0","        76","0","        15","0","        0","","         2","0","         0","0","        54","0","         1","0","       224","0","        38","0","","","","","   -6.7","0,0203,+","     0"," ,0,1231,+","    51"," ,0,0117, "," 103.4"," ,0,0615, ","   35.0","0,0828,+","","","-1.1","0,1030","-2.2","0,1118","-4.4","0,1227","","","","","-2.2","0,0322","-2.2","0,0322","-5.6","0,0321","-6.7","0,0203","","","    1571.2","2","","","    1571.2","0","","","","","","","","","","","   1396.1"," ,0","       76"," ,0","     16.88","0","     22.74","0","     11.02","0","     52580","0"
"USC00387666","1966","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","    882.2","","     882.2","0","       101","0","        65","0","        11","0","        0","","         0","0","         0","0","        58","0","         2","0","       221","0","        39","0","","","","","  -14.4","0,0130, ","     0"," ,0,1231,+","    20"," ,0,0125, ","  73.2"," ,0,0502, ","   37.2","0,0730, ","","","0.0","0,1103","-2.8","0,1104","-6.7","0,1204","-6.7","0,1204","","","0.0","0,0411","-4.4","0,0309","-4.4","0,0309","-6.7","0,0205","-11.1","0,0131","    1583.6","6","","","    1583.6","0","","","","","","","","","","","   1122.8"," ,0","       33"," ,0","     16.05","0","     22.01","0","     10.09","0","",""
"USC00387666","1968","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","    997.9","","     997.9","0","       106","0","        74","0","        13","0","        0","","         0","0","         0","0","        73","0","         5","0","       219","0","        49","0","","","","","   -9.4","0,0108, ","     0"," ,0,1231,+","    20"," ,0,0124, ","  53.8"," ,0,0111, ","   38.9","0,0824, ","","","-1.1","0,1113","-2.2","0,1120","-5.0","0,1122","-6.7","0,1211","","","-2.2","0,0324","-2.2","0,0324","-5.6","0,0226","-6.7","0,0212","-9.4","0,0108","    1728.3","3","","","    1728.3","0","","","","","","","","","","","   1117.2"," ,0","       20"," ,0","     16.14","0","     22.23","0","     10.05","0","",""
