"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00297649","1942","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     32.9","","      32.9","6","        94","6","        61","6","         6","6","","","        14","6","         3","6","       192","6","         2","6","       156","6","         6","6","","","","","","","  -20.6","6,0308, ","","","   254"," ,6,0407, ","  37.8"," ,6,0806, ","   33.9","6,0621,+","-1.1","6,0926","-2.2","6,0927","-5.0","6,0930","-7.2","6,1031","-10.6","6,1112","0.0","6,0622","-2.2","6,0530","-5.6","6,0504","-8.9","6,0409","-8.9","6,0409","","","","","    709.9"," ,6","     1652"," ,6","      9.03","6","     18.65","6","     -0.59","6","","","","","","","",""
"USC00297649","1943","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3154.9","9","    3154.9"," ","","","","","","","","","","","","","","","","","",""
"USC00297649","1946","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     35.5","","      35.5","6","        99","6","        56","6","         4","6","","","","","         3","6","       195","6","         8","6","       188","6","         7","6","","","","","","","  -25.0","6,0122, ","","","","","  71.1"," ,6,0702, ","   33.3","6,0630,+","-0.6","6,0923","-3.3","6,1009","-6.7","6,1012","-6.7","6,1012","-14.4","6,1106","0.0","6,0607","-2.2","6,0601","-5.0","6,0514","-6.7","6,0419","-8.9","6,0404","    3364.3","3","    3364.3","6","    631.0"," ,6","","","      9.34","6","     19.24","6","     -0.57","6","","","","","","","",""
"USC00297649","1947","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     41.5","","      41.5","6","","","","","","","","","","","         5","6","       212","6","         6","6","       176","6","        12","6","         2"," ","","","        26"," ","  -26.7","6,0104,+","","","","","","","   34.4","6,0705, ","0.0","6,0906","-2.2","6,0929","-9.4","6,1023","-9.4","6,1023","-9.4","6,1023","-0.6","6,0623","-2.2","6,0521","-4.4","6,0430","-7.8","6,0425","-9.4","6,0413","    3309.3","3","    3309.3","6","","","","","      8.81","6","     19.13","6","     -1.52","6","","","","","","","",""
"USC00297649","1948","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     37.6","","      37.6","0","       102","0","        58","0","         3","0","       23","","        14","0","        12","0","       190","0","         4","0","       172","0","         4","0","         1"," ","","","        70"," ","  -26.1","0,0213, ","   279"," ,0,0211, ","   284"," ,0,0211, ","  42.4"," ,0,0710, ","   32.8","0,0905,+","-1.1","0,0911","-5.0","0,0928","-5.0","0,0928","-6.7","0,1008","-10.0","0,1024","0.0","0,0530","-3.9","0,0513","-6.7","0,0504","-6.7","0,0504","-8.9","0,0414","    3443.4","4","    3443.4","0","    577.5"," ,0","     1551"," ,0","      8.98","0","     19.20","0","     -1.24","0","","","","","","","",""
"USC00297649","1949","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     27.8","","      27.8","0","       109","0","        64","0","         3","0","       41","","        16","0","         8","0","       207","0","        11","0","       179","0","         1","0","         3"," ","","","        83"," ","  -29.4","0,0130, ","   203"," ,0,0410, ","   208"," ,0,0410, ","  30.5"," ,0,0708, ","   32.8","0,0616, ","0.0","0,0925","-5.6","0,1010","-5.6","0,1010","-8.9","0,1012","-8.9","0,1012","-0.6","0,0608","-2.2","0,0603","-4.4","0,0522","-7.2","0,0416","-14.4","0,0411","    3625.0","0","    3625.0","0","    646.8"," ,0","     1681"," ,0","      8.41","0","     18.26","0","     -1.44","0","","","","","","","",""
"USC00297649","1950","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     22.2","","      22.2","0","        84","0","        44","0","         5","0","        2","","         2","0","         5","0","       208","0","         0","0","       206","0","         7","0","","","","","        64"," ","  -21.7","0,1206, ","    76"," ,0,0213, ","    51"," ,0,0212, ","  40.9"," ,0,0713, ","   33.3","0,0618, ","0.0","0,0819","-2.8","0,0914","-4.4","0,1023","-7.8","0,1029","-10.0","0,1104","-0.6","0,0609","-3.3","0,0527","-5.0","0,0516","-7.8","0,0506","-10.0","0,0406","    3215.4","4","    3215.4","0","    555.1"," ,0","       97"," ,0","      9.71","0","     20.50","0","     -1.08","0","","","","","","","",""
"USC00297649","1951","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     83.2","","      83.2","0","        83","0","        49","0","         3","0","","","        14","0","         9","0","       210","0","         7","0","       168","0","        25","0","","","","","        53"," ","  -32.2","0,0201, ","","","   284"," ,0,0131, ","  52.1"," ,0,0822, ","   36.1","0,0628, ","-3.9","0,0917","-3.9","0,0917","-4.4","0,1006","-7.2","0,1009","-8.9","0,1024","-0.6","0,0625","-2.8","0,0610","-5.6","0,0504","-8.9","0,0503","-8.9","0,0503","    3405.2","2","    3405.2","0","    557.3"," ,0","     1109"," ,0","      9.14","0","     19.54","0","     -1.26","0","","","","","","","",""
"USC00297649","1952","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     42.9","","      42.9","0","       100","0","        55","0","         2","0","       24","","        18","0","         2","0","       216","0","         3","0","       172","0","         4","0","","","","","        69"," ","  -23.9","0,1126, ","   229"," ,0,0317, ","   236"," ,0,0317, ","  31.2"," ,0,0823, ","   33.3","0,0608, ","-1.7","0,0907","-3.3","0,0914","-5.0","0,1006","-7.2","0,1007","-10.0","0,1106","0.0","0,0531","-3.9","0,0524","-5.0","0,0511","-10.0","0,0410","-10.0","0,0410","    3317.8","8","    3317.8","0","    547.5"," ,0","     1446"," ,0","      8.92","0","     18.83","0","     -1.00","0","","","","","","","",""
"USC00297649","1953","33.3677","-105.6611","2112.3","RUIDOSO, NM US","","","     62.6","","      62.6","0","        79","0","        40","0","         3","0","       13","","        13","0","        11","0","       211","0","         3","0","       172","0","        16","0","","","","","        59"," ","  -31.1","0,1224, ","   152"," ,0,1222, ","   147"," ,0,1222, ","  56.6"," ,0,0717, ","   34.4","0,0628, ","-1.1","0,0909","-3.9","0,0929","-6.7","0,1005","-6.7","0,1005","-15.0","0,1109","-2.2","0,0606","-2.2","0,0606","-5.0","0,0514","-6.7","0,0511","-9.4","0,0502","    3393.2","2","    3393.2","0","    474.4"," ,0","      911"," ,0","      9.06","0","     19.65","0","     -1.52","0","","","","","","","",""
