"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00115405","1896","38.48333","-89.8","131.1","MASCOUTAH, IL US","","","","","        80","6","        62","6","        13","6","","","","","","","","","","","","","","","","","","","",""," 114.3"," ,6,0527, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1047.5"," ,6","","","","","","","",""
"USC00115405","1897","38.48333","-89.8","131.1","MASCOUTAH, IL US","","","","","        85","6","        69","6","        12","6","","","","","","","","","","","","","","","","","","","","","  99.1"," ,6,0304, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1045.9"," ,6","","","","","","","",""
"USC00115405","1898","38.48333","-89.8","131.1","MASCOUTAH, IL US","    755.4","","     755.4","6","       110","6","        87","6","        20","6","","","         1","6","       105","6","        18","6","       171","6","        35","6","","","","","  -23.9","6,1214, ","","","  62.5"," ,6,0802, ","   36.1","6,0902, ","-1.7","6,1023","-3.9","6,1027","-5.0","6,1115","-9.4","6,1122","-9.4","6,1122","-0.6","6,0407","-2.2","6,0406","-4.4","6,0324","-7.8","6,0206","-15.0","6,0203","","","","","   1459.6"," ,6","","","     12.73","6","     18.06","6","      7.39","6"
"USC00115405","1899","38.48333","-89.8","131.1","MASCOUTAH, IL US","    804.2","","     804.2","6","        85","6","        66","6","         8","6","","","         9","6","       111","6","        35","6","       182","6","        56","6","","","","","  -28.9","6,0212, ","","","  55.4"," ,6,0225, ","   40.0","6,0906,+","0.0","6,0927","-4.4","6,0930","-4.4","6,0930","-10.0","6,1204","-10.0","6,1204","0.0","6,0410","-3.9","6,0404","-4.4","6,0401","-6.7","6,0329","-8.9","6,0308","    3078.3","3","    3078.3","6","    891.5"," ,6","","","     12.41","6","     18.52","6","      6.31","6"
"USC00115405","1903","38.48333","-89.8","131.1","MASCOUTAH, IL US","","","","","","","","","","","","","         3","6","       108","6","        24","6","       174","6","        20","6","","","","","  -21.1","6,0217, ","","","","","   35.6","6,0824,+","-1.1","6,1024","-3.3","6,1027","-4.4","6,1117","-10.0","6,1118","-10.0","6,1118","0.0","6,0502","-2.8","6,0326","-6.1","6,0302","-6.7","6,0301","-12.8","6,0222","","","","","","","","","     11.60","6","     17.10","6","      6.10","6"
"USC00115405","1904","38.48333","-89.8","131.1","MASCOUTAH, IL US","    422.0","","     422.0","6","","","","","","","","","         8","6","       125","6","        37","6","       162","6","         7","6","","","","","  -28.9","6,0127, ","","","","","   33.3","6,0524, ","-1.1","6,1023","-2.2","6,1026","-5.0","6,1112","-6.7","6,1204","-12.8","6,1213","-6.1","6,0421","-6.1","6,0421","-6.1","6,0421","-6.7","6,0304","-8.9","6,0220","","","","","","","","","     10.79","6","     16.17","6","      5.41","6"
"USC00115405","1905","38.48333","-89.8","131.1","MASCOUTAH, IL US","","","","","","","","","","","","","        10","6","       104","6","        37","6","       176","6","        28","6","","","","","  -27.8","6,0213, ","","","","","   37.2","6,0617, ","-1.1","6,1012","-3.3","6,1102","-4.4","6,1129","-9.4","6,1130","-9.4","6,1130","-0.6","6,0417","-3.9","6,0311","-5.6","6,0223","-7.2","6,0221","-15.6","6,0218","    2936.5","5","    2936.5","6","","","","","     11.51","6","     16.86","6","      6.16","6"
"USC00115405","1908","38.48333","-89.8","131.1","MASCOUTAH, IL US","    980.6","","     980.6","6","        95","6","        70","6","        12","6","","","         0","6","        99","6","         2","6","       194","6","        84","6","         1"," ","","","  -13.9","6,0202, ","","","  72.6"," ,6,0505, ","   38.3","6,0816, ","0.0","6,1002","-2.2","6,1012","-7.8","6,1105","-7.8","6,1105","-8.9","6,1115","0.0","6,0430","-5.6","6,0403","-5.6","6,0403","-6.7","6,0227","-10.0","6,0220","    2436.3","3","    2436.3","6","   1098.6"," ,6","","","     14.57","6","     21.42","6","      7.71","6"
"USC00115405","1909","38.48333","-89.8","131.1","MASCOUTAH, IL US","    879.6","","     879.6","6","","","","","","","","","         3","6","        93","6","        24","6","       200","6","        75","6","","","","","  -21.7","6,1230, ","","","","","   40.6","6,0828, ","-0.6","6,1012","-5.0","6,1013","-5.0","6,1013","-9.4","6,1207","-9.4","6,1207","-0.6","6,0502","-3.9","6,0410","-6.7","6,0317","-6.7","6,0317","-11.1","6,0217","    2312.9","9","    2312.9","6","","","","","     13.90","6","     20.77","6","      7.02","6"
"USC00115405","1910","38.48333","-89.8","131.1","MASCOUTAH, IL US","    788.9","","     788.9","6","        86","6","        63","6","        12","6","         7","6","         2","6","       113","6","        10","6","       212","6","        62","6","","","","","  -26.7","6,0218, ","   229"," ,6,0217, ","  99.1"," ,6,0823, ","   37.8","6,0725, ","0.0","6,1022","-4.4","6,1029","-4.4","6,1029","-6.7","6,1103","-8.9","6,1202","-0.6","6,0425","-3.3","6,0424","-6.7","6,0315","-6.7","6,0315","-13.9","6,0225","    2452.8","8","    2452.8","6","   1202.4"," ,6","      575"," ,6","     13.44","6","     20.43","6","      6.45","6"
