"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040439","1980","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       342","S","       201","S","","","   43.0","S,1009,+","     32.36","S","",""
"SAM00040439","1984","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       331","S","       208","S","","","   44.5","S,0611, ","     33.90","S","",""
"SAM00040439","2003","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       333","S","       236","S","","","   49.0","S,0525, ","     35.92","S","",""
"SAM00040439","2009","24.144","38.063","7.9","YENBO, SA","         0","S","         0","S","","","","","","","    8.0","S,0105, ","","","","","     21.14","S"
"SAM00040439","2010","24.144","38.063","7.9","YENBO, SA","         0","S","         0","S","","","","","","","   11.0","S,0301, ","","","","","     22.88","S"
"SAM00040439","2011","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       336","S","       221","S","","","   48.4","S,0728,+","     34.85","S","",""
"SAM00040439","2012","24.144","38.063","7.9","YENBO, SA","         0","S","         0","S","","","","","","","    7.6","S,0119, ","","","","","     21.18","S"
"SAM00040439","2016","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       338","S","       240","S","","","   47.4","S,0613, ","     35.92","S","",""
"SAM00040439","2017","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       341","S","       236","S","","","   49.5","S,0824, ","     36.13","S","",""
"SAM00040439","2018","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       342","S","       231","S","","","   47.4","S,0622, ","     35.62","S","",""
"SAM00040439","2019","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       350","S","       233","S","","","   49.6","S,0628, ","     35.39","S","",""
"SAM00040439","2020","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       350","S","       232","S","","","   48.5","S,0628, ","     35.45","S","",""
"SAM00040439","2021","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       349","S","       266","S","","","   48.9","S,0908, ","     36.28","S","",""
"SAM00040439","2022","24.144","38.063","7.9","YENBO, SA","","","","","         0","S","       347","S","       241","S","","","   48.0","S,0613, ","     35.77","S","",""
