"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00247374","1926","46.1195","-107.1","823.0","SARPY CREEK, MT US","","","","","        81","6","        39","6","         1","6","","","","","","","","","","","","","","","","","","","  27.2"," ,6,1119, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    278.3"," ,6","","","","","","","",""
"USC00247374","1927","46.1195","-107.1","823.0","SARPY CREEK, MT US","","","","","        99","6","        56","6","         3","6","","","","","","","","","","","","","","","","","","","  51.3"," ,6,0120, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    546.1"," ,6","","","","","","","",""
"USC00247374","1929","46.1195","-107.1","823.0","SARPY CREEK, MT US","    280.9","","     280.9","6","       102","6","        30","6","         0","6","","","        39","6","       205","6","        62","6","       126","6","        50","6","","","  -40.0","6,0131, ","","","  19.8"," ,6,0526, ","   40.6","6,0726, ","-1.1","6,0904","-5.0","6,0908","-5.0","6,0908","-8.3","6,1023","-8.9","6,1024","-0.6","6,0528","-3.9","6,0518","-6.7","6,0508","-6.7","6,0508","-11.1","6,0411","","","","","    264.4"," ,6","","","      5.82","6","     14.26","6","     -2.63","6"
"USC00247374","1930","46.1195","-107.1","823.0","SARPY CREEK, MT US","    302.2","","     302.2","6","        74","6","        27","6","         0","6","         5","6","        33","6","       198","6","        34","6","       147","6","        40","6","","","  -41.7","6,0117, ","   152"," ,6,1114, ","  19.1"," ,6,0306, ","   41.7","6,0706, ","-0.6","6,0901","-3.3","6,0920","-5.0","6,0924","-8.3","6,1016","-12.8","6,1017","0.0","6,0604","-2.8","6,0517","-5.0","6,0401","-7.8","6,0329","-8.9","6,0328","    4368.3","3","    4368.3","6","    231.5"," ,6","      628"," ,6","      7.47","6","     16.49","6","     -1.55","6"
"USC00247374","1931","46.1195","-107.1","823.0","SARPY CREEK, MT US","    352.8","","     352.8","6","","","","","","","         9","6","        22","6","       198","6","        20","6","       164","6","        55","6","","","  -27.8","6,1122, ","   152"," ,6,0226, ","","","   41.1","6,0721,+","-5.0","6,0923","-5.0","6,0923","-5.0","6,0923","-7.8","6,1011","-11.1","6,1030","-3.9","6,0522","-3.9","6,0522","-6.1","6,0521","-6.7","6,0520","-11.1","6,0426","    3841.8","8","    3841.8","6","","","      679"," ,6","      8.66","6","     18.11","6","     -0.80","6"
"USC00247374","1932","46.1195","-107.1","823.0","SARPY CREEK, MT US","    275.5","","     275.5","6","        97","6","        43","6","         1","6","        16","6","        40","6","       176","6","        46","6","       136","6","        38","6","         1"," ","  -36.7","6,1211, ","   152"," ,6,1019, ","  30.0"," ,6,0424, ","   38.9","6,0809, ","-2.8","6,0921","-2.8","6,0921","-7.2","6,1010","-7.2","6,1010","-12.2","6,1021","-3.9","6,0527","-3.9","6,0527","-5.0","6,0517","-11.7","6,0330","-11.7","6,0330","    4348.2","2","    4348.2","6","    364.5"," ,6","     1125"," ,6","      6.94","6","     15.17","6","     -1.28","6"
"USC00247374","1933","46.1195","-107.1","823.0","SARPY CREEK, MT US","    297.3","","     297.3","6","        86","6","        31","6","         0","6","        18","6","        33","6","       177","6","        33","6","       146","6","        51","6","","","  -42.2","6,0207, ","   152"," ,6,0409,+","  19.1"," ,6,0628, ","   41.1","6,0725, ","-0.6","6,0920","-4.4","6,0926","-4.4","6,0926","-6.7","6,1012","-11.1","6,1104","0.0","6,0529","-2.2","6,0414","-6.7","6,0413","-6.7","6,0413","-8.9","6,0411","    4239.9","9","    4239.9","6","    283.8"," ,6","     1282"," ,6","      8.08","6","     16.69","6","     -0.54","6"
"USC00247374","1934","46.1195","-107.1","823.0","SARPY CREEK, MT US","    375.5","","     375.5","6","        50","6","        21","6","         0","6","        14","6","        12","6","       184","6","        18","6","       166","6","        58","6","","","  -30.6","6,0226, ","   203"," ,6,1227, ","  12.4"," ,6,0914, ","   42.8","6,0803, ","-1.7","6,0915","-4.4","6,0920","-4.4","6,0920","-10.0","6,1027","-10.0","6,1027","-2.2","6,0522","-2.2","6,0522","-4.4","6,0424","-8.3","6,0419","-9.4","6,0416","    3427.1","1","    3427.1","6","    144.2"," ,6","      960"," ,6","      9.80","6","     18.98","6","      0.61","6"
"USC00247374","1935","46.1195","-107.1","823.0","SARPY CREEK, MT US","","","","","        72","6","        30","6","         1","6","","","","","","","        33","6","       140","6","        43","6","","","","","","","  27.4"," ,6,0819, ","   42.2","6,0810, ","","","","","","","","","","","","","","","","","","","","","","","","","    306.5"," ,6","","","","","     16.06","6","",""
"USC00247374","1936","46.1195","-107.1","823.0","SARPY CREEK, MT US","    573.5","","     573.5","6","        64","6","        26","6","         0","6","        16","6","        47","6","       182","6","        59","6","       163","6","        75","6","","","  -47.2","6,0215, ","   203"," ,6,1101, ","  19.8"," ,6,0507, ","   43.9","6,0705, ","-3.9","6,0916","-3.9","6,0916","-5.0","6,1001","-11.1","6,1022","-11.1","6,1022","0.0","6,0522","-2.2","6,0501","-4.4","6,0429","-6.7","6,0406","-21.7","6,0405","    4496.2","2","    4496.2","6","    175.3"," ,6","     1266"," ,6","      7.58","6","     16.27","6","     -1.12","6"
