"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"PO000008522","2003","32.63","-16.8997","25.0","FUNCHAL, PO","         0","I","       254","I","         2","I","   33.9","I,0914, ","","","","","     23.44","I"
"PO000008522","2005","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       232","S","         0","S","   30.5","S,0905, ","     205.0","0","     205.0","S","     22.75","S"
"PO000008522","2007","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       266","S","         0","S","   31.4","S,0729, ","","","","","     23.23","S"
"PO000008522","2008","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       283","S","         0","S","   29.4","S,0817, ","","","","","     23.38","S"
"PO000008522","2009","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       261","S","         0","S","   31.8","S,0730, ","","","","","     23.30","S"
"PO000008522","2010","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       249","S","         0","S","   30.5","S,0831, ","","","","","     22.95","S"
"PO000008522","2011","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       265","S","         1","S","   32.3","S,0907, ","","","","","     22.98","S"
"PO000008522","2012","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       246","S","         0","S","   31.2","S,0717, ","     141.6","6","     141.6","S","     23.29","S"
"PO000008522","2013","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       244","S","         0","S","   28.9","S,0817, ","","","","","     22.68","S"
"PO000008522","2014","32.63","-16.8997","25.0","FUNCHAL, PO","         0","S","       233","S","         0","S","   31.8","S,1023, ","","","","","     22.75","S"
