"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00042319","1962","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3161.6","","    3161.6","0","         9","0","         3","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       308","0","       204","0","","","","","   -4.4","0,1229,+","     0"," ,0,1231,+","     0","T,0,0122, ","   6.9"," ,0,0219, ","   50.6","0,0815, ","    4283.2","0","-4.4","0,1227","-4.4","0,1227","-4.4","0,1227","0.0","0,0228","-2.8","0,0116","","","","","     721.6","6","     721.6","0","","","","","     19.6"," ,0","        0","T,0","     25.27","0","     32.97","0","     17.58","0","     43350","0"
"USC00042319","1963","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2988.6","","    2988.6","0","        16","0","         7","0","         0","0","        0","","         0","0","         0","0","        18","0","         0","0","       307","0","       184","0","","","         2"," ","   -6.7","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.7"," ,0,0210, ","   48.9","0,0716,+","    4200.6","0","0.0","0,1213","","","","","-0.6","0,0125","-2.8","0,0121","-5.0","0,0116","-6.7","0,0113","     578.1","1","     578.1","0","","","","","     61.7"," ,0","        0"," ,0","     24.79","0","     32.30","0","     17.28","0","",""
"USC00042319","1964","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2986.5","","    2986.5","0","        15","0","         2","0","         0","0","        0","","         0","0","         0","0","        14","0","         0","0","       297","0","       188","0","","","","","   -2.8","0,1216, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   9.7"," ,0,0726, ","   50.6","0,0724, ","    4397.0","0","-0.6","0,1214","-2.8","0,1216","","","0.0","0,0125","-2.2","0,0113","","","","","     706.8","8","     706.8","0","","","","","     27.0"," ,0","        0"," ,0","     24.58","0","     32.07","0","     17.10","0","",""
"USC00042319","1965","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2711.3","","    2711.3","0","        23","0","        14","0","         0","0","        0","","         0","0","         0","0","         8","0","         0","0","       304","0","       187","0","","","","","   -2.2","0,1220, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  11.7"," ,0,0404, ","   48.3","0,0810,+","","","-1.7","0,1219","-2.2","0,1220","","","0.0","0,0212","","","","","","","     582.9","9","     582.9","0","     14.18","0","     28.85","0","     84.7"," ,0","        0"," ,0","     24.00","0","     31.73","0","     16.26","0","",""
"USC00042319","1966","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3038.4","","    3038.4","0","         9","0","         2","0","         0","0","        0","","         0","0","         0","0","        15","0","         0","0","       289","0","       204","0","","","","","   -2.2","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","   9.7"," ,0,0730, ","   49.4","0,0807,+","    3962.1","0","-0.6","0,1224","-2.2","0,1225","","","-0.6","0,0214","-2.2","0,0124","","","","","     798.0","0","     798.0","0","","","     27.88","0","     20.1"," ,0","        0"," ,0","     24.72","0","     32.68","0","     16.75","0","",""
"USC00042319","1967","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2940.4","","    2940.4","0","        16","0","         4","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       309","0","       177","0","","","","","   -2.2","0,1221, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   8.4"," ,0,0904, ","   50.6","0,0704,+","    4039.7","0","-0.6","0,1211","-2.2","0,1221","","","-0.6","0,0119","","","","","","","     555.8","8","     555.8","0","     14.35","0","     28.46","0","     35.5"," ,0","        0"," ,0","     24.70","0","     32.43","0","     16.98","0","     45916","0"
"USC00042319","1968","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3024.2","","    3024.2","0","         9","0","         3","0","         0","0","        0","","         0","0","         0","0","        21","0","         0","0","       308","0","       194","0","","","","","   -3.9","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.3"," ,0,0210, ","   50.0","0,0622, ","    4118.3","0","0.0","0,1204","-3.9","0,1222","","","0.0","0,0130","-2.2","0,0114","","","","","     600.5","5","     600.5","0","     14.71","0","     29.15","0","     41.2"," ,0","        0"," ,0","     24.92","0","     32.48","0","     17.35","0","     41216","0"
"USC00042319","1969","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3083.7","","    3083.7","0","        19","0","        11","0","         0","0","        0","","         0","0","         0","0","         6","0","         0","0","       284","0","       180","0","","","","","   -1.7","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.7"," ,0,0219, ","   49.4","0,0815,+","    3832.3","0","0.0","0,1231","","","","","0.0","0,0201","","","","","","","     702.2","2","     702.2","0","     15.01","0","     29.24","0","     87.0"," ,0","        0"," ,0","     24.93","0","     32.23","0","     17.64","0","     36568","0"
"USC00042319","1970","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3001.1","","    3001.1","0","         8","0","         6","0","         0","0","        0","","         0","0","         0","0","         7","0","         0","0","       309","0","       183","0","","","","","   -3.9","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  17.8"," ,0,1129, ","   51.1","0,0719,+","    4021.1","0","0.0","0,1226","","","","","0.0","0,0131","-3.9","0,0104","","","","","     555.4","4","     555.4","0","     14.40","0","     28.65","0","     58.3"," ,0","        0"," ,0","     24.89","0","     32.28","0","     17.51","0","     36252","0"
"USC00042319","1971","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3003.7","","    3003.7","0","        15","0","         2","0","         0","0","        0","","         0","0","         0","0","        11","0","         0","0","       310","0","       178","0","","","","","   -1.7","0,0111,+","     0"," ,0,1231,+","     0"," ,0,1231,+","   6.9"," ,0,1227, ","   51.1","0,0810,+","    4172.9","0","-1.1","0,1209","","","","","-1.7","0,0111","","","","","","","     627.8","8","     627.8","0","","","     28.10","0","     24.6"," ,0","        0"," ,0","     24.70","0","     32.13","0","     17.28","0","     41223","0"
