"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"CQC00914855","1989","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       267","0","       142","0","        20","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  99.1"," ,0,0909, ","","","","","","","   2126.1"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1990","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       250","0","       127","0","        19","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.9"," ,0,0817, ","","","","","","","   1855.4"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1991","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       248","0","       122","0","        15","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.0"," ,0,1006, ","","","","","","","   1683.9"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1992","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       226","0","       116","0","        20","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  64.3"," ,0,0824, ","","","","","","","   1671.9"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1993","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       211","0","       112","0","        14","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  60.5"," ,0,0825, ","","","","","","","   1404.8"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1994","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       231","0","       137","0","        25","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  57.9"," ,0,1026, ","","","","","","","   1922.1"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1995","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       197","0","       117","0","        21","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.2"," ,0,0910, ","","","","","","","   1730.9"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1996","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       214","0","       111","0","        25","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  57.2"," ,0,0927, ","","","","","","","   1763.0"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1997","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       206","0","       106","0","        18","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 166.4"," ,0,0812, ","","","","","","","   1839.9"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"CQC00914855","1998","15.11667","145.71667","65.5","SAIPAN INTERNATIONAL AIRPORT, MP CQ","","","","","","","       206","0","        89","0","         4","0","","","         0","0","","","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","  35.8"," ,0,0731, ","","","","","","","    866.7"," ,0","        0"," ,0","","","","","","","","","","","","","",""
