"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GLW00017616","1960","76.46667","-68.66667","305.1","CAMP TUTO WEST ASC S, GL","","","","","","","","","","","","","","","","","","","","","","","","","        22"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017616","1961","76.46667","-68.66667","305.1","CAMP TUTO WEST ASC S, GL","      0.0","","       0.0","X","        84","X","        13","X","         0","X","      183","","        13","X","       169","X","       294","X","       274","X","         0","X","         0","X","        98"," ","","","  -38.3","X,0314, ","   254"," ,X,1005, ","   135"," ,X,0518, ","  13.5"," ,X,0518, ","   14.4","X,0808, ","0.0","X,0823","-3.3","X,0829","-4.4","X,0906","-8.9","X,0910","-8.9","X,0910","-0.6","X,0626","-3.9","X,0608","-5.0","X,0607","-6.7","X,0605","-9.4","X,0531","","","","","    128.7"," ,X","     1212"," ,X","    -12.84","X","    -10.04","X","    -15.65","X"
"GLW00017616","1962","76.46667","-68.66667","305.1","CAMP TUTO WEST ASC S, GL","      0.0","","       0.0","X","        90","X","        19","X","         0","X","      276","","        18","X","       137","X","       291","X","       262","X","         0","X","         0","X","        89"," ","","","  -35.0","X,0225, ","   152"," ,X,1113,+","   124"," ,X,0818, ","  12.4"," ,X,0818, ","   15.6","X,0716, ","-3.3","X,0817","-3.3","X,0817","-5.6","X,0818","-6.7","X,0821","-13.3","X,0912","0.0","X,0710","-2.8","X,0605","-5.0","X,0529","-6.7","X,0528","-10.0","X,0527","   10400.6","6","   10400.6","X","    161.6"," ,X","     1516"," ,X","     -9.67","X","     -6.81","X","    -12.53","X"
"GLW00017616","1963","76.46667","-68.66667","305.1","CAMP TUTO WEST ASC S, GL","","","","","","","","","","","","","","","","","","","","","","","","","        50"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
