"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00142417","1960","38.41667","-96.81667","387.1","ELK, KS US","        82","0","        74","0","         8","0","        11","0","","","   178"," ,0,0315, ","  51.6"," ,0,0923, ","    950.7"," ,0","     1243"," ,0"
"USC00142417","1961","38.41667","-96.81667","387.1","ELK, KS US","        92","0","        71","0","        13","0","        14","0","","","   122"," ,0,1209, ","  69.3"," ,0,0913, ","   1169.6"," ,0","      764"," ,0"
"USC00142417","1962","38.41667","-96.81667","387.1","ELK, KS US","        99","0","        67","0","        13","0","         4","0","","","   305"," ,0,0119, "," 110.2"," ,0,0723, ","   1206.7"," ,0","      568"," ,0"
"USC00142417","1963","38.41667","-96.81667","387.1","ELK, KS US","        49","0","        41","0","         7","0","         5","0","         1"," ","    76"," ,0,1211, ","  57.2"," ,0,1016, ","    628.0"," ,0","      282"," ,0"
"USC00142417","1964","38.41667","-96.81667","387.1","ELK, KS US","        76","0","        59","0","        10","0","","","","","","","  83.8"," ,0,1116, ","   1027.9"," ,0","",""
"USC00142417","1965","38.41667","-96.81667","387.1","ELK, KS US","        85","0","        66","0","        14","0","","","","","","","  92.2"," ,0,0921, ","   1212.8"," ,0","",""
"USC00142417","1966","38.41667","-96.81667","387.1","ELK, KS US","        63","0","        39","0","         6","0","         5","0","","","   127"," ,0,1227, ","  93.0"," ,0,0608, ","    636.0"," ,0","      307"," ,0"
"USC00142417","1967","38.41667","-96.81667","387.1","ELK, KS US","        62","0","        58","0","         8","0","","","","","",""," 105.7"," ,0,0904, ","   1062.7"," ,0","",""
"USC00142417","1969","38.41667","-96.81667","387.1","ELK, KS US","       110","0","        75","0","        10","0","","","","","",""," 171.5"," ,0,0627, ","   1128.0"," ,0","",""
"USC00142417","1970","38.41667","-96.81667","387.1","ELK, KS US","        86","0","        57","0","        11","0","         4","0","","","   152"," ,0,0401, ","  94.7"," ,0,0917, ","    917.2"," ,0","      266"," ,0"
"USC00142417","1971","38.41667","-96.81667","387.1","ELK, KS US","        86","0","        61","0","        14","0","         7","0","","","   254"," ,0,0222, "," 106.7"," ,0,0522, ","   1135.4"," ,0","      839"," ,0"
"USC00142417","1972","38.41667","-96.81667","387.1","ELK, KS US","       107","0","        60","0","         8","0","        10","0","","","    89"," ,0,1119, ","  89.9"," ,0,0831, ","    894.6"," ,0","      428"," ,0"
