"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00261327","1980","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","        36","0","        21","0","         1","0","","","","","","","","","","","","","","","","","","","  30.0"," ,0,0214, ","","","","","","","","","","","","","","","","","","","","","","","    230.7"," ,0","","","","","","","",""
"USC00261327","1985","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","        25","0","        14","0","         0","0","","","","","","","","","","","","","","","","","","","  16.5"," ,0,0720, ","","","","","","","","","","","","","","","","","","","","","","","    134.2"," ,0","","","","","","","",""
"USC00261327","1989","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","         7","0","         7","0","         2","0","","","","","","","","","","","","","","","","","","","  38.9"," ,0,0104, ","","","","","","","","","","","","","","","","","","","","","","","    111.4"," ,0","","","","","","","",""
"USC00261327","2002","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","        15","0","         3","0","         0","0","","","","","","","","","","","","","","","","","","","  15.5"," ,0,1002, ","","","","","","","","","","","","","","","","","","","","","","","     39.8"," ,0","","","","","","","",""
"USC00261327","2005","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","        38","0","        28","0","         0","0","","","","","","","","","","","","","","","","","","","  16.0"," ,0,1019, ","","","","","","","","","","","","","","","","","","","","","","","    236.0"," ,0","","","","","","","",""
"USC00261327","2010","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","   1439.0","","    1439.0","0","","","","","","","","","         0","0","        58","0","         0","0","       236","0","       133","0","","","   -8.3","0,1202,+","","","","","   45.0","0,0721,+","-1.7","0,1111","-3.9","0,1123","-8.3","0,1127","-8.3","0,1127","0.0","0,0409","-2.2","0,0125","-4.4","0,0106","","","","","","","    283.7"," ,0","","","     18.26","0","     27.33","0","      9.19","0"
"USC00261327","2011","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","        20","7","        11","7","         0","7","","","","","","","         0","7","       224","7","       142","7","","","","","","","  23.6"," ,7,0220, ","   47.2","7,0805, ","","","","","","","","","","","","","","","","","    1495.3","3","    1495.3"," ","    152.8"," ,7","","","","","     27.19","7","",""
"USC00261327","2012","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","   1655.5","","    1655.5","7","","","","","","","","","         0","7","        77","7","         0","7","       261","7","       157","7","","","   -7.2","7,0117,+","","","","","   46.1","7,0712, ","-1.1","7,1112","-3.3","7,1113","-4.4","7,1211","","","0.0","7,0321","-2.2","7,0304","-4.4","7,0118","-7.2","7,0117","","","","","","","","","     19.09","7","     28.56","7","      9.62","7"
"USC00261327","2016","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00261327","2021","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    105.0"," ,7","","","","","","","",""
"USC00261327","2022","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    162.7"," ,7","","","","","","","",""
"USC00261327","2023","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","   1634.2","","    1634.2","7","","","","","","","         0","7","         0","7","        42","7","         0","7","       228","7","       146","7","","","   -3.3","7,0202,+","     0"," ,7,1231,+","","","   47.2","7,0723,+","-1.1","7,1126","-2.2","7,1211","","","","","-0.6","7,0405","-3.3","7,0202","","","","","","","","","    262.9"," ,7","        0"," ,7","     19.04","7","     27.30","7","     10.78","7"
"USC00261327","2024","36.76917","-114.12694","467.0","BUNKERVILLE, NV US","   2051.2","","    2051.2","7","","","","","","","         0","7","         0","7","        34","7","         0","7","       234","7","       159","7","","","   -6.7","7,0111, ","     0"," ,7,1231,+","","","   48.3","7,0711,+","0.0","7,1109","-2.2","7,1121","-5.0","7,1212","","","0.0","7,0213","-3.3","7,0117","-5.6","7,0113","-6.7","7,0111","    1100.1","1","    1100.1","7","    117.4"," ,7","        0"," ,7","     20.55","7","     29.07","7","     12.02","7"
