"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00503198","1982","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        44"," ","","","","","",""
"USC00503198","1983","58.25","-134.9","9.1","FUNTER BAY, AK US","","","        17","0","        43"," ","","","   399"," ,0,0111, ","     1679"," ,0"
"USC00503198","1984","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        75"," ","","","","","",""
"USC00503198","1985","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        77"," ","","","","","",""
"USC00503198","1986","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        82"," ","","","","","",""
"USC00503198","1987","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        71"," ","","","","","",""
"USC00503198","1988","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        55"," ","","","","","",""
"USC00503198","1989","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        95"," ","","","","","",""
"USC00503198","1990","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        81"," ","","","","","",""
"USC00503198","1991","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","       107"," ","","","","","",""
"USC00503198","1992","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        70"," ","","","","","",""
"USC00503198","1993","58.25","-134.9","9.1","FUNTER BAY, AK US","       73","","","","        99"," ","   508"," ,0,0204, ","","","",""
"USC00503198","1994","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        76"," ","","","","","",""
"USC00503198","1995","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        97"," ","","","","","",""
"USC00503198","1996","58.25","-134.9","9.1","FUNTER BAY, AK US","","","","","        32"," ","","","","","",""
