"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TBRA","1995","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1562.7","","    1562.7","U","         0","U","         2","U","         0","U","       289","U","        80","U","   -1.1","U,1210, ","   37.2","U,0904,+","-1.1","U,1210","","","","","","","","","","","","","","","","","     520.0","0","     520.0","U","     20.98","U","     26.18","U","     15.79","U"
"USR0000TBRA","1996","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1662.9","","    1662.9","U","         0","U","        17","U","         0","U","       302","U","        82","U","   -6.7","U,0108, ","   36.1","U,0812,+","0.0","U,1202","-3.3","U,1218","-6.1","U,1219","","","-1.1","U,0310","-3.3","U,0203","-6.7","U,0108","-6.7","U,0108","","","     714.4","4","     714.4","U","     20.88","U","     26.22","U","     15.54","U"
"USR0000TBRA","1999","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1753.0","","    1753.0","U","         0","U","         6","U","         0","U","       318","U","       101","U","   -1.7","U,0105, ","   38.9","U,0820,+","-0.6","U,1126","","","","","","","0.0","U,0110","","","","","","","","","     419.7","7","     419.7","U","     21.82","U","     27.54","U","     16.11","U"
"USR0000TBRA","2000","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     456.1","1","     456.1","U","","","","","",""
"USR0000TBRA","2001","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1640.3","","    1640.3","U","         0","U","         6","U","         0","U","       292","U","        95","U","   -2.2","U,0104, ","   36.7","U,0812, ","0.0","U,1227","","","","","","","-1.1","U,0120","-2.2","U,0104","","","","","","","","","","","     21.10","U","     26.31","U","     15.88","U"
"USR0000TBRA","2002","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1719.6","","    1719.6","U","         0","U","        10","U","         0","U","       290","U","        92","U","   -3.9","U,0304,+","   37.2","U,0825, ","","","","","","","","","-0.6","U,0305","-3.9","U,0304","","","","","","","     629.1","1","     629.1","U","     21.07","U","     26.22","U","     15.92","U"
"USR0000TBRA","2003","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1675.4","","    1675.4","U","         0","U","         9","U","         0","U","       286","U","        97","U","   -2.2","U,0118, ","   37.8","U,0808, ","0.0","U,1129","","","","","","","0.0","U,0217","-2.2","U,0118","","","","","","","     705.3","3","     705.3","U","     20.96","U","     26.47","U","     15.45","U"
"USR0000TBRA","2004","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1749.7","","    1749.7","U","         0","U","         6","U","         0","U","       291","U","       103","U","   -2.8","U,1226,+","   38.3","U,0916,+","-1.1","U,1224","-2.8","U,1225","","","","","0.0","U,0215","","","","","","","","","     582.0","0","     582.0","U","     21.47","U","     26.73","U","     16.20","U"
"USR0000TBRA","2005","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1746.6","","    1746.6","U","         0","U","         1","U","         0","U","       300","U","       122","U","    0.0","U,1206, ","   39.4","U,0706, ","0.0","U,1206","","","","","","","","","","","","","","","","","     569.0","0","     569.0","U","     21.39","U","     27.26","U","     15.52","U"
"USR0000TBRA","2006","29.1417","-95.2917","3.0","BRAZORIA NWR TEXAS, TX US","   1669.3","","    1669.3","U","         0","U","        10","U","         0","U","       308","U","        88","U","   -2.8","U,0212, ","   36.7","U,0829,+","-1.1","U,1201","","","","","","","0.0","U,0325","-2.8","U,0212","","","","","","","     585.9","9","     585.9","U","     21.30","U","     27.00","U","     15.60","U"
