"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00201429","1916","42.25","-85.033333","270.7","CERESCO, MI US","","","","","","","       51","","","","","","","","","","","","","","","","","","   102"," ,6,0323,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00201429","1917","42.25","-85.033333","270.7","CERESCO, MI US","        98","6","        59","6","         5","6","","","","","","","","","","","","","","","","","","","","","","","  61.0"," ,6,0623, ","","","","","","","","","","","","","","","","","","","","","","","    691.5"," ,6","","","","","","","",""
"USC00201429","1918","42.25","-85.033333","270.7","CERESCO, MI US","       104","6","        68","6","         3","6","       57","","        11","6","","","","","","","","","","","","","","","   686"," ,6,0127, ","   119"," ,6,0112, ","  42.7"," ,6,0630, ","","","","","","","","","","","","","","","","","","","","","","","    711.7"," ,6","      862"," ,6","","","","","",""
"USC00201429","1919","42.25","-85.033333","270.7","CERESCO, MI US","       101","6","        62","6","         4","6","","","","","","","","","","","","","","","","","","","","","","","  53.3"," ,6,0910, ","","","","","","","","","","","","","","","","","","","","","","","    743.3"," ,6","","","","","","","",""
"USC00201429","1920","42.25","-85.033333","270.7","CERESCO, MI US","        92","6","        68","6","         3","6","","","","","","","","","","","","","","","","","","","","","","","  75.7"," ,6,0809, ","","","","","","","","","","","","","","","","","","","","","","","    754.6"," ,6","","","","","","","",""
"USC00201429","1921","42.25","-85.033333","270.7","CERESCO, MI US","        98","6","        75","6","         7","6","","","","","","","","","","","","","","","","","","","","","","","  61.0"," ,6,0920, ","","","","","","","","","","","","","","","","","","","","","","","    906.4"," ,6","","","","","","","",""
"USC00201429","1922","42.25","-85.033333","270.7","CERESCO, MI US","        76","6","        61","6","         4","6","       48","","        11","6","","","","","","","","","","","","","","","   127"," ,6,1224,+","   127"," ,6,1214, ","  57.2"," ,6,1007, ","","","","","","","","","","","","","","","","","","","","","","","    684.7"," ,6","      720"," ,6","","","","","",""
"USC00201429","1923","42.25","-85.033333","270.7","CERESCO, MI US","        92","6","        74","6","         4","6","       47","","         8","6","","","","","","","","","","","","","","","   127"," ,6,0222,+","    51"," ,6,0415,+","  39.1"," ,6,0812, ","","","","","","","","","","","","","","","","","","","","","","","    712.9"," ,6","      348"," ,6","","","","","",""
"USC00201429","1924","42.25","-85.033333","270.7","CERESCO, MI US","       112","6","        84","6","         6","6","       82","","        15","6","","","","","","","","","","","","","","","   229"," ,6,0225,+","   102"," ,6,0116, ","  42.9"," ,6,0728, ","","","","","","","","","","","","","","","","","","","","","","","    787.1"," ,6","      830"," ,6","","","","","",""
"USC00201429","1925","42.25","-85.033333","270.7","CERESCO, MI US","        99","6","        75","6","         6","6","       65","","        12","6","","","","","","","","","","","","","","","   254"," ,6,0105, ","   127"," ,6,1115,+","  39.4"," ,6,0731, ","","","","","","","","","","","","","","","","","","","","","","","    788.9"," ,6","      776"," ,6","","","","","",""
