"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"MXN00015100","1969","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        74","m","        49","m","         5","m","  42.2"," ,m,0330, ","","","","","    578.9"," ,m"
"MXN00015100","1970","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        72","m","        49","m","         3","m","  74.9"," ,m,0709, ","","","","","    674.2"," ,m"
"MXN00015100","1971","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","       107","m","        74","m","         6","m","  36.8"," ,m,0618, ","","","","","    737.7"," ,m"
"MXN00015100","1972","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        99","m","        65","m","         6","m","  49.8"," ,m,0614, ","","","","","    802.4"," ,m"
"MXN00015100","1973","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","       101","m","        72","m","         4","m","  33.8"," ,m,0617, ","","","","","    699.4"," ,m"
"MXN00015100","1974","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        82","m","        55","m","         4","m","  48.3"," ,m,0704, ","","","","","    622.2"," ,m"
"MXN00015100","1975","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","       102","m","        82","m","         5","m","  29.5"," ,m,0624, ","","","","","    853.1"," ,m"
"MXN00015100","1976","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","       106","m","        77","m","         7","m","  57.9"," ,m,0816, ","","","","","   1028.1"," ,m"
"MXN00015100","1977","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        83","m","        56","m","         4","m","  54.9"," ,m,0910, ","","","","","    674.1"," ,m"
"MXN00015100","1978","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        95","m","        73","m","         8","m","  55.9"," ,m,1005, ","","","","","    849.4"," ,m"
"MXN00015100","1979","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        81","m","        64","m","         1","m","  46.0"," ,m,0813, ","","","","","    737.4"," ,m"
"MXN00015100","1980","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        83","m","        66","m","         3","m","  41.9"," ,m,0814, ","","","","","    719.9"," ,m"
"MXN00015100","1981","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        88","m","        76","m","         7","m","  48.8"," ,m,0614, ","","","","","    842.8"," ,m"
"MXN00015100","1982","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        74","m","        63","m","         2","m","  34.8"," ,m,0822, ","","","","","    566.2"," ,m"
"MXN00015100","1983","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        66","m","        56","m","         7","m","  54.9"," ,m,0712, ","","","","","    783.3"," ,m"
"MXN00015100","1985","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        72","m","        62","m","         5","m","  68.8"," ,m,0616, ","","","","","    745.2"," ,m"
"MXN00015100","1986","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        75","m","        59","m","         6","m","  39.9"," ,m,0927, ","","","","","    700.0"," ,m"
"MXN00015100","2002","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        89","m","        10","m","         0","m","  23.9"," ,m,0911, ","","","","","    145.5"," ,m"
"MXN00015100","2003","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        81","m","         4","m","         1","m","  39.9"," ,m,0603, ","","","","","    113.1"," ,m"
"MXN00015100","2005","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        54","m","         5","m","         0","m","   3.6"," ,m,0902, ","","","","","     58.7"," ,m"
"MXN00015100","2006","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        91","m","         7","m","         0","m","   3.8"," ,m,0807, ","","","","","     90.3"," ,m"
"MXN00015100","2008","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        63","m","         3","m","         0","m","   4.8"," ,m,0824, ","","","","","     61.5"," ,m"
"MXN00015100","2009","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        60","m","        10","m","         0","m","   8.9"," ,m,0909,+","","","","","     96.2"," ,m"
"MXN00015100","2011","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","        75","m","        14","m","         0","m","  20.3"," ,m,0720, ","","","","","    134.1"," ,m"
"MXN00015100","2012","19.5667","-99.2333","2284.8","SAN MATEO TECOLOAPAN, MX","","","","","","","","","    1065.2","2","    1065.2","m","",""
