"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00424225","1910","40.55","-112.233333","1645.9","INTERNATIONAL, UT US","        56","6","        27","6","         0","6","","","","","","","","","  20.6"," ,6,1001, ","","","","","","","","","","","","","","","","","","","","","    249.4"," ,6","",""
"USC00424225","1924","40.55","-112.233333","1645.9","INTERNATIONAL, UT US","","","","","","","         6","6","       141","6","","","  -20.6","6,1219, ","","","0.0","6,1004","-2.2","6,1105","-7.8","6,1111","-7.8","6,1111","-8.9","6,1113","-2.8","6,0426","-2.8","6,0426","-5.6","6,0416","-6.7","6,0415","-8.9","6,0330","","","      5.07","6"
"USC00424225","1925","40.55","-112.233333","1645.9","INTERNATIONAL, UT US","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00424225","1926","40.55","-112.233333","1645.9","INTERNATIONAL, UT US","","","","","","","         0","6","       104","6","         2"," ","  -15.6","6,1214, ","","","0.0","6,1029","-2.8","6,1117","-4.4","6,1209","-6.7","6,1212","-9.4","6,1213","0.0","6,0508","-3.3","6,0402","-4.4","6,0330","-9.4","6,0329","-9.4","6,0329","","","      6.51","6"
"USC00424225","1927","40.55","-112.233333","1645.9","INTERNATIONAL, UT US","","","","","","","         0","6","       113","6","","","  -15.0","6,0122, ","","","0.0","6,1001","-2.2","6,1101","-5.6","6,1205","-8.3","6,1206","-12.8","6,1207","0.0","6,0529","-3.3","6,0420","-7.8","6,0320","-7.8","6,0320","-8.9","6,0316","","","      5.93","6"
"USC00424225","1928","40.55","-112.233333","1645.9","INTERNATIONAL, UT US","","","","","","","         0","6","       119","6","        10"," ","  -14.4","6,1223, ","","","-1.1","6,1011","-5.0","6,1117","-5.0","6,1117","-7.2","6,1118","-9.4","6,1208","-3.3","6,0421","-3.3","6,0421","-6.1","6,0408","-10.6","6,0216","-10.6","6,0216","","","      5.98","6"
