"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000000011","1979","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        68","S","        51","S","         9","S","","","","","",""," 300.0"," ,S,0212, ","","","","","   1176.6"," ,S","",""
"AR000000011","1981","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        64","I","        55","I","        12","I","","","","","",""," 133.0"," ,I,0213, ","","","","","   1185.0"," ,I","",""
"AR000000011","1982","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        75","I","        66","I","        21","I","","","","","",""," 152.0"," ,I,0927, ","","","","","   1443.0"," ,I","",""
"AR000000011","1983","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        73","I","        63","I","        19","I","","","","","",""," 130.0"," ,I,0225, ","","","","","   1537.0"," ,I","",""
"AR000000011","1984","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        88","I","        73","I","        19","I","","","","","","","  99.0"," ,I,0401, ","","","","","   1368.5"," ,I","",""
"AR000000011","1985","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        69","I","        61","I","        16","I","","","","","","","  98.0"," ,I,0219, ","","","","","   1262.0"," ,I","",""
"AR000000011","1986","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        69","I","        66","I","        26","I","","","","","",""," 110.0"," ,I,0524, ","","","","","   1849.0"," ,I","",""
"AR000000011","1987","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        63","I","        61","I","        17","I","","","","","",""," 107.0"," ,I,0325, ","","","","","   1344.0"," ,I","",""
"AR000000011","1988","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        41","I","        41","I","        16","I","","","","","",""," 105.0"," ,I,0119, ","","","","","   1032.7"," ,I","",""
"AR000000011","1989","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        52","I","        47","I","         8","I","","","","","","","  73.0"," ,I,0410, ","","","","","    777.0"," ,I","",""
"AR000000011","1990","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        92","I","        79","I","        27","I","","","","","",""," 135.0"," ,I,1210,+","","","","","   1916.0"," ,I","",""
