"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013872","1889","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","","","","","       122","0","        75","0","         6","0","","","","","","","","","","","","","","","","","","","","","","","",""," 106.2"," ,0,0530, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    966.5"," ,0","","","","","","","","","",""
"USW00013872","1890","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    428.2","","     428.2","0","       129","0","        90","0","         4","0","","","         3","0","         0","0","        69","0","         5","0","       186","0","         2","0","","","","","  -11.7","0,0316, ","","","   140"," ,0,1217, ","  48.3"," ,0,0724, ","   33.9","0,0527, ","-1.1","0,1021","-5.6","0,1101","-5.6","0,1101","-7.8","0,1213","","","-0.6","0,0421","-8.3","0,0317","-8.3","0,0317","-8.3","0,0317","-11.7","0,0316","    1990.7","7","    1990.7","0","   1058.9"," ,0","      243"," ,0","     13.98","0","     19.86","0","      8.10","0","",""
"USW00013872","1891","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    377.7","","     377.7","0","       148","0","       105","0","        10","0","","","         8","0","         0","0","        79","0","         4","0","       168","0","         0","0","","","","","  -10.6","0,1130,+","","","   178"," ,0,0116, ","  63.2"," ,0,0221, ","   31.7","0,0810,+","-1.1","0,1016","-10.6","0,1118","-10.6","0,1118","-10.6","0,1118","-10.6","0,1118","-2.8","0,0406","-2.8","0,0406","-5.0","0,0405","-10.0","0,0315","-10.0","0,0315","    2247.4","4","    2247.4","0","   1352.4"," ,0","      509"," ,0","     12.99","0","     18.93","0","      7.04","0","",""
"USW00013872","1893","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    348.8","","     348.8","6","       113","6","        87","6","        12","6","","","         9","6","         4","6","       109","6","        14","6","       176","6","         3","6","","","","","  -22.8","6,0116, ","","","    89"," ,6,0119, ","  50.0"," ,6,1014, ","   32.2","6,0714,+","0.0","6,1016","-5.0","6,1030","-5.0","6,1030","-8.3","6,1124","-10.6","6,1125","-3.3","6,0424","-3.3","6,0424","-4.4","6,0331","-8.3","6,0319","-12.8","6,0316","","","","","   1181.3"," ,6","      518"," ,6","     12.23","6","     18.97","6","      5.50","6","",""
"USW00013872","1894","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    437.1","","     437.1","6","       113","6","        79","6","         4","6","","","         5","6","         1","6","        82","6","         7","6","       188","6","         8","6","","","","","  -19.4","6,1229, ","","","    89"," ,6,0226, ","  50.8"," ,6,1212, ","   32.8","6,0904,+","0.0","6,1012","-2.2","6,1015","-6.7","6,1107","-6.7","6,1107","-8.9","6,1112","-2.2","6,0413","-2.2","6,0413","-5.6","6,0330","-11.7","6,0327","-11.7","6,0327","    2224.1","1","    2224.1","6","    870.2"," ,6","      317"," ,6","     13.28","6","     20.13","6","      6.42","6","",""
"USW00013872","1895","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    402.1","","     402.1","6","        94","6","        82","6","         4","6","","","        12","6","         4","6","       107","6","        10","6","       185","6","         8","6","","","","","  -22.8","6,0208, ","","","   178"," ,6,0202, ","  80.0"," ,6,0408, ","   34.4","6,0603,+","-1.7","6,1001","-2.2","6,1002","-5.0","6,1003","-6.7","6,1203","-9.4","6,1204","-1.1","6,0514","-7.2","6,0309","-7.2","6,0309","-7.2","6,0309","-11.1","6,0216","    2613.6","6","    2613.6","6","    934.7"," ,6","      986"," ,6","     12.22","6","     19.18","6","      5.27","6","",""
"USW00013872","1896","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    519.0","","     519.0","6","       100","6","        82","6","         7","6","","","         1","6","         0","6","       102","6","         5","6","       188","6","        15","6","","","","","  -15.6","6,0222,+","","","    89"," ,6,0220, ","  64.8"," ,6,0709, ","   33.9","6,0918, ","-1.1","6,1008","-2.8","6,1019","-5.6","6,1109","-7.8","6,1201","-12.2","6,1225","0.0","6,0409","-8.3","6,0321","-8.3","6,0321","-8.3","6,0321","-15.6","6,0222","    2424.5","5","    2424.5","6","    962.2"," ,6","      128"," ,6","     13.15","6","     19.69","6","      6.61","6","",""
"USW00013872","1897","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    383.6","","     383.6","6","       119","6","        84","6","        10","6","","","         2","6","         2","6","        89","6","         7","6","       185","6","        12","6","","","","","  -18.9","6,0128, ","","","    30"," ,6,0113, ","  59.7"," ,6,0501, ","   35.0","6,0915, ","-1.7","6,1104","-6.1","6,1118","-6.1","6,1118","-6.7","6,1124","-9.4","6,1224","-1.1","6,0418","-6.7","6,0328","-6.7","6,0328","-6.7","6,0328","-10.0","6,0228","    2365.9","9","    2365.9","6","   1093.9"," ,6","       91"," ,6","     12.96","6","     19.67","6","      6.25","6","",""
"USW00013872","1898","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","","","","","","","","","","","","","         1","6","","","","","","","","","","","","","","","","","","","    25"," ,6,0130, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       59"," ,6","","","","","","","",""
"USW00013872","1899","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","","","","","       112","6","        83","6","         6","6","","","         3","6","","","","","","","","","","","","","","","","","","","    46"," ,6,0212, ","  69.3"," ,6,0315, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1032.3"," ,6","      203"," ,6","","","","","","","",""
