"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087548","1974","-34.546","-60.931","79.9","JUNIN, AR","        70","S","        45","S","         9","S","","","","","","","  59.9"," ,S,0102, ","","","","","","","","","","","","","","","","","    726.2"," ,S","",""
"ARM00087548","1977","-34.546","-60.931","79.9","JUNIN, AR","        77","S","        44","S","        11","S","","","","","","","  80.0"," ,S,1228, ","","","","","","","","","","","","","","","","","    839.1"," ,S","",""
"ARM00087548","1980","-34.546","-60.931","79.9","JUNIN, AR","        73","S","        52","S","         9","S","","","","","",""," 230.1"," ,S,0324, ","","","","","","","","","","","","","","","","","   1058.1"," ,S","",""
"ARM00087548","1981","-34.546","-60.931","79.9","JUNIN, AR","        62","S","        40","S","        10","S","","","","","","","  59.9"," ,S,0126, ","","","","","","","","","","","","","","","","","    742.4"," ,S","",""
"ARM00087548","2003","-34.546","-60.931","79.9","JUNIN, AR","        75","S","        55","S","        12","S","","","","","","","  81.0"," ,S,0227, ","","","","","","","","","","","","","","","","","    991.3"," ,S","",""
"ARM00087548","2004","-34.546","-60.931","79.9","JUNIN, AR","        74","S","        52","S","        12","S","         0","S","        23","S","   -8.0","S,0711, ","  75.9"," ,S,0131, ","-2.9","S,0515","-2.9","S,0515","-8.0","S,0711","-8.0","S,0711","-0.5","S,0913","","","","","","","    964.9"," ,S","      9.72","S"
"ARM00087548","2006","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        22","S","   -7.0","S,0731, ","","","-5.8","S,0520","-5.8","S,0520","-5.8","S,0520","-7.0","S,0731","-1.0","S,0905","-6.4","S,0821","-6.4","S,0821","","","","","      9.77","S"
"ARM00087548","2007","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        49","S","   -7.3","S,0711, ","","","-0.9","S,0509","-5.0","S,0530","-5.0","S,0530","-7.3","S,0711","-0.6","S,0831","-4.0","S,0827","-5.8","S,0820","","","","","      8.80","S"
"ARM00087548","2008","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        38","S","   -7.5","S,0530, ","","","-3.4","S,0414","-3.4","S,0414","-6.5","S,0529","-7.5","S,0530","-0.6","S,0916","-3.4","S,0818","","","","","","","      9.28","S"
"ARM00087548","2009","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        42","S","   -7.4","S,0624, ","","","-1.9","S,0515","-2.7","S,0612","-7.4","S,0624","-7.4","S,0624","-0.2","S,0928","-2.4","S,0909","","","","","","","      9.33","S"
