"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094701","1893","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","","","","","       138","0","        75","0","        10","0","       87","","        23","0","         4","0","       114","0","        38","0","       100","0","         8","0","","","  -20.0","0,0111, ","   432"," ,0,0225, ","   259"," ,0,0218, ","  68.8"," ,0,0504, ","   34.4","0,0620, ","-1.1","0,1031","-2.2","0,1110","-5.6","0,1126","-6.7","0,1127","-10.0","0,1205","-1.7","0,0426","-3.3","0,0407","-5.6","0,0329","-9.4","0,0319","-9.4","0,0319","","","","","   1063.4"," ,0","     2065"," ,0","      8.81","0","     13.25","0","      4.37","0"
"USW00094701","1894","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","","","","","       123","0","        72","0","         9","0","       61","","        17","0","         2","0","       104","0","        31","0","       112","0","        11","0","","","  -21.7","0,0224, ","   305"," ,0,0214,+","   241"," ,0,0213, ","  58.9"," ,0,1227, ","   36.1","0,0728,+","-0.6","0,1106","-2.8","0,1107","-4.4","0,1113","-9.4","0,1120","-9.4","0,1120","0.0","0,0412","-5.0","0,0403","-5.0","0,0403","-6.7","0,0327","-21.1","0,0225","","","","","    931.5"," ,0","     1653"," ,0","     10.21","0","     14.66","0","      5.77","0"
"USW00094701","1895","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","","","","","       118","0","        78","0","         7","0","       52","","        11","0","         2","0","       106","0","        33","0","       118","0","         6","0","","","  -21.1","0,0206, ","   178"," ,0,0209,+","   127"," ,0,0208, "," 123.2"," ,0,1013, ","   35.6","0,0923,+","0.0","0,1031","-3.3","0,1112","-6.1","0,1122","-8.9","0,1204","-8.9","0,1204","-2.8","0,0411","-2.8","0,0411","-5.0","0,0317","-10.0","0,0315","-10.0","0,0315","","","","","   1021.3"," ,0","      819"," ,0","      9.92","0","     14.37","0","      5.46","0"
"USW00094701","1896","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","    341.8","","     341.8","0","       136","0","        80","0","         8","0","       59","","        15","0","         4","0","       120","0","        43","0","       115","0","        10","0","","","  -23.9","0,0217, ","   229"," ,0,0110, ","   152"," ,0,0316, ","  53.3"," ,0,0906, ","   35.0","0,0810, ","-2.2","0,1114","-2.2","0,1114","-4.4","0,1120","-8.9","0,1202","-8.9","0,1202","0.0","0,0409","-3.9","0,0404","-4.4","0,0328","-8.3","0,0324","-9.4","0,0315","    3275.4","4","    3275.4","0","    953.9"," ,0","     1125"," ,0","      9.57","0","     13.87","0","      5.26","0"
"USW00094701","1897","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","    290.1","","     290.1","0","       121","0","        73","0","        13","0","       45","","        10","0","         0","0","       105","0","        34","0","       117","0","         5","0","","","  -16.7","0,0119, ","   381"," ,0,0128, ","   373"," ,0,0128, ","  45.0"," ,0,1112, ","   34.4","0,0910,+","0.0","0,1031","-2.2","0,1118","-8.3","0,1123","-8.3","0,1123","-10.6","0,1124","-1.7","0,0421","-6.1","0,0420","-6.1","0,0420","-10.6","0,0317","-10.6","0,0317","    3356.0","0","    3356.0","0","   1036.7"," ,0","     1228"," ,0","      9.97","0","     14.38","0","      5.58","0"
"USW00094701","1898","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","    404.2","","     404.2","0","       130","0","        88","0","        13","0","       51","","        16","0","         1","0","        92","0","        20","0","       113","0","        12","0","","","  -17.8","0,1214, ","   457"," ,0,0203,+","   305"," ,0,1127, ","  62.2"," ,0,0221, ","   37.2","0,0703, ","-0.6","0,1112","-3.9","0,1125","-5.0","0,1126","-7.8","0,1209","-15.6","0,1213","-2.2","0,0407","-2.2","0,0407","-5.0","0,0404","-6.7","0,0218","-11.7","0,0217","    3276.9","9","    3276.9","0","   1267.2"," ,0","     1559"," ,0","     10.41","0","     14.45","0","      6.37","0"
"USW00094701","1899","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","    326.4","","     326.4","0","       114","0","        70","0","         5","0","       34","","        16","0","         5","0","       109","0","        30","0","       125","0","         9","0","","","  -20.0","0,0211, ","   584"," ,0,0214, ","   229"," ,0,0213, ","  71.6"," ,0,0920, ","   34.4","0,0704, ","-2.8","0,1112","-2.8","0,1112","-5.6","0,1207","-7.2","0,1216","-9.4","0,1229","-0.6","0,0406","-2.2","0,0405","-4.4","0,0326","-8.3","0,0321","-9.4","0,0317","    3378.3","3","    3378.3","0","    881.7"," ,0","     1162"," ,0","     10.08","0","     14.55","0","      5.61","0"
"USW00094701","1900","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","    421.1","","     421.1","0","       116","0","        71","0","        15","0","       17","","         8","0","         1","0","       111","0","        27","0","       123","0","        16","0","","","  -20.0","0,0227, ","   229"," ,0,0218, ","   191"," ,0,0218, ","  61.0"," ,0,0503, ","   36.1","0,0826,+","0.0","0,1020","-2.2","0,1115","-4.4","0,1116","-7.8","0,1209","-13.3","0,1210","-2.8","0,0410","-2.8","0,0410","-5.6","0,0325","-12.2","0,0318","-12.2","0,0318","    3302.9","9","    3302.9","0","   1119.5"," ,0","      657"," ,0","     10.48","0","     15.11","0","      5.86","0"
"USW00094701","1901","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","    387.5","","     387.5","0","       125","0","        76","0","        14","0","       49","","         9","0","         2","0","       116","0","        49","0","       119","0","        13","0","","","  -19.4","0,0120, ","   178"," ,0,0206,+","   152"," ,0,1204, ","  53.3"," ,0,0425, ","   36.1","0,0628, ","0.0","0,1107","-2.8","0,1110","-4.4","0,1111","-8.3","0,1127","-10.0","0,1128","-1.1","0,0331","-2.8","0,0330","-12.8","0,0307","-12.8","0,0307","-12.8","0,0307","    3451.5","5","    3451.5","0","   1238.3"," ,0","      744"," ,0","      9.43","0","     13.42","0","      5.44","0"
"USW00094701","1902","42.35","-71.06667","6.1","BOSTON CITY WEATHER SERVICE OFFICE, MA US","    196.5","","     196.5","0","       117","0","        70","0","         7","0","       52","","        15","0","         3","0","        92","0","        36","0","        96","0","         3","0","","","  -22.2","0,1209, ","   305"," ,0,1213, ","   203"," ,0,0217, ","  46.7"," ,0,1028, ","   33.3","0,0603, ","0.0","0,1126","-2.2","0,1129","-10.6","0,1205","-10.6","0,1205","-10.6","0,1205","0.0","0,0326","-3.3","0,0319","-6.7","0,0223","-6.7","0,0223","-8.9","0,0212","    3216.7","7","    3216.7","0","    863.1"," ,0","     1380"," ,0","      9.82","0","     14.10","0","      5.53","0"
