"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA006119325","1929","44.75","-79.3333","222.0","WASHAGO, ON CA","","","","","","","","","","","","","","","","","   1063.5"," ,C","     3270"," ,C"
"CA006119325","1930","44.75","-79.3333","222.0","WASHAGO, ON CA","","","","","","","        25","C","   140"," ,C,1021, ","","","","","","","    860.4"," ,C","     1749"," ,C"
"CA006119325","1931","44.75","-79.3333","222.0","WASHAGO, ON CA","","","","","","","","","","","","","","","","","    828.3"," ,C","     1991"," ,C"
"CA006119325","1932","44.75","-79.3333","222.0","WASHAGO, ON CA","","","","","","","","","","","","","","","","","   1203.0"," ,C","     2169"," ,C"
"CA006119325","1933","44.75","-79.3333","222.0","WASHAGO, ON CA","       161","C","       107","C","         3","C","        38","C","   152"," ,C,1224, ","  43.9"," ,C,0530, ","","","","","    967.5"," ,C","     2544"," ,C"
"CA006119325","1934","44.75","-79.3333","222.0","WASHAGO, ON CA","       150","C","        95","C","         5","C","        31","C","   160"," ,C,0327, ","  61.2"," ,C,0913, ","","","","","    864.1"," ,C","     1776"," ,C"
"CA006119325","1935","44.75","-79.3333","222.0","WASHAGO, ON CA","       140","C","        91","C","         6","C","        27","C","   152"," ,C,0225,+","  53.3"," ,C,0617, ","","","","","    886.9"," ,C","     1665"," ,C"
"CA006119325","1936","44.75","-79.3333","222.0","WASHAGO, ON CA","       154","C","       104","C","         1","C","        41","C","   203"," ,C,1220,+","  29.7"," ,C,0602, ","","","","","    914.7"," ,C","     2848"," ,C"
"CA006119325","1937","44.75","-79.3333","222.0","WASHAGO, ON CA","       136","C","        87","C","         3","C","        24","C","   102"," ,C,0312, ","  36.8"," ,C,0812, ","","","","","    837.3"," ,C","     1437"," ,C"
"CA006119325","1938","44.75","-79.3333","222.0","WASHAGO, ON CA","       148","C","        89","C","         6","C","        28","C","   381"," ,C,1114, ","  78.7"," ,C,0921, ","","","","","    913.7"," ,C","     1760"," ,C"
