"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00021161","1924","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1865.3","","    1865.3","6","","","","","","","","","","","         0","6","        23","6","         0","6","       292","6","       172","6","","","","","   -3.9","6,0103, ","","","","","","","   44.4","6,0623,+","0.0","6,1218","-2.2","6,1220","","","0.0","6,0205","-2.8","6,0117","","","","","     949.4","4","     949.4","6","","","","","     21.06","6","     29.80","6","     12.31","6"
"USC00021161","1925","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1902.2","","    1902.2","6","","","","","","","","","","","         0","6","        24","6","         0","6","       313","6","       162","6","","","","","   -5.6","6,0111, ","","","","","","","   46.7","6,0716, ","0.0","6,1204","-2.2","6,1221","","","0.0","6,0121","-2.2","6,0118","-5.6","6,0111","","","     742.6","6","     742.6","6","","","","","     21.62","6","     30.39","6","     12.84","6"
"USC00021161","1926","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   2010.5","","    2010.5","6","","","","","","","","","","","         0","6","        20","6","         0","6","       311","6","       168","6","","","","","   -3.9","6,0122,+","","","","","","","   46.1","6,0628, ","-0.6","6,1215","-2.8","6,1225","","","0.0","6,0128","-2.8","6,0125","","","","","     665.7","7","     665.7","6","","","","","     22.26","6","     30.77","6","     13.74","6"
"USC00021161","1927","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   2065.6","","    2065.6","6","","","","","","","","","","","         0","6","         4","6","         0","6","       314","6","       182","6","","","","","   -1.7","6,1217, ","","","","","","","   46.1","6,0810, ","0.0","6,1208","","","","","","","","","","","","","     579.9","9","     579.9","6","","","","","     22.55","6","     31.20","6","     13.89","6"
"USC00021161","1928","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1860.2","","    1860.2","6","","","","","","","","","","","         0","6","        14","6","         0","6","       307","6","       159","6","","","","","   -3.3","6,0118, ","","","","","","","   43.9","6,0808,+","-0.6","6,1202","","","","","-0.6","6,0217","-2.8","6,0119","","","","","     609.0","0","     609.0","6","","","","","     21.69","6","     29.95","6","     13.43","6"
"USC00021161","1929","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1839.4","","    1839.4","6","        30","6","        13","6","         2","6","","","         0","6","         0","6","        19","6","         0","6","       302","6","       167","6","","","","","   -3.3","6,0125, ","","","     0"," ,6,1231,+","  27.9"," ,6,0725, ","   46.1","6,0624, ","0.0","6,1123","","","","","0.0","6,0217","-2.8","6,0210","","","","","     853.5","5","     853.5","6","    140.4"," ,6","        0"," ,6","     21.12","6","     29.68","6","     12.56","6"
"USC00021161","1930","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1776.2","","    1776.2","6","        32","6","        21","6","         1","6","","","         0","6","         0","6","        17","6","         0","6","       293","6","       157","6","","","","","   -3.9","6,1220, ","","","     0"," ,6,1231,+","  25.9"," ,6,0316, ","   44.4","6,0701, ","-1.1","6,1119","-2.2","6,1218","","","-0.6","6,0123","","","","","","","     686.5","5","     686.5","6","    198.9"," ,6","        0"," ,6","     21.25","6","     29.75","6","     12.76","6"
"USC00021161","1931","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1888.5","","    1888.5","6","","","","","","","","","","","         0","6","        27","6","         0","6","       284","6","       175","6","","","","","   -3.9","6,1124, ","","","","","","","   44.4","6,0725,+","-3.3","6,1123","-3.3","6,1123","","","0.0","6,0307","-2.8","6,0120","","","","","     700.5","5","     700.5","6","","","","","     21.32","6","     29.29","6","     13.34","6"
"USC00021161","1932","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","","","","","        30","6","        16","6","         1","6","","","","","         0","6","        31","6","","","","","","","","","","","   -5.6","6,0124, ","","","","","  50.5"," ,6,1215, ","","","-0.6","6,1211","-2.2","6,1225","","","-0.6","6,0305","-2.2","6,0204","-4.4","6,0129","","","     983.7","7","     983.7"," ","    196.9"," ,6","","","","","","","     12.17","6"
"USC00021161","1933","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1811.3","","    1811.3","6","","","","","","","","","","","         0","6","        27","6","         0","6","       300","6","       156","6","","","","","   -6.1","6,0208, ","","","","","","","   44.4","6,0811,+","-3.3","6,1217","-3.3","6,1217","","","0.0","6,0222","-2.8","6,0212","-4.4","6,0211","","","","","","","","","","","     20.65","6","     29.62","6","     11.68","6"
"USC00021161","1934","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1951.3","","    1951.3","6","","","","","","","","","","","         0","6","        17","6","         0","6","       318","6","       185","6","","","","","   -5.6","6,1203, ","","","","","","","   44.4","6,0711,+","-2.2","6,1128","-2.2","6,1128","-5.6","6,1203","0.0","6,0208","","","","","","","     558.2","2","     558.2","6","","","","","     22.00","6","     31.11","6","     12.89","6"
"USC00021161","1935","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1624.0","","    1624.0","6","","","","","","","","","","","         0","6","        17","6","         0","6","       282","6","       148","6","","","","","   -5.6","6,0121, ","","","","","","","   43.9","6,0726, ","0.0","6,1031","-2.2","6,1214","","","-1.1","6,0311","-3.3","6,0122","-5.6","6,0121","","","     838.4","4","     838.4","6","","","","","     20.24","6","     28.98","6","     11.50","6"
"USC00021161","1936","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1870.7","","    1870.7","6","        37","6","        21","6","         2","6","","","","","         0","6","        37","6","         0","6","       296","6","       173","6","","","","","   -3.9","6,0119, ","","","","","  38.1"," ,6,0725, ","   43.9","6,0717,+","0.0","6,1203","","","","","-0.6","6,0325","-2.8","6,0125","","","","","     898.6","6","     898.6","6","    208.3"," ,6","","","     21.18","6","     30.21","6","     12.16","6"
"USC00021161","1937","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1852.6","","    1852.6","6","        35","6","        18","6","         1","6","","","","","         0","6","        30","6","         0","6","       289","6","       175","6","","","","","   -7.8","6,0122, ","","","","","  28.4"," ,6,0728, ","   45.0","6,0725, ","","","","","","","0.0","6,0227","-3.3","6,0209","-4.4","6,0128","-7.2","6,0123","    1028.0","0","    1028.0","6","    184.3"," ,6","","","     20.83","6","     29.90","6","     11.77","6"
"USC00021161","1938","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1727.1","","    1727.1","6","        27","6","        14","6","         1","6","","","","","         0","6","        17","6","         0","6","       302","6","       162","6","","","","","   -1.7","6,1125,+","","","","","  27.9"," ,6,0303, ","   44.4","6,0731,+","-1.1","6,1112","","","","","-0.6","6,0331","","","","","","","     660.7","7","     660.7","6","    130.7"," ,6","","","     20.92","6","     29.99","6","     11.86","6"
"USC00021161","1939","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1842.3","","    1842.3","6","        29","6","        15","6","         1","6","","","","","         0","6","        24","6","         0","6","       298","6","       173","6","","","","","   -4.4","6,0201, ","","","","","  67.1"," ,6,0904, ","   45.0","6,0713,+","-0.6","6,1226","","","","","-0.6","6,0302","-2.2","6,0203","-4.4","6,0201","","","     882.9","9","     882.9","6","    205.6"," ,6","","","     21.32","6","     30.32","6","     12.32","6"
"USC00021161","1940","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   2029.4","","    2029.4","6","","","","","","","","","         0","6","         0","6","        10","6","         0","6","       301","6","       183","6","","","","","   -3.9","6,0114, ","","","     0"," ,6,1231,+","","","   46.7","6,0618, ","-2.2","6,1215","-2.2","6,1215","","","-0.6","6,0220","-3.9","6,0114","","","","","     519.3","3","     519.3","6","","","        0"," ,6","     22.26","6","     31.17","6","     13.35","6"
"USC00021161","1941","33.48333","-111.96667","381.0","ARIZONA FALLS 1 WNW, AZ US","   1471.1","","    1471.1","6","        57","6","        38","6","         4","6","","","","","         0","6","         7","6","         0","6","       288","6","       142","6","","","","","   -2.8","6,1225, ","","","","","  42.2"," ,6,0412, ","   42.8","6,0714,+","0.0","6,1119","-2.8","6,1225","","","-1.1","6,0117","","","","","","","     765.9","9","     765.9","6","    482.7"," ,6","","","     20.20","6","     28.87","6","     11.53","6"
