"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00040451","1971","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       148","a","        92","a","        16","a","","","","","","","","","","","",""," 187.5"," ,a,0218, ","","","","","","","","","","","","","   1735.8"," ,a","","","","","",""
"ASN00040451","1972","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       144","a","        90","a","        18","a","","","","","","","","","","","",""," 226.1"," ,a,0212, ","","","","","","","","","","","","","   1905.6"," ,a","","","","","",""
"ASN00040451","1973","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1908.9"," ,a","","","","","",""
"ASN00040451","1974","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1908.8"," ,a","","","","","",""
"ASN00040451","1975","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1127.4"," ,a","","","","","",""
"ASN00040451","1976","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1670.9"," ,a","","","","","",""
"ASN00040451","1977","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    910.2"," ,a","","","","","",""
"ASN00040451","1978","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1267.8"," ,a","","","","","",""
"ASN00040451","1979","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    740.7"," ,a","","","","","",""
"ASN00040451","1980","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1081.0"," ,a","","","","","",""
"ASN00040451","1981","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       117","a","        63","a","        15","a","         0","a","         6","a","         0","a","       319","a","        20","a","   -2.0","a,0712, ","  75.0"," ,a,0215, ","   37.2","a,1207, ","-0.7","a,0625","","","-1.0","a,0816","     499.7","7","     499.7","a","   1137.1"," ,a","     19.74","a","     26.09","a","     13.39","a"
"ASN00040451","1982","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       136","a","        69","a","         9","a","         0","a","        12","a","         0","a","       319","a","        19","a","   -2.4","a,0707, ","  85.2"," ,a,0120, ","   36.6","a,0218, ","-0.6","a,0623","-2.4","a,0707","-1.0","a,0801","","","","","   1097.0"," ,a","     19.44","a","     25.88","a","     13.00","a"
"ASN00040451","1984","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1037.8"," ,a","","","","","",""
"ASN00040451","1985","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1271.4"," ,a","","","","","",""
"ASN00040451","1986","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1003.8"," ,a","","","","","",""
"ASN00040451","1987","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1039.9"," ,a","","","","","",""
"ASN00040451","1988","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       142","a","        86","a","        18","a","","","","","","","","","","","",""," 151.0"," ,a,1218, ","","","","","","","","","","","","","   1793.4"," ,a","","","","","",""
"ASN00040451","1989","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1602.0"," ,a","","","","","",""
"ASN00040451","1990","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1279.4"," ,a","","","","","",""
"ASN00040451","1991","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    848.2"," ,a","","","","","",""
"ASN00040451","1992","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1692.6"," ,a","","","","","",""
"ASN00040451","1993","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1004.1"," ,a","","","","","",""
"ASN00040451","1994","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1075.4"," ,a","","","","","",""
"ASN00040451","1995","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1376.7"," ,a","","","","","",""
"ASN00040451","1996","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1088.8"," ,a","","","","","",""
"ASN00040451","1997","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1097.7"," ,a","","","","","",""
"ASN00040451","1998","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1265.1"," ,a","","","","","",""
"ASN00040451","1999","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   2105.7"," ,a","","","","","",""
"ASN00040451","2000","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1149.1"," ,a","","","","","",""
"ASN00040451","2001","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    829.1"," ,a","","","","","",""
"ASN00040451","2002","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       101","a","        59","a","         7","a","","","","","","","","","","","","","  83.1"," ,a,0101, ","","","","","","","","","","","","","    856.3"," ,a","","","","","",""
"ASN00040451","2004","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       110","a","        66","a","        13","a","","","","","","","","","","","","","  72.6"," ,a,0116, ","","","","","","","","","","","","","   1278.2"," ,a","","","","","",""
"ASN00040451","2005","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       133","a","        79","a","        10","a","","","","","","","","","","","","","  79.0"," ,a,1202, ","","","","","","","","","","","","","   1108.3"," ,a","","","","","",""
"ASN00040451","2006","-25.9963","152.8335","49.0","TOOLARA FORESTRY, AS","       112","a","        57","a","         9","a","","","","","","","","","","","","","  65.0"," ,a,0208, ","","","","","","","","","","","","","    973.9"," ,a","","","","","",""
