"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00412695","1902","29.15","-95.61667","14.9","EAST COLUMBIA, TX US","   1577.9","","    1577.9","6","         0","6","         9","6","         0","6","       287","6","        89","6","","","         3"," ","   -6.1","6,0106, ","   36.7","6,0826, ","","","","","","","","","-0.6","6,0306","-2.8","6,0127","-6.1","6,0106","","","","","","","","","     20.89","6","     26.04","6","     15.74","6"
"USC00412695","1904","29.15","-95.61667","14.9","EAST COLUMBIA, TX US","   1403.2","","    1403.2","6","         0","6","        26","6","         0","6","       297","6","        45","6","","","","","   -5.0","6,0201,+","   35.6","6,0821, ","-1.1","6,1112","-2.8","6,1215","","","","","-2.8","6,0212","-2.8","6,0212","-5.0","6,0201","","","","","","","","","     20.37","6","     26.03","6","     14.71","6"
"USC00412695","1908","29.15","-95.61667","14.9","EAST COLUMBIA, TX US","   1693.6","","    1693.6","6","         0","6","        12","6","         0","6","       302","6","        97","6","         5"," ","         6"," ","   -5.6","6,0118, ","   38.3","6,0722, ","-2.8","6,1115","-2.8","6,1115","","","","","-5.0","6,0220","-5.0","6,0220","-5.0","6,0220","","","","","","","","","     21.29","6","     27.13","6","     15.46","6"
"USC00412695","1909","29.15","-95.61667","14.9","EAST COLUMBIA, TX US","   1684.0","","    1684.0","6","         0","6","        22","6","         0","6","       314","6","       116","6","         4"," ","         4"," ","   -8.9","6,0215, ","   38.9","6,0818, ","-3.3","6,1213","-3.3","6,1213","","","","","0.0","6,0325","-2.2","6,0217","-5.6","6,0216","-8.9","6,0215","-8.9","6,0215","     651.0","0","     651.0","6","     21.01","6","     27.58","6","     14.44","6"
"USC00412695","1910","29.15","-95.61667","14.9","EAST COLUMBIA, TX US","   1483.9","","    1483.9","6","         0","6","        16","6","         0","6","       311","6","       112","6","","","","","   -7.8","6,0218, ","   37.8","6,0823,+","-1.1","6,1029","-2.8","6,1224","","","","","-1.7","6,0225","-3.9","6,0219","-7.8","6,0218","-7.8","6,0218","","","     705.0","0","     705.0","6","     20.69","6","     27.34","6","     14.04","6"
"USC00412695","1911","29.15","-95.61667","14.9","EAST COLUMBIA, TX US","   1678.7","","    1678.7","6","         0","6","        16","6","         1","6","       309","6","       127","6","","","","","  -12.2","6,0104, ","   39.4","6,0614, ","-1.7","6,1114","-5.6","6,1130","-5.6","6,1130","-6.7","6,1201","-1.1","6,0223","-6.7","6,0105","-6.7","6,0105","-6.7","6,0105","-12.2","6,0104","     429.0","0","     429.0","6","     21.49","6","     27.69","6","     15.28","6"
