"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00194295","1886","41.733333","-70.916667","16.8","LONG PLAIN, MA US","         6","6","       115","6","        39","6","       106","6","         1","6","  -27.2","6,0113, ","   32.2","6,0707, ","0.0","6,1014","-6.7","6,1016","-6.7","6,1016","-6.7","6,1016","-11.1","6,1202","0.0","6,0411","-6.7","6,0324","-6.7","6,0324","-6.7","6,0324","-13.3","6,0305","      8.64","6","     13.12","6","      4.17","6"
"USC00194295","1887","41.733333","-70.916667","16.8","LONG PLAIN, MA US","         5","6","       127","6","        34","6","       118","6","         2","6","  -22.2","6,0119, ","   33.9","6,0713, ","0.0","6,1013","-2.2","6,1015","-6.7","6,1109","-6.7","6,1109","-8.9","6,1130","-1.1","6,0419","-3.9","6,0407","-4.4","6,0406","-10.0","6,0330","-10.0","6,0330","      9.16","6","     13.64","6","      4.67","6"
"USC00194295","1889","41.733333","-70.916667","16.8","LONG PLAIN, MA US","         2","6","       105","6","        17","6","       110","6","         0","6","  -17.8","6,0224,+","   30.0","6,0630,+","0.0","6,1011","-8.3","6,1116","-8.3","6,1116","-8.3","6,1116","-8.9","6,1216","-0.6","6,0423","-2.2","6,0411","-6.1","6,0326","-10.0","6,0226","-10.0","6,0226","     10.06","6","     13.86","6","      6.25","6"
