"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00314772","1928","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       109","6","        75","6","        10","6","","","","","","","","","","","","","","","","","","","","","  92.7"," ,6,0919, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1065.7"," ,6","","","","","","","","","     33789","6"
"USC00314772","1929","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       127","6","        88","6","        18","6","","","","","","","","","","","","","","","","","","","","","  94.2"," ,6,1002, ","","","   10914.5","6","","","","","","","","","","","","","","","","","","","","","","","","","   1509.1"," ,6","","","","","","","","","     34780","6"
"USC00314772","1930","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       101","6","        74","6","         5","6","","","","","","","","","","","","","","","","","","","","","  60.2"," ,6,0718, ","","","   11846.3","6","","","","","","","","","","","","","","","","","","","","","","","","","    866.9"," ,6","","","","","","","","","     30820","6"
"USC00314772","1931","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       102","6","        79","6","        13","6","","","","","","","","","","","","","","","","","","","","","  55.9"," ,6,0805, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1128.4"," ,6","","","","","","","","","",""
"USC00314772","1932","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       105","6","        78","6","        11","6","","","","","","","","","","","","","","","","","","","","","  89.2"," ,6,1017, ","","","   12567.3","6","","","","","","","","","","","","","","","","","","","","","","","","","   1153.4"," ,6","","","","","","","","","     30280","6"
"USC00314772","1933","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        99","6","        67","6","         4","6","","","         1","6","         0","6","        51","6","         3","6","       203","6","        54","6","  -12.2","6,0206, ","","","   178"," ,6,0113, ","  48.0"," ,6,0711, ","   37.2","6,0702,+","   13020.0","6","0.0","6,1026","-3.9","6,1109","-6.7","6,1116","-6.7","6,1116","-10.0","6,1230","0.0","6,0312","-3.9","6,0311","-5.6","6,0212","-8.3","6,0210","-9.4","6,0209","","","","","    850.1"," ,6","      178"," ,6","     15.81","6","     21.66","6","      9.96","6","     35037","6"
"USC00314772","1934","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    882.2","","     882.2","6","       118","6","        85","6","        17","6","","","","","         0","6","        92","6","         7","6","       190","6","        44","6","  -15.0","6,0210,+","","","","","  91.9"," ,6,1129, ","   35.6","6,0721,+","   10944.3","6","-0.6","6,1029","-3.3","6,1113","-4.4","6,1209","-6.7","6,1212","","","-3.3","6,0325","-3.3","6,0325","-5.0","6,0324","-7.2","6,0313","-10.6","6,0301","    2195.1","1","    2195.1","6","   1441.3"," ,6","","","     14.49","6","     20.06","6","      8.92","6","     32655","6"
"USC00314772","1935","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       110","6","        78","6","        12","6","","","         3","6","","","","","","","","","","","","","","","   127"," ,6,1229, ","  88.6"," ,6,0906, ","","","","","","","","","","","","","","","","","","","","","","","","","    1979.3","3","    1979.3","6","   1151.3"," ,6","      281"," ,6","","","","","","","",""
"USC00314772","1936","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    858.6","","     858.6","6","       113","6","        90","6","        17","6","","","","","         0","6","        78","6","         6","6","       193","6","        46","6","  -14.4","6,0201, ","","","","","  62.0"," ,6,0407, ","   37.8","6,0701, ","","","-0.6","6,1116","-2.2","6,1117","-7.2","6,1128","-7.2","6,1128","","","0.0","6,0318","-2.2","6,0224","-5.6","6,0223","-6.7","6,0222","-10.0","6,0212","","","","","   1366.3"," ,6","","","     14.64","6","     20.48","6","      8.79","6","",""
"USC00314772","1937","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    719.0","","     719.0","6","       118","6","        90","6","        11","6","","","","","         0","6","        59","6","         0","6","       174","6","        33","6","   -8.3","6,1212,+","","","","","  62.2"," ,6,0803, ","   36.1","6,0719,+","","","-1.1","6,1105","-5.6","6,1121","-5.6","6,1121","-6.7","6,1123","","","-0.6","6,0329","-2.2","6,0318","-4.4","6,0303","-6.7","6,0302","","","    1927.7","7","    1927.7","6","   1280.3"," ,6","","","     14.62","6","     20.07","6","      9.18","6","     32946","6"
