"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027661","1968","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027661","1969","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","   1873.7","","    1873.7","0","        51","0","        26","0","         1","0","        0","","         0","0","         0","0","        11","0","         0","0","       280","0","       156","0","","","   -3.9","0,0201, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0115, ","   45.0","0,0805,+","0.0","0,1210","","","","","-0.6","0,0315","-3.9","0,0201","","","     954.7","7","     954.7","0","    213.4"," ,0","        0"," ,0","     21.05","0","     29.31","0","     12.80","0"
"USC00027661","1970","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","   1730.6","","    1730.6","0","        31","0","        15","0","         1","0","        0","","         0","0","         0","0","        17","0","         0","0","       290","0","       137","0","","","   -3.9","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  90.7"," ,0,0906, ","   46.1","0,0626, ","0.0","0,1204","","","","","-1.7","0,0204","-3.9","0,0108","","","     800.1","1","     800.1","0","    248.1"," ,0","        0"," ,0","     20.79","0","     29.26","0","     12.32","0"
"USC00027661","1971","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","","","","","        32","0","        22","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.3"," ,0,0717, ","","","","","","","","","","","","","","","","","","","    170.2"," ,0","        0"," ,0","","","","","",""
"USC00027661","1972","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","   1970.6","","    1970.6","0","        36","0","        19","0","         4","0","        0","","         0","0","         0","0","        30","0","         0","0","       301","0","       181","0","","","   -5.6","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.8"," ,0,1019, ","   46.1","0,0801, ","-1.1","0,1206","-2.2","0,1212","","","-1.1","0,0215","-2.2","0,0130","-5.0","0,0106","     863.0","0","     863.0","0","    266.0"," ,0","        0"," ,0","     21.47","0","     30.38","0","     12.55","0"
"USC00027661","1973","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027661","1974","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027661","1975","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027661","1977","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","","","","","        27","0","        15","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.3"," ,0,0327, ","","","","","","","","","","","","","","","","","","","    100.1"," ,0","        0"," ,0","","","","","",""
"USC00027661","1980","33.46667","-111.88333","366.1","SCOTTSDALE, AZ US","   1675.8","","    1675.8","0","        37","0","        30","0","         0","0","        0","","         0","0","         0","0","        17","0","         0","0","       311","0","       159","0","        11"," ","   -4.4","0,1209,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.1"," ,0,0121, ","   45.6","0,0728, ","0.0","0,1115","-2.2","0,1126","-4.4","0,1127","-0.6","0,0104","","","","","","","","","    243.0"," ,0","        0"," ,0","     20.87","0","     30.44","0","     11.30","0"
