"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ABEN","1997","65.2833","-143.0667","563.9","BEN CREEK ALASKA, AK US","","","","","        99","U","       212","U","       168","U","        56","U","         0","U","  -42.2","U,0105,+","   29.4","U,0701, ","-1.7","U,0920","-2.8","U,0930","-5.6","U,1005","-8.9","U,1007","-8.9","U,1007","-1.7","U,0601","-2.8","U,0531","-6.1","U,0507","-8.9","U,0422","-8.9","U,0422","     -2.42","U","      2.03","U","     -6.87","U"
"USR0000ABEN","2011","65.2833","-143.0667","563.9","BEN CREEK ALASKA, AK US","     15.3","","      15.3","U","        99","U","       219","U","       158","U","        40","U","         0","U","  -38.3","U,0121, ","   28.3","U,0625, ","0.0","U,0923","-2.2","U,0928","-5.0","U,1005","-7.2","U,1012","-9.4","U,1013","-0.6","U,0514","-2.2","U,0513","-5.0","U,0512","-6.7","U,0422","-11.7","U,0421","     -3.25","U","      1.34","U","     -7.84","U"
