"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00264040","1908","35.783333","-115.316667","872.9","JEAN, NV US","        15","6","         8","6","         4","6","         0","6","         0","6","        33","6","         0","6","       208","6","       104","6","   -7.8","6,1215, ","     0"," ,6,1231,+","  35.6"," ,6,0924, ","   46.7","6,0716,+","-1.1","6,1125","-2.2","6,1126","-6.7","6,1214","-6.7","6,1214","-1.1","6,0407","","","","","    138.9"," ,6","        0"," ,6","     19.15","6","     23.47","6","     14.83","6"
"USC00264040","1914","35.783333","-115.316667","872.9","JEAN, NV US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1389.2","2","    1389.2","6","","","","","","","","","",""
