"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00054813","2005","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.0","B","    216.2","","     216.2","B","       150","B","        67","B","         6","B","         8","B","       159","B","        90","B","        98","B","         7","B","  -23.3","B,0116, ","  53.6"," ,B,1004, ","   35.0","B,0717, ","-1.1","B,1009","-2.2","B,1020","-10.0","B,1117","-10.0","B,1117","-10.0","B,1117","0.0","W,0516","-2.8","W,0430","-4.4","W,0403","-8.3","W,0326","-11.1","W,0323","","","","","    667.9"," ,B","      6.60","B","     11.14","B","      2.06","B","       330","B","       300","B","      17.4","B","      24.1","B"
"USW00054813","2006","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.3","W","    158.8","","     158.8","W","       147","W","        68","W","         5","W","         3","W","       152","W","        60","W","        79","W","         6","W","  -21.0","W,0218, ","  66.5"," ,W,0819, ","   35.0","W,0731, ","0.0","W,0929","-3.8","W,1026","-4.9","W,1103","-9.3","W,1203","-9.3","W,1203","-1.0","W,0521","-3.2","W,0506","-6.0","W,0428","-9.3","W,0316","-9.3","W,0316","    4226.2","2","    4226.2","W","    639.1"," ,W","      7.10","W","     11.35","W","      2.87","W","        20","W","       320","W","      17.0","W","      21.9","W"
"USW00054813","2007","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.2","W","","","","","       172","W","        62","W","         2","W","","","","","","","","","","","","","  42.9"," ,W,0904, ","","","","","","","","","","","","","","","","","","","","","","","    4295.8","8","    4295.8","W","    634.7"," ,W","","","","","","","       330","W","       300","W","      21.9","W","      30.9","W"
"USW00054813","2008","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.1","W","","","","","       170","W","        85","W","         1","W","","","","","","","","","","","","","  47.8"," ,W,0628, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    680.2"," ,W","","","","","","","        30","W","        30","W","      21.5","W","      25.0","W"
"USW00054813","2009","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       3.8","W","     72.8","","      72.8","W","       160","W","        78","W","         1","W","        13","W","       173","W","        83","W","        62","W","         0","W","  -24.9","W,0126, ","  39.1"," ,W,1006, ","   31.7","W,0815, ","-1.6","W,1001","-3.8","W,1014","-5.5","W,1117","-7.1","W,1204","-11.6","W,1206","0.0","W,0602","-4.3","W,0511","-7.7","W,0412","-7.7","W,0412","-13.2","W,0320","","","","","    710.8"," ,W","      5.09","W","      9.60","W","      0.58","W","       360","W","       280","W","      17.0","W","      30.9","W"
"USW00054813","2010","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.1","W","    191.0","","     191.0","W","       163","W","        68","W","         8","W","         1","W","       142","W","        71","W","        87","W","         3","W","  -18.2","W,0202, ","  58.7"," ,W,0901, ","   33.3","W,0524, ","-0.5","W,1031","-2.7","W,1118","-10.5","W,1125","-10.5","W,1125","-10.5","W,1125","-3.2","W,0510","-3.2","W,0510","-7.1","W,0326","-7.1","W,0326","-13.8","W,0305","    4297.8","8","    4297.8","W","    846.9"," ,W","      7.46","W","     11.83","W","      3.08","W","        20","W","       220","W","      17.9","W","      28.2","W"
"USW00054813","2011","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.0","W","    172.4","","     172.4","W","       145","W","        66","W","         6","W","         5","W","       164","W","        75","W","        90","W","         5","W","  -22.1","W,0211, ","  49.5"," ,W,0929, ","   35.0","W,0717, ","0.0","W,1001","-2.7","W,1104","-5.5","W,1117","-7.7","W,1206","-12.7","W,1209","-1.0","W,0527","-3.2","W,0504","-7.1","W,0419","-7.1","W,0419","-10.5","W,0328","    4614.8","8","    4614.8","W","    770.0"," ,W","      6.34","W","     10.89","W","      1.78","W","        40","W","        90","W","      19.2","W","      46.5","W"
"USW00054813","2012","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.1","W","    199.6","","     199.6","W","       148","W","        72","W","         3","W","         2","W","       150","W","        44","W","       106","W","         6","W","  -21.6","W,0120, ","  36.1"," ,W,0608, ","   33.9","W,0825, ","0.0","W,1008","-3.2","W,1027","-4.9","W,1117","-7.1","W,1126","-9.9","W,1127","-0.5","W,0531","-4.9","W,0429","-4.9","W,0429","-7.7","W,0310","-11.0","W,0305","    3849.1","1","    3849.1","W","    730.6"," ,W","      8.03","W","     12.74","W","      3.33","W","       350","W","       330","W","      19.7","W","      26.8","W"
"USW00054813","2013","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4574.3","3","    4574.3"," ","","","","","","","","","","","","","","","",""
"USW00054813","2015","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       3.9","W","    200.6","","     200.6","W","       175","W","        86","W","         3","W","        20","W","       143","W","        68","W","       101","W","         1","W","  -29.3","W,0220, ","  42.4"," ,W,1214, ","   35.0","W,0816, ","-1.0","W,1023","-3.8","W,1121","-11.0","W,1122","-11.0","W,1122","-11.0","W,1122","0.0","W,0601","-3.2","W,0425","-5.5","W,0424","-8.8","W,0404","-18.8","W,0328","","","","","    855.5"," ,W","      6.61","W","     11.36","W","      1.86","W","        10","W","        10","W","      17.4","W","      21.5","W"
"USW00054813","2018","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       3.9","W","    174.4","","     174.4","W","       170","W","        87","W","         4","W","        11","W","       187","W","        99","W","        92","W","         4","W","  -22.7","W,0213,+","  87.6"," ,W,0905, ","   32.8","W,0704,+","-1.0","W,1013","-3.2","W,1018","-9.3","W,1110","-9.3","W,1110","-9.3","W,1110","0.0","W,0513","-3.2","W,0511","-6.6","W,0429","-8.8","W,0410","-9.9","W,0409","    4848.0","0","    4848.0","W","    952.7"," ,W","      5.30","W","      9.91","W","      0.69","W","        40","W","       340","W","      16.1","W","      24.1","W"
"USW00054813","2020","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       3.9","W","    158.5","","     158.5","W","       164","W","        82","W","         6","W","         2","W","       191","W","        64","W","        89","W","         1","W","  -22.7","W,0217, ","  39.9"," ,W,0623, ","   32.2","W,0725, ","-0.5","W,0918","-2.7","W,1019","-5.5","W,1027","-8.2","W,1214","-9.3","W,1215","-4.9","W,0513","-4.9","W,0513","-4.9","W,0513","-8.8","W,0422","-9.9","W,0415","    4610.6","6","    4610.6","W","    965.4"," ,W","      6.35","W","     10.62","W","      2.07","W","       340","W","       350","W","      19.2","W","      30.0","W"
"USW00054813","2022","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       4.0","W","    138.8","","     138.8","W","       199","W","        94","W","         5","W","        12","W","       164","W","        86","W","        88","W","         1","W","  -24.3","W,0214,+","  32.8"," ,W,1018, ","   32.8","W,0621, ","0.0","W,1009","-2.7","W,1113","-7.7","W,1118","-7.7","W,1118","-10.5","W,1120","0.0","W,0523","-6.6","W,0428","-6.6","W,0428","-14.9","W,0329","-14.9","W,0329","    4599.1","1","    4599.1","W","    938.1"," ,W","      5.60","W","     10.20","W","      1.01","W","       350","W","       300","W","      18.3","W","      28.2","W"
"USW00054813","2023","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       3.6","W","    118.2","","     118.2","W","       196","W","        84","W","         3","W","         2","W","       147","W","        55","W","        78","W","         2","W","  -22.1","W,0131, ","  59.9"," ,W,0501, ","   33.3","W,0904, ","-2.1","W,1030","-6.0","W,1031","-6.0","W,1031","-7.1","W,1124","-9.3","W,1125","-2.1","W,0525","-2.7","W,0419","-4.9","W,0408","-8.2","W,0402","-13.2","W,0330","    4382.0","0","    4382.0","W","    832.4"," ,W","      6.88","W","     11.08","W","      2.67","W","        40","W","        40","W","      20.1","W","      25.0","W"
"USW00054813","2024","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","       3.8","W","    157.9","","     157.9","W","       186","W","        92","W","         7","W","         1","W","       141","W","        51","W","        94","W","         1","W","  -21.6","W,0116, ","  51.3"," ,W,0816, ","   32.2","W,0826, ","0.0","W,1023","-3.2","W,1102","-6.6","W,1130","-7.7","W,1206","-10.5","W,1211","0.0","W,0516","-6.6","W,0425","-6.6","W,0425","-12.7","W,0324","-12.7","W,0324","    3948.2","2","    3948.2","W","    990.1"," ,W","      8.01","W","     12.40","W","      3.62","W","        30","W","       330","W","      17.9","W","      25.9","W"
