"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00365101","1886","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        49"," ","","","",""
"USC00365101","1887","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        42"," ","","","",""
"USC00365101","1888","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        31"," ","","","",""
"USC00365101","1889","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        33"," ","","","",""
"USC00365101","1890","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        25"," ","","","",""
"USC00365101","1891","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        51"," ","","","",""
"USC00365101","1892","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        30"," ","","","",""
"USC00365101","1893","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       156","6","        85","6","         6","6","        23"," ","  46.7"," ,6,1014,+","    939.3"," ,6"
"USC00365101","1894","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       137","6","        75","6","         3","6","        33"," ","  36.1"," ,6,0920, ","    808.4"," ,6"
"USC00365101","1895","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       112","6","        74","6","         2","6","        64"," ","  30.7"," ,6,1227, ","    632.3"," ,6"
"USC00365101","1896","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       137","6","        93","6","         7","6","        73"," ","  75.7"," ,6,0728, ","   1151.9"," ,6"
"USC00365101","1897","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       123","6","        80","6","         6","6","        39"," ","  30.0"," ,6,0502, ","    844.2"," ,6"
"USC00365101","1898","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       141","6","        94","6","         8","6","        38"," ","  60.2"," ,6,0819, ","   1076.7"," ,6"
"USC00365101","1899","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       135","6","        91","6","         7","6","        36"," ","  55.9"," ,6,0717, ","    982.1"," ,6"
"USC00365101","1900","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        30"," ","","","",""
"USC00365101","1901","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       136","6","        87","6","         8","6","        38"," ","  63.5"," ,6,0403, ","   1050.1"," ,6"
"USC00365101","1902","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       129","6","        88","6","         6","6","        46"," ","  50.8"," ,6,1012, ","    936.3"," ,6"
"USC00365101","1903","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       133","6","        87","6","         6","6","        57"," ","  55.1"," ,6,0623, ","   1033.1"," ,6"
"USC00365101","1904","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       132","6","        83","6","         2","6","        51"," ","  35.6"," ,6,0323, ","    849.0"," ,6"
"USC00365101","1905","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        39"," ","","","",""
"USC00365101","1906","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       141","6","        89","6","         8","6","        37"," ","  50.8"," ,6,0528, ","    947.6"," ,6"
"USC00365101","1907","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       147","6","        97","6","         7","6","        33"," ","  55.9"," ,6,0314, ","   1107.1"," ,6"
"USC00365101","1908","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       134","6","        88","6","         2","6","        36"," ","  61.5"," ,6,0319, ","    859.1"," ,6"
"USC00365101","1909","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        30"," ","","","",""
"USC00365101","1910","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        47"," ","","","",""
"USC00365101","1911","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       142","6","       108","6","         6","6","        31"," ","  39.1"," ,6,0922, ","   1109.8"," ,6"
"USC00365101","1912","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       129","6","        88","6","         9","6","        37"," ","  55.9"," ,6,0722, ","   1060.8"," ,6"
"USC00365101","1913","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       124","6","        85","6","         6","6","        53"," ","  38.1"," ,6,0326, ","    940.2"," ,6"
"USC00365101","1914","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        39"," ","","","",""
"USC00365101","1915","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        56"," ","","","",""
"USC00365101","1916","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        75"," ","","","",""
"USC00365101","1917","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        84"," ","","","",""
"USC00365101","1918","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       150","6","        82","6","         7","6","       101"," ","  65.5"," ,6,0831, ","    972.2"," ,6"
"USC00365101","1919","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       148","6","        87","6","        10","6","        97"," ","  77.5"," ,6,0715, ","   1110.5"," ,6"
"USC00365101","1920","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        92"," ","","","",""
"USC00365101","1921","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        60"," ","","","",""
"USC00365101","1922","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       122","6","        74","6","         3","6","        75"," ","  42.4"," ,6,0603, ","    794.5"," ,6"
"USC00365101","1923","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       140","6","        86","6","         3","6","       106"," ","  33.5"," ,6,0728, ","    921.7"," ,6"
"USC00365101","1924","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        63"," ","","","",""
"USC00365101","1925","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        57"," ","","","",""
"USC00365101","1926","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        40"," ","","","",""
"USC00365101","1927","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       169","6","       101","6","         5","6","        47"," ","  38.1"," ,6,1019, ","   1137.6"," ,6"
"USC00365101","1928","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       160","6","        88","6","         7","6","        45"," ","  42.2"," ,6,0330, ","    982.5"," ,6"
"USC00365101","1929","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","       162","6","        94","6","        11","6","        42"," ","  57.9"," ,6,1003, ","   1159.5"," ,6"
"USC00365101","1930","40.15","-79.9","231.6","LOCK NUMBER 4, PA US","","","","","","","        43"," ","","","",""
