"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000HPTK","2000","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      0.9","","       0.9","U","         0","U","         2","U","         0","U","       230","U","         0","U","   -1.1","U,0124, ","   26.7","U,1019, ","-0.6","U,0125","","","","","","","     14.43","U","     21.33","U","      7.54","U"
"USR0000HPTK","2001","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","     18.0","","      18.0","U","         0","U","         0","U","         0","U","       231","U","         0","U","    0.6","U,1223,+","   28.3","U,0817,+","","","","","    1388.2","2","    1388.2","U","     14.92","U","     21.65","U","      8.20","U"
"USR0000HPTK","2002","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      7.9","","       7.9","U","         0","U","         2","U","         0","U","       264","U","         0","U","    0.0","U,0301,+","   26.7","U,0701,+","0.0","U,0301","","","    1133.4","4","    1133.4","U","     14.92","U","     21.77","U","      8.07","U"
"USR0000HPTK","2003","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      5.8","","       5.8","U","         0","U","         8","U","         0","U","       257","U","         0","U","   -2.8","U,0110, ","   27.2","U,0714,+","0.0","U,0304","-2.8","U,0110","    1348.3","3","    1348.3","U","     14.74","U","     21.75","U","      7.72","U"
"USR0000HPTK","2004","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      7.0","","       7.0","U","         0","U","         0","U","         0","U","       255","U","         0","U","    0.6","U,0111, ","   27.2","U,1010,+","","","","","    1155.0","0","    1155.0","U","     15.23","U","     21.72","U","      8.75","U"
"USR0000HPTK","2005","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      8.9","","       8.9","U","         0","U","         1","U","         0","U","       278","U","         0","U","    0.0","U,0316, ","   27.8","U,1217, ","0.0","U,0316","","","    1201.3","3","    1201.3","U","     15.06","U","     21.93","U","      8.20","U"
"USR0000HPTK","2006","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","     11.9","","      11.9","U","         0","U","         2","U","         0","U","       239","U","         0","U","   -0.6","U,0209, ","   28.3","U,1209,+","0.0","U,0210","","","    1281.1","1","    1281.1","U","     14.87","U","     21.62","U","      8.11","U"
"USR0000HPTK","2007","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      6.7","","       6.7","U","         0","U","         0","U","         0","U","       230","U","         0","U","    0.6","U,0203, ","   28.9","U,0711, ","","","","","    1282.7","7","    1282.7","U","     14.58","U","     21.36","U","      7.80","U"
"USR0000HPTK","2008","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      3.6","","       3.6","U","         0","U","         0","U","         0","U","       200","U","         0","U","    1.7","U,0117, ","   26.1","U,1029,+","","","","","    1430.5","5","    1430.5","U","     14.18","U","     20.97","U","      7.39","U"
"USR0000HPTK","2009","19.6669","-155.7078","1641.3","PTA KIPUKA ALALA HAWAII, HI US","      8.7","","       8.7","U","         0","U","         0","U","         0","U","       227","U","         0","U","    0.6","U,0223,+","   28.3","U,0821, ","","","","","    1519.4","4","    1519.4","U","     14.63","U","     21.43","U","      7.83","U"
