"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"GQC00914193","1955","13.36667","144.7","111.9","FENA FILTER PLANT, GU GQ","","","","","       285","0","       179","0","        16","0","        0","","         0","0","         0","0","         0","0","","","","","","","   21.1","0,0425,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.2"," ,0,0929, ","","","    2088.8","0","","","","","   2193.8"," ,0","        0"," ,0","","","","","     23.05","0","     78366","0"
"GQC00914193","1956","13.36667","144.7","111.9","FENA FILTER PLANT, GU GQ","   2799.1","","    2799.1","0","       296","0","       183","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       366","0","         1","0","   19.4","0,0118, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.4"," ,0,1214, ","   32.2","0,0813, ","    2008.8","0","       0.0","0","       0.0","0","   2054.8"," ,0","        0"," ,0","     25.98","0","     29.10","0","     22.86","0","     86705","0"
"GQC00914193","1957","13.36667","144.7","111.9","FENA FILTER PLANT, GU GQ","","","","","       251","0","       155","0","        20","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.1"," ,0,1116, ","","","","","       0.0","0","       0.0"," ","   1961.9"," ,0","        0"," ,0","","","","","","","",""
